Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109128.9672013,7.631610630006663e-08,1.3226172685015895e-08,2.0585585045513298e-07,4.237344228635358e-08
109129.2152451,8.138664624521385e-08,1.5386858214477658e-08,2.2242459643286078e-07,5.089654475009665e-08
109129.4632712,4.86065713281849e-08,1.6420292066982033e-08,1.9319159169079925e-07,7.591105616966103e-08
109129.7113117,3.0727457617103774e-08,1.3911572903473117e-08,1.0592324886927265e-07,4.0874330940562814e-08
109129.959389,4.82757366583434e-08,2.180179012850592e-08,1.6556957112297897e-07,4.584892087615965e-08
109130.2074875,8.780803479528972e-08,3.3935286019958245e-08,2.068389769812552e-07,9.05968425495318e-08
109130.4551795,1.0964145990642228e-07,2.920593760371488e-08,2.7961058647142604e-07,8.062591089782361e-08
109130.7033482,1.2235817502630597e-07,1.5158202845168483e-08,3.75287303707927e-07,4.584763538296096e-08
109130.9513053,1.0013122888957993e-07,1.2189955573202408e-08,4.0017142495910826e-07,5.761128240514309e-08
109131.1993584,3.3192292216369475e-08,1.595941936944894e-08,3.5001336913962855e-07,5.43793957131518e-08
109131.4476649,9.434333446889223e-08,1.6286530138673443e-08,6.139267533010433e-07,6.570985450211762e-08
109131.6952092,8.103419458243376e-08,1.6656191331168192e-08,3.156467257485379e-07,6.657450355841549e-08
109131.9432934,6.695152806936158e-08,2.4122138396642825e-08,2.021947540004323e-07,6.162824410229838e-08
109132.1912193,1.141205751839929e-07,2.8173697045404404e-08,2.5083039912811177e-07,8.637726227916683e-08
109132.4393982,1.2382779744572805e-07,1.9306458594532877e-08,4.7347018362994443e-07,1.0526636348772158e-07
109132.6874251,9.969770092578298e-08,1.601475189220496e-08,3.319617842716666e-07,7.784118116519793e-08
109132.935371,1.0459015355298716e-07,1.6754368339388126e-08,6.554469770765048e-08,7.708064549008738e-08
109133.1835987,7.910147776613956e-08,1.866499532531649e-08,1.5879308620671294e-07,7.374524213918901e-08
109133.4313448,1.0481139429141268e-07,1.9548021926679853e-08,1.891903658819054e-07,7.15790555301994e-08
109133.679159,8.345622596079487e-08,2.6660152554529436e-08,2.179278281113413e-07,9.426869237814153e-08
109133.9271793,7.415428505304973e-08,3.3341847528331873e-08,1.318708011599952e-07,8.673483147812009e-08
109134.1753322,1.2375654430652818e-07,2.759629186855178e-08,3.737130812440304e-07,7.169256985155497e-08
109134.4233989,8.334814296097952e-08,1.5736802274271565e-08,2.65130462528015e-07,3.8724575029473714e-08
109134.6712562,8.031993446966033e-08,1.686089610594765e-08,1.3496572794659694e-07,3.610707120147959e-08
109134.9192351,4.2801287401860736e-08,1.3773453008602687e-08,4.892460124311154e-07,6.137687983191221e-08
109135.1673289,2.763591930666148e-08,8.03957251752264e-09,7.290031664000083e-07,6.018779124428928e-08
109135.4152579,4.8243971385192527e-08,1.4644511168581245e-08,3.417248167481743e-07,5.6185776549977175e-08
