Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109159.4394997,1.295201858636617e-07,3.7840113062469785e-08,3.590810914862462e-07,1.0506961137721917e-07
109159.687585,1.4925149278966576e-07,5.2464875855606426e-08,3.793649177907117e-07,1.5123415400766045e-07
109159.9353752,6.944540230072093e-08,2.2361136320318275e-08,1.9138552424662107e-07,8.537635444615811e-08
109160.1834529,3.5193559446212926e-08,1.4696340408712117e-08,2.1146124071767774e-07,7.173908090407613e-08
109160.4312011,2.483439013919193e-08,3.0657105898207023e-08,1.0444986083834668e-07,1.372634757009131e-07
109160.6792418,1.982299183625959e-08,1.7642541193237964e-08,5.914341358418674e-08,8.775127535990486e-08
109160.9272196,5.4923007729517416e-08,1.7194758549341228e-08,1.2271628119403406e-07,5.4288717653264535e-08
109161.1753931,9.342586148051857e-08,4.581986909930341e-08,2.336460639999249e-07,1.4786075899837505e-07
109161.4231882,9.712747679404182e-08,5.3515009497813683e-08,2.350947784957376e-07,1.6800631537830972e-07
109161.6713768,6.866175953963791e-08,2.0421989917344463e-08,1.893635136409988e-07,6.591590380649207e-08
109161.9192038,3.04472984360274e-08,1.1729450642245667e-08,7.641148581042726e-08,5.535613142125066e-08
109162.1673908,1.3281690904037153e-08,2.6983896891761943e-08,8.003218403049916e-08,1.3613972340745146e-07
109162.4154141,2.503660568641153e-08,1.53714660335394e-08,1.1227350007039817e-07,8.391471502113746e-08
109162.6632164,6.083401598814337e-08,1.4739860729096586e-08,1.6110451192476988e-07,6.0331742422974e-08
109162.9113062,1.0313803707458167e-07,4.5996415033557904e-08,2.0801804332994522e-07,1.5498438596685764e-07
109163.1595103,1.4644423008347324e-07,5.3138568102654826e-08,3.4105944235831055e-07,1.6557563997638646e-07
109163.4073594,7.205770133206478e-08,2.5605641452722758e-08,1.5852509975495746e-07,8.296511046223958e-08
109163.6555824,6.374253453044346e-08,2.8349919861509068e-08,8.365566087022998e-08,1.2237616734667664e-07
109163.9033927,5.271254609354945e-08,3.5737098612577916e-08,1.4199610333047398e-07,1.6060570243354302e-07
109164.1515033,3.5082822317117323e-08,1.7168083369858576e-08,6.595513675551597e-08,8.789050928352377e-08
109164.3992737,6.401684318640136e-08,2.412106219654537e-08,1.4382872960357776e-07,1.0917549776728323e-07
109164.6471976,1.31631361597205e-07,6.18692961503884e-08,2.766282227944911e-07,2.227238311398348e-07
109164.8954837,2.0478176410890163e-07,5.868706312201404e-08,4.819500790150472e-07,1.8702864557960486e-07
109165.1432553,1.200312021264028e-07,1.9042685534440384e-08,3.225315714938674e-07,8.977481018231943e-08
109165.3914248,1.1097209427135057e-07,1.7388384949133773e-08,9.63851248571264e-08,8.928341960966654e-08
109165.6399685,1.9050003166436177e-07,3.2850790972282584e-08,5.7506067387875634e-08,1.6292774122757766e-07
109165.8873289,1.4782835793850217e-07,1.561789504847648e-08,1.0166725993436337e-07,8.261662959443587e-08
