Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109151.8081685,1.615122912648465e-07,1.723215669852926e-08,4.316847176016919e-07,7.192542157635364e-08
109152.0552157,2.255248584137645e-07,1.4255138158937348e-08,7.138321992303351e-07,6.914852734747439e-08
109152.3034348,1.252130538782983e-07,2.1849225505859043e-08,2.9899283631481824e-07,1.0157882885553037e-07
109152.551289,8.427505872102457e-08,2.0642361180514225e-08,1.4250032879648825e-07,4.927236007430805e-08
109152.7992009,8.949357649148306e-08,1.811383351470597e-08,2.676934688932635e-07,4.28102368199725e-08
109153.047562,1.2064027199579986e-07,4.4073535581337064e-08,5.517960667588306e-07,1.5624889091990304e-07
109153.2951949,1.8271738118316499e-07,9.621550400290796e-08,9.860684526914587e-07,4.625515956319804e-07
109153.5433947,4.1155955929106805e-07,1.5367541308507246e-07,2.2591956283386765e-06,1.1656098988739222e-06
109153.7916246,3.191591373726672e-07,1.0963132801913957e-07,2.482367910426282e-06,8.215697290142715e-07
109154.039611,2.407750093617552e-07,4.4892750173888026e-08,3.119833142869489e-06,2.1216234890242907e-07
109154.28735,2.491125304201849e-07,3.69821890539652e-08,1.763356834841396e-06,1.526890728230792e-07
109154.5352389,2.492218576899592e-07,1.7958013053312213e-08,4.285099680025877e-07,5.909361128122075e-08
109154.7833284,1.6176250915525985e-07,3.0329755139239345e-08,3.111109867152644e-07,8.461284400343103e-08
109155.031519,1.415742231027356e-07,4.3565814670736454e-08,1.867507901574303e-07,1.226295901652218e-07
109155.2795757,8.108446672617893e-08,2.118626066453562e-08,1.1855021665225545e-07,5.6769960504442556e-08
109155.5273743,4.3613692265096355e-08,1.1428713711950684e-08,1.4294358896625834e-07,4.6770105022350326e-08
109155.7753303,6.89844162453496e-08,1.865216399097484e-08,2.010050651002765e-07,8.083237300034885e-08
109156.0232169,1.0553751987325427e-07,1.772985327808612e-08,2.2265868873212453e-07,7.04846531321691e-08
109156.2716076,8.83398013384682e-08,1.2014571585296669e-08,1.226747627310261e-07,2.8166539550479336e-08
109156.5194447,1.0934776661275653e-07,3.410253921935282e-08,3.7520469300145573e-07,9.345196428963725e-08
109156.7676396,9.310510477171533e-08,4.7373719174966935e-08,5.238046227052161e-07,1.448067128111955e-07
109157.0154988,6.674702349673662e-08,2.2536869438499408e-08,2.668023459879928e-07,5.9313881513126785e-08
109157.2635502,8.10814230735417e-08,6.191264250849059e-09,2.1351414036194037e-07,2.70080892625607e-08
109157.5113841,9.146140324894413e-08,1.3184488951943881e-08,4.000159644086623e-07,7.787242025446933e-08
109157.7592452,5.348809507515362e-08,1.4940058370168772e-08,3.422180944842245e-07,8.64670226410724e-08
109158.0073418,5.13651783168022e-08,9.475553398875995e-09,1.38722702067329e-07,5.6059378998291016e-08
109158.2554891,8.081655497649314e-08,3.997581327694095e-08,1.2826098547507056e-07,1.1297756646077229e-07
