Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109075.679251,3.413585288463018e-07,6.757911462327825e-08,4.7161919040027146e-07,1.9123283957465338e-07
109075.9272648,9.56784301358589e-08,1.9932143486425616e-08,3.484645051110897e-07,1.0838694721572477e-07
109076.1753588,1.3877439375246446e-07,2.514096612462529e-08,4.531660146503895e-07,9.401572235868004e-08
109076.4231558,2.582662344958971e-07,2.5139332326412204e-08,6.842613767995052e-07,6.537948530786505e-08
109076.6710749,9.073633404908375e-08,5.735032002156492e-09,3.531258188979787e-07,3.1417601798802705e-08
109076.9194198,3.945247685250055e-08,7.075897420402672e-09,1.7616140496232058e-07,3.6141915273623865e-08
109077.1674647,3.6234030200297625e-08,1.1259828528178671e-08,1.5805034862065826e-07,5.4242527245593235e-08
109077.4152477,4.554134864258937e-08,1.2276414584903568e-08,1.891258111844945e-07,4.474119245706636e-08
109077.6632403,4.8093554230907214e-08,9.509154143216366e-09,1.1994113898495585e-07,2.6627991150380025e-08
109077.9110838,4.196165506924526e-08,9.152785315729376e-09,6.647918344847623e-08,3.020910091184636e-08
109078.1593956,4.22075696362e-08,1.1279321798915106e-08,5.619909228193532e-08,4.6951464489598534e-08
109078.4073602,6.63961328584962e-08,9.060772615603513e-09,5.878749681276206e-08,3.9739975810319865e-08
109078.6551945,6.05954043699096e-08,7.1457957873828075e-09,5.6032555919403386e-08,2.0182967693544488e-08
109078.9032798,4.261043431302865e-08,1.1175733027611408e-08,9.961952934352972e-08,2.067486221562034e-08
109079.1511177,8.270874662516616e-08,1.5481814165257636e-08,2.202107748889803e-07,2.8946389142197232e-08
109079.3991829,1.147970781824867e-07,1.8141242392221112e-08,3.052207042004492e-07,6.171979537440325e-08
109079.647301,6.722148197707589e-08,1.58204630049194e-08,2.262429175091485e-07,7.037490673304253e-08
109079.8953431,4.3631483853206845e-08,7.717312569398833e-09,1.245765077373873e-07,3.30320625884955e-08
109080.1431203,4.251070346442853e-08,8.619318364101943e-09,2.754592421104687e-07,4.4037202846695475e-08
109080.391108,3.456477471072239e-08,8.530567898407078e-09,2.8576168151429844e-07,4.081398960022537e-08
109080.6393044,2.987584743864304e-08,9.693781003355204e-09,1.3456938527298041e-07,3.829984663469984e-08
109080.8872598,3.758026302441627e-08,1.2494361477406594e-08,1.039377043884808e-07,5.4912020575356714e-08
109081.1351184,4.778217663976289e-08,1.777345487637918e-08,1.1432882499233193e-07,5.1572346285203046e-08
109081.3835799,4.949964918531444e-08,1.3709343083556687e-08,1.0664712263751119e-07,3.606022131453544e-08
109081.6311577,4.491868437644865e-08,1.0147860709470202e-08,5.832931817678189e-08,2.486421943721257e-08
109081.8790552,4.3762594036127486e-08,9.34408852978151e-09,7.17868992356491e-08,3.2660039726344905e-08
109082.127316,4.7613142127643534e-08,8.614136575104543e-09,1.442049318699524e-07,3.984935547864285e-08
