Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109144.1831917,8.463563750672298e-08,2.306307873434466e-08,1.8382285838462695e-07,7.94246985748806e-08
109144.4311607,6.873216942521374e-08,1.1381852233863207e-08,1.808705210827013e-07,4.1953484624833025e-08
109144.679207,6.49348720857759e-08,1.8066085081928023e-08,6.03138689307503e-07,9.707287822449297e-08
109144.9273096,2.3010849636922562e-07,5.4789797678260356e-08,1.8121664865172845e-06,3.489418348609659e-07
109145.175223,1.2677384987679652e-07,3.586375617528273e-08,7.554799850678365e-07,2.0634173195893578e-07
109145.4235028,7.154251600509694e-08,4.288368459860355e-08,2.0632378270894762e-07,1.535824747915917e-07
109145.6771955,1.5722243040193558e-07,5.7859257650592284e-08,4.571373442288853e-07,1.691490884167214e-07
109145.9191556,1.2093360754848178e-07,3.285002995837822e-08,2.8435063493653733e-07,8.060153989115267e-08
109146.1672386,6.661140953195886e-08,1.285751505733908e-08,1.713898268556716e-07,4.483074665372066e-08
109146.4153077,5.2713286897453135e-08,1.1887126249053426e-08,1.0961581679069901e-07,6.609121072365546e-08
109146.6631578,2.622226455044466e-08,1.4566876114238661e-08,5.872306885282455e-08,6.597553067626493e-08
109146.9112991,1.6852824249878292e-08,1.2841917321666896e-08,7.115752973052704e-08,4.6103277787147657e-08
109147.1593817,7.744307062915846e-08,2.3823452210858505e-08,2.9744305728888325e-07,9.077730842766773e-08
109147.4072108,1.3191989486114853e-07,4.620836762887998e-08,4.975583065423559e-07,1.631648950971163e-07
109147.6557472,1.2727607153319512e-07,4.717353632142254e-08,3.3090128190946644e-07,1.7298961040943725e-07
109147.9032282,9.312614165987947e-08,2.4050715152907383e-08,1.61968622026012e-07,8.462499111150994e-08
109148.1512189,4.9690686442695825e-08,1.0605300490433545e-08,1.0943294403552144e-07,5.5409854477267376e-08
109148.3992066,2.7562814077826903e-08,1.5722560876584927e-08,1.608209939661184e-07,8.66941727333213e-08
109148.6474626,2.3710966438725525e-08,1.6209726541329075e-08,2.136083616657397e-07,1.0951116184579657e-07
109148.8955848,3.8435412335891596e-08,1.3900795514347756e-08,1.3796570885420745e-07,7.796624022684235e-08
109149.143213,8.717369512759278e-08,2.7193121322423045e-08,1.6684510908552326e-07,8.717461520255148e-08
109149.3911862,1.5662105437187898e-07,4.4955939986494685e-08,2.514168661678568e-07,1.1841742962467106e-07
109149.63934,9.428188235637641e-08,2.96395638302227e-08,1.3105441702723116e-07,8.26955726551787e-08
109149.8873399,4.816169968740867e-08,1.1564155649442245e-08,1.3432196833521913e-07,6.639322097927605e-08
109150.135424,3.5096406447109355e-08,1.20280118012432e-08,2.271976135295487e-07,8.75823643883878e-08
109150.3832262,4.426838726678367e-08,1.3681363205047961e-08,1.5945480674267278e-07,5.791047626387811e-08
109150.6313815,4.2373871279445826e-08,1.2007909284771949e-08,1.260814792244333e-07,3.23396173936397e-08
