Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99698.38835,1.0226821767716985e-07,1.265197325943762e-07,8.038720750488832e-08,3.600405588156942e-08
99698.6348729,3.208905916241799e-07,1.329469262700221e-07,1.0610843363528697e-07,2.5523127619918566e-08
99698.9535529,5.703049688627541e-07,1.0958506600634625e-07,1.363160472091503e-07,2.4287061318519683e-08
99699.4185302,4.6921636511009947e-07,1.772995238251668e-07,1.6557979709310592e-07,3.5052231964200744e-08
99699.8976369,5.701562335896473e-07,2.017083493867405e-07,1.54665308437149e-07,3.3187584974587995e-08
99699.9398536,5.42879043729676e-07,1.5794204104138218e-07,1.563732937830467e-07,3.2605231198468056e-08
99699.9842202,7.948990396298246e-07,2.1924715939445334e-07,2.0630057449531335e-07,4.437719529495673e-08
99700.1234074,5.860616192715476e-07,1.790632925699353e-07,2.058976103354844e-07,3.684305950516494e-08
99700.3707934,1.0049800470992844e-06,1.988989928125747e-07,3.193870139631945e-07,3.738250487076115e-08
99700.619287,4.663366849595422e-07,2.4372821206044776e-07,1.7911785206448205e-07,3.0798857298737483e-08
99700.9138894,4.478663078479002e-07,1.7484624790986574e-07,1.3000175278609782e-07,2.2804937529269504e-08
99701.33841,4.281930332516681e-07,1.2599425810408965e-07,1.694501162434598e-07,2.3627559935198572e-08
99701.8002081,3.331858719057334e-07,1.189579902429075e-07,1.414639978139525e-07,2.5128007029380983e-08
99701.9542107,1.8271784770603403e-07,1.0512968721872077e-07,8.319170666767385e-08,1.4592261913569637e-08
99702.0000969,2.13000994246845e-07,1.53052764883115e-07,8.37423916211877e-08,2.245847530572566e-08
99702.1069674,8.515508654662276e-08,2.1956805685278215e-07,6.737372719164891e-08,3.9612828095973436e-08
99702.3558791,1.859417810783413e-07,1.5910287091246529e-07,1.232228472553679e-07,3.163635125839067e-08
99702.6033061,1.8394625059419957e-07,1.1233940404210294e-07,1.0606109365893485e-07,2.137065602354933e-08
99702.875075,1.9957475063077626e-07,8.617715373931307e-08,6.371132991479795e-08,2.4466843075008883e-08
99703.3462144,8.471324681057181e-07,1.0682741085659517e-07,1.0857823128645546e-07,3.0565270812375154e-08
99703.7829479,1.1314258657139651e-06,1.0449446173689423e-07,1.5522634927333614e-07,2.547388940800768e-08
99703.9511853,1.1577690718371948e-06,1.1837907424749733e-07,1.81529744241464e-07,2.1625881337751383e-08
99703.9971084,4.992958945588738e-07,1.474230437044975e-07,9.569382402112579e-08,2.4603866398079492e-08
99704.0910275,7.518119766236161e-07,1.3148933704526393e-07,1.4869521453318257e-07,2.4086684353367833e-08
99704.3397225,1.2001527263463126e-06,1.3874668235446828e-07,2.0687435007302814e-07,2.8556833420822907e-08
99704.5870645,1.164744728752244e-06,2.850495328496325e-07,2.0821041694669454e-07,3.4558998790473326e-08
99704.8664806,6.628572084564138e-07,2.876186631950851e-07,1.8516840772759347e-07,4.712168124777381e-08
