Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99728.7471261,1.7532461462534856e-07,3.068640286834713e-07,9.419690283884254e-08,6.197599797328871e-08
99729.1126175,2.502989096067907e-07,1.780904017241588e-07,9.471885727724337e-08,2.8718628733126853e-08
99729.6016613,3.702635914389046e-07,8.916859486539894e-08,8.741111670329037e-08,1.4289214766088846e-08
99729.9359739,1.7993598367345466e-07,9.281587186827797e-08,6.05314199678987e-08,2.5902659325909903e-08
99729.9911818,1.867796575760077e-07,1.3878039707024096e-07,6.643826939023214e-08,4.4094546239339164e-08
99730.0662087,2.270238854204233e-07,1.0794834467160563e-07,7.186968929711506e-08,3.501969038655595e-08
99730.2350999,1.8786378549727158e-07,6.623326173019022e-08,5.751442464396863e-08,1.7918938402729683e-08
99730.4833337,1.8761947324939326e-07,8.3533241506777e-08,6.809250539286824e-08,1.702633519777237e-08
99730.7313807,1.7454773096270134e-07,9.769043126640977e-08,1.4705946799804258e-07,2.4069851424081592e-08
99731.0650612,4.78876601067026e-07,7.662728509114996e-08,3.077260841718554e-07,3.7387467667808646e-08
99731.5596907,6.781438405733926e-07,1.062021147288996e-07,2.509555610771576e-07,4.889728335509549e-08
99731.9533602,4.297466104770634e-07,8.747236050049595e-08,1.4097743710609858e-07,3.2808569227707e-08
99732.0058859,1.839999153676481e-07,9.04952840736052e-08,5.2605492186653674e-08,2.984134236572904e-08
99732.0535394,1.430711269970913e-07,1.3795220432467457e-07,8.06860193656407e-08,4.54033652607485e-08
99732.2198396,2.074018789652021e-07,1.3269214837083877e-07,1.3817987863768284e-07,4.3571301958195394e-08
99732.4671084,2.3245586838756974e-07,1.0312195873059185e-07,1.5248951760054512e-07,2.8150964064968334e-08
99732.7154893,2.2095012455310198e-07,1.3144822502221418e-07,1.435392131604748e-07,5.7012688050666985e-08
99733.013153,5.133429893861572e-07,1.9352750129233738e-07,9.058094239167548e-08,5.3258157080350624e-08
99733.4833679,5.197773657100197e-07,1.4488684061730908e-07,7.057479044870636e-08,1.940268035825249e-08
99733.9368872,4.5654884697452114e-07,8.077510780035268e-08,2.464777395207604e-07,1.3125178201879489e-08
99733.9849471,5.778462916759522e-07,6.523814860029263e-08,3.4893013555293533e-07,1.730895860994144e-08
99734.0395085,4.3263385383545017e-07,6.519067414576226e-08,1.85025964244068e-07,2.091649774221972e-08
99734.2029549,3.786296230663197e-07,1.0310448988753977e-07,1.427822429948733e-07,2.8291720118699607e-08
99734.4508177,1.7101407541640498e-07,1.0912867649405732e-07,1.888965041218529e-07,3.780098850619885e-08
99734.6993305,2.611986152306661e-07,6.645729108558521e-08,1.4828494618573137e-07,2.8153286607464285e-08
99734.9476239,2.706167166468989e-07,5.9471712708405714e-08,5.002063486892928e-08,1.8964409601948952e-08
99735.4088259,3.543085451441345e-07,1.1266524096365257e-07,5.4946083648820254e-08,4.374780842450694e-08
