Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99721.3948779,6.892974186381463e-07,1.4912802706492664e-07,1.4122555657302986e-07,4.4235324654954835e-08
99721.8623416,1.234580930084575e-06,1.3476273402004314e-07,3.185278677778648e-07,3.697325873338282e-08
99721.9665713,1.0374674005782496e-06,1.342064696234836e-07,2.961492556872007e-07,3.2732491951322105e-08
99722.00977,4.56484094234322e-07,1.8803263461519198e-07,1.1983988890670214e-07,4.00509244165104e-08
99722.151042,5.620748081335523e-07,3.016527446966563e-07,1.2302667643452684e-07,5.0800057054171794e-08
99722.3993297,1.382506198988374e-06,2.0358342338248805e-07,2.825215009874409e-07,3.7479944113778625e-08
99722.647475,9.474265507461604e-07,1.1631640063142333e-07,1.9485447803794042e-07,2.6521262289931762e-08
99722.8950889,6.700341635823499e-07,1.481737896249622e-07,1.876853247119215e-07,3.1739743333072895e-08
99723.3338714,1.0356793334886029e-06,1.326835992533135e-07,2.675162037057006e-07,2.2133913196548543e-08
99723.7993004,5.927988996714218e-07,7.363963893248326e-08,1.4510558976536406e-07,1.7492284756548494e-08
99723.9489956,4.648871863743047e-07,5.453058843785465e-08,1.3644839132080512e-07,2.5356205886608697e-08
99724.0037177,2.2780181010126333e-07,5.0863276652476334e-08,6.713569168370618e-08,2.5034392781163427e-08
99724.134861,9.168277296453359e-08,8.930864092476549e-08,6.559146143268268e-08,1.8647811941429428e-08
99724.3834738,1.6589058053157437e-07,1.398926749971644e-07,1.359134876112357e-07,2.9122472945920992e-08
99724.6309163,2.596028956501541e-07,1.4100972365144821e-07,1.2379412708671033e-07,5.6154054088398534e-08
99724.9001943,3.165904784806903e-07,1.462174524944249e-07,6.859457941873907e-08,3.8479114364566216e-08
99725.3399015,2.811143388364325e-07,1.444028540777945e-07,9.816861735535668e-08,2.4715325964317342e-08
99725.8018545,4.887983356921605e-07,1.5196199980218858e-07,1.9192041888507346e-07,2.9800825523754717e-08
99725.9622434,2.6620427259926345e-07,1.5097668175220112e-07,1.376484482644435e-07,2.8542729390911733e-08
99726.0016349,1.5531250002583606e-07,7.245155284573711e-08,9.265657311867823e-08,1.7790704716695827e-08
99726.1196024,2.3158044052619727e-07,1.2666297901368046e-07,9.037123403154913e-08,2.5153814108476973e-08
99726.3675683,4.459417875737883e-07,1.731694752835471e-07,1.3173760003820528e-07,3.06141741543116e-08
99726.6152643,3.914469781129589e-07,9.997968782948697e-08,1.6348941320566516e-07,2.199822838432927e-08
99726.8629417,4.92523905076731e-07,9.592112934863834e-08,1.7072536694636267e-07,1.885390517011568e-08
99727.2991135,5.75104466657317e-07,1.868850584375849e-07,1.6344279748856897e-07,4.1495172874420835e-08
99727.7590993,1.541058297375812e-07,1.3859091232841145e-07,6.273078060706718e-08,3.181260595130951e-08
99727.9764585,1.744988681272193e-07,1.675005667437726e-07,5.2267019045481464e-08,3.1305961430143785e-08
