Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107051.6303454,3.332875539271368e-07,1.3375097234143172e-07,1.3023435246196716e-06,1.971765276840929e-07
107051.9276972,3.215117603953898e-07,1.210215449483166e-07,1.42295276831191e-06,1.6773070623570929e-07
107052.09336,5.071251439121236e-07,2.202592339286397e-07,9.721229236122185e-07,4.2048178335072683e-07
107052.3413656,5.598302928939723e-07,2.13409118446166e-07,7.072439916194372e-07,7.312904815990935e-07
107052.5895184,6.613528671553136e-07,1.8207788436562238e-07,1.406448480531193e-06,4.102149067049494e-07
107052.8376543,5.712764222652802e-07,1.4832202729702506e-07,1.635033625166363e-06,2.9598286579193684e-07
107053.0853517,5.943921930414839e-07,1.3947007628859696e-07,1.125154766670749e-06,2.086939808770597e-07
107053.3820182,5.058561777341148e-07,2.0083875803240545e-07,8.919521044839304e-07,3.304231520375969e-07
107053.6860059,4.760414898035524e-07,2.333642921254027e-07,7.051169183846729e-07,4.421489180022768e-07
107054.0230591,2.986268896427843e-07,1.6449190905910016e-07,7.759452408437718e-07,3.152585159972904e-07
107054.114236,3.593757677991112e-07,1.653113299599746e-07,9.744594948732558e-07,2.2483905869076047e-07
107054.3252685,5.105956734050271e-07,1.93247163110673e-07,5.280057309157101e-07,3.089809155220556e-07
107054.5733458,2.845043925758516e-07,1.2351314814513614e-07,5.490668766268562e-07,2.235130340579893e-07
107054.821291,3.937054560184429e-07,1.2530928740408176e-07,3.451793144210321e-07,1.7571424074017773e-07
107055.0692754,5.772076004313152e-07,2.685277801066381e-07,2.684256782117573e-07,2.439247192640504e-07
107055.3896114,7.533313466531545e-07,3.282723982595e-07,7.329932946660148e-07,4.348454008635537e-07
107055.6271472,6.05418596223598e-07,1.9480311886587266e-07,7.976707644690311e-07,4.0261564703682187e-07
107055.9278768,8.062986697765968e-07,3.129579431952486e-07,1.607339874176532e-06,3.625369011596097e-07
107056.0941745,4.267641649055088e-07,2.4320339154641786e-07,7.402162733590263e-07,2.068515385660745e-07
107056.3096037,3.637593904522703e-07,1.302214549519397e-07,4.20838870524085e-07,1.0505285081056885e-07
107056.5571446,3.168194101785048e-07,1.786171444495228e-07,6.077038895234483e-07,2.263385605377901e-07
107056.805201,4.880020440018612e-07,2.4219426458536e-07,5.273744337183796e-07,3.486609680736434e-07
107057.0532047,1.057390542474155e-06,4.366564130993414e-07,6.047726267985997e-07,4.242613629522105e-07
107057.3087916,9.68253104190819e-07,3.5894021139166214e-07,4.68169987131217e-07,3.232557144924751e-07
107057.5491366,4.745703257662114e-07,1.374054091239718e-07,4.083316906240974e-07,2.1819468304848077e-07
107057.884026,3.916630678076996e-07,1.0469947278169144e-07,5.49805116151157e-07,2.0727823400426265e-07
107058.071166,6.8493424467474e-07,1.190247235392079e-07,9.464337723933672e-07,2.545454412884941e-07
