Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107112.246261,2.299493705585345e-07,2.416271004860973e-07,1.403266671130813e-07,1.4639911167874308e-07
107112.4934137,4.694529384040643e-07,2.5494071720813816e-07,3.4266346563758335e-07,1.6855207411330372e-07
107112.7412265,1.0164816998465687e-06,2.7699231542949973e-07,7.758441590977066e-07,1.3685132808325485e-07
107112.9895462,1.4444970998892964e-06,2.230340947740196e-07,9.460938030164292e-07,1.6060037852259973e-07
107113.237741,1.757044404564574e-06,2.725319781267315e-07,8.465877327167495e-07,2.1938906717591205e-07
107113.5509041,7.600228027685004e-07,2.7082465872366175e-07,4.6269563856052325e-07,2.5346651637882005e-07
107113.8908554,1.0015736777900344e-06,2.6596001624474105e-07,3.666607331403146e-07,2.048142723144571e-07
107114.1737246,7.268547299203383e-07,2.276262960535085e-07,2.956164159807931e-07,1.6946356389502395e-07
107114.2296336,9.715657564566378e-07,2.255061921446465e-07,3.669294582923581e-07,1.0638205215415797e-07
107114.4777547,8.486767005801545e-07,1.7026188637796966e-07,3.772145695591268e-07,7.069672595586679e-08
107114.7265747,7.564617740852758e-07,2.2336876943869385e-07,4.985631567143045e-07,8.216303260519423e-08
107114.9735482,1.022501991185359e-06,4.230075896842263e-07,6.989823995999629e-07,1.7897256273286153e-07
107115.221576,9.94478694260369e-07,5.476282490752274e-07,1.057560089024325e-06,5.472729845799761e-07
107115.4866609,8.682402826155128e-07,3.715519231932024e-07,9.874970569564058e-07,5.048930363602507e-07
107115.7174498,3.765095455839292e-07,4.752108999558773e-07,2.773046638252078e-07,3.065500515937999e-07
107115.9747973,3.137712785066627e-07,4.849749071033659e-07,2.5881919476898413e-07,3.263744056746297e-07
107116.2136127,6.13904101181529e-07,2.2547469701750442e-07,4.500786554626981e-07,2.09617318913379e-07
107116.4614393,4.1311069502230243e-07,2.192220454610109e-07,4.149358944018116e-07,2.882677010388662e-07
107116.7093293,6.595092783169347e-07,2.81287362188166e-07,5.937187106948636e-07,2.807816848051265e-07
107116.9580189,1.3397992842192342e-06,4.574588423868163e-07,1.0577982077428915e-06,2.2234719960948402e-07
107117.2153811,6.094869827386923e-07,4.961357736348214e-07,5.546758823009477e-07,1.7269668575466834e-07
107117.549965,1.1212223113934228e-06,3.418873955077163e-07,7.237135531938552e-07,2.0321732321114678e-07
107117.877909,9.116253009256882e-07,3.266850686751215e-07,6.302278505147975e-07,2.41634430934371e-07
107118.1946935,4.614245731214072e-07,5.204911342585278e-07,2.843332077211254e-07,1.5224960966814754e-07
107118.2375299,9.272939022812104e-07,5.09764397706719e-07,2.05302014173632e-07,2.427389015138212e-07
107118.4455843,5.873389315219585e-07,3.179812339779804e-07,2.713655066103256e-07,2.632340197367895e-07
107118.6934886,3.605298859275187e-07,3.638361877592321e-07,1.4025541857757558e-07,1.6744813320902561e-07
