Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107036.4291595,6.791811840632998e-07,1.963932722742043e-07,6.216275368240884e-07,4.006213085567953e-07
107036.6772298,1.0482053266847288e-06,2.047258781050605e-07,1.3269100827549366e-06,3.178371887275187e-07
107036.9251355,3.115957058575413e-07,1.8681311317661477e-07,7.723725452048045e-07,4.080592880896787e-07
107037.1998262,1.781364750113385e-07,1.7045801835783234e-07,6.794785355311341e-07,6.042579999210804e-07
107037.4210892,2.3522554986032122e-07,1.155323287279075e-07,5.589936523408619e-07,4.901323326910835e-07
107037.7137906,1.542311648816922e-07,7.48848271637726e-08,3.006678971917969e-07,1.8882596602515493e-07
107037.9904961,1.255111023635999e-07,5.2569657202074804e-08,1.9913387194066995e-07,1.6059540956899744e-07
107038.1651847,2.9379413421437144e-07,7.74852759737353e-08,5.76535132349558e-07,1.512652955672261e-07
107038.413496,4.73463447593301e-07,1.6022820921487848e-07,7.775306983883487e-07,2.1078315147226066e-07
107038.6614006,4.993980864023492e-07,1.5391068710878435e-07,1.033889644606938e-06,3.228979571060995e-07
107038.9101133,4.219009183774587e-07,1.4031518875926788e-07,1.5977491407124582e-06,3.406469606850175e-07
107039.1630994,2.8537848209758146e-07,9.493983404046023e-08,5.852780698092313e-07,1.98581871541388e-07
107039.4357136,2.0227956173639586e-07,1.1535160002115481e-07,4.421884689548565e-07,2.046709688642656e-07
107039.7327037,5.330503145841333e-07,1.6220255661096186e-07,6.495232619393293e-07,2.4376093175452503e-07
107039.9933145,3.215082900952086e-07,1.733523526071219e-07,7.152697039664441e-07,3.303336751015085e-07
107040.149764,2.4862779440899136e-07,2.418035889917402e-07,1.0002636192826774e-06,6.56509957205577e-07
107040.3975166,8.814571693921591e-07,4.0002157804921225e-07,6.009244096483228e-07,6.395228382134143e-07
107040.6455094,8.704962377734936e-07,3.789246890953237e-07,2.7717343064436045e-07,3.20750201084084e-07
107040.8942347,4.797622939993657e-07,1.7254620859363457e-07,3.1959923139576216e-07,2.320234527221189e-07
107041.141148,4.0504201492072633e-07,1.1306125405123181e-07,4.2282899228744876e-07,2.888683366138246e-07
107041.3891375,4.3591587582069675e-07,1.264966399130819e-07,6.58621951748298e-07,2.747992239585279e-07
107041.641155,4.0506408727238404e-07,1.0724755479272021e-07,4.283460704450748e-07,2.1434414193466733e-07
107041.9648344,4.823172914116997e-07,1.2018653671308276e-07,1.87161342475259e-07,1.3152713576374533e-07
107042.133657,1.860288741789229e-07,1.1140750389449327e-07,2.987545570309964e-07,1.6571142813669173e-07
107042.38192,4.732825862428536e-07,1.632513638794166e-07,6.795219582705709e-07,2.8132881324457444e-07
107042.6295572,7.796989252642114e-07,1.9363280912428185e-07,3.542196173343915e-07,2.1271622425512037e-07
107042.8772933,4.3268286062769205e-07,1.1468550490620717e-07,5.969608558828874e-07,1.8197847935631379e-07
