Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107097.0772795,9.062171036870528e-07,1.378226856242529e-07,7.325044359369045e-07,8.738980236655246e-08
107097.328789,5.25350153146929e-07,1.509811569137691e-07,4.386452842709886e-07,7.885123712062311e-08
107097.668771,5.035646661425191e-07,1.2842277360792426e-07,3.546569359915159e-07,1.1478251359623657e-07
107098.000882,5.926276469631509e-07,1.669963835161771e-07,3.186758149093277e-07,1.1593949875704223e-07
107098.1526302,6.990897785469478e-07,2.026735145772896e-07,2.336961063452831e-07,1.0930303797533972e-07
107098.318238,5.219870682278037e-07,2.180001241584444e-07,1.647448729292866e-07,1.0103360465757137e-07
107098.5653046,4.946968090419743e-07,2.266167930262077e-07,6.093386878518159e-07,1.4713487995377126e-07
107098.8132397,4.931665407297457e-07,2.1040898855193265e-07,8.802359009232141e-07,2.840117587669566e-07
107099.0615459,4.013319040863041e-07,1.499116846857e-07,9.002680522705731e-07,3.628489642279119e-07
107099.3269804,4.430513952102442e-07,1.2564387751974753e-07,1.3591640940347978e-06,2.441717676617089e-07
107099.6785705,4.467397464888251e-07,1.6627851731720425e-07,5.469721709523126e-07,2.689158800153138e-07
107099.9473216,6.921105195192284e-07,1.8171644898746605e-07,1.9014166844399082e-07,2.0883759853934535e-07
107100.1631141,4.852572962736164e-07,1.879274382765506e-07,5.891811403619058e-07,1.65831494503981e-07
107100.3013463,5.830674194386861e-07,2.19219261841704e-07,5.627630430056936e-07,2.2349123694059981e-07
107100.5502339,7.094780011248269e-07,2.3837151962512094e-07,2.879837720780467e-07,2.1445439886085198e-07
107100.7977096,1.0532763757017898e-06,1.633512731096082e-07,1.842379785279154e-07,1.2910159779740545e-07
107101.0453073,1.0857188799549397e-06,2.369068173219768e-07,2.2500983347556218e-07,1.0849179463358861e-07
107101.2933769,1.865120346531416e-06,5.719718655639443e-07,5.976597810297915e-07,1.9753221899290843e-07
107101.541227,1.8855433428092969e-06,4.960411721488412e-07,8.909949281947652e-07,2.671813148225327e-07
107101.7894039,2.2039051443899407e-06,5.566845808387856e-07,7.779217827884489e-07,1.8561348157620574e-07
107102.0374095,2.472201322930078e-06,4.0496488177696137e-07,6.311907401149037e-07,1.7197329979401374e-07
107102.2860574,4.900046714059428e-07,1.8526627972579081e-07,2.828066551532275e-07,8.9837663990387e-08
107102.5333842,1.7467261760630068e-07,1.6488632411956621e-07,2.491044523738587e-07,7.67171072575545e-08
107102.7813969,3.659127344634025e-07,2.1511282067925386e-07,4.6014296269984137e-07,1.330000978625243e-07
107103.0298157,6.307931460293134e-07,2.131415575010439e-07,8.629163045038557e-07,1.767234931109441e-07
107103.3760822,3.972628539849911e-07,2.1120526360477347e-07,3.260219471858081e-07,1.5286938229937845e-07
107103.6425208,3.932925359954771e-07,2.0930707654250189e-07,2.0055375946392078e-07,1.3961657378678284e-07
