Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
261316.3049777,4.262857504448664e-08,1.5575969536541195e-08,9.445287295824229e-08,2.27046717681821e-08
261316.5532091999,5.00635629670592e-08,1.3158312377093168e-08,5.0168257440080496e-08,1.4815115922392215e-08
261316.8010148999,7.85019144965887e-08,2.525367510394828e-08,5.565915636565733e-08,2.7756931709342292e-08
261317.4584487999,8.125173445527975e-08,1.930622164870281e-08,7.166484805193506e-08,2.21048192681103e-08
261317.9780016,7.260770209776875e-08,1.6564492370628742e-08,1.1637712763790301e-07,2.5576868630650187e-08
261318.01767459995,9.713365539586083e-08,1.7703200611090527e-08,1.6760288467172238e-07,2.980654507685822e-08
261318.06565489995,6.96125077628391e-08,1.8212181937801666e-08,9.513771315798649e-08,2.2629750479135553e-08
261318.1063221,3.591703418678985e-08,1.8228921535840128e-08,3.855462203131727e-08,1.8739031414300553e-08
261318.2889994,2.9234367172827706e-08,8.570012386634729e-09,3.1585470517697424e-08,9.680170936484071e-09
261318.5372213,4.578569831754021e-08,7.7495980776599e-09,4.87456755778747e-08,9.46015298968148e-09
261318.78525419987,6.121535501183006e-08,2.0469711772001738e-08,6.460943444544866e-08,1.7629394966570305e-08
261319.4801216999,4.4399074856094886e-08,1.7554544893195913e-08,5.566993207341329e-08,1.8952496756075488e-08
261320.0651852999,6.299934777059948e-08,1.5048093224115064e-08,7.926493874649939e-08,1.8356174736775828e-08
261320.1052184,1.0645901975746479e-07,1.6155507877675996e-08,1.2620598371821128e-07,1.8624622791866596e-08
261320.1552754,7.504012435928116e-08,1.3986957006595502e-08,7.816645436916923e-08,1.4702370584642397e-08
261320.20072179995,5.51505105376452e-08,1.5589562759873798e-08,5.925367102471203e-08,1.6200210900859992e-08
261320.2732068,5.7622361966884824e-08,1.3308387552158357e-08,5.975561475776316e-08,1.6984227878995492e-08
261320.5210001,5.2792638445397855e-08,1.0561475113568853e-08,5.654970524626403e-08,1.0452258172109625e-08
261320.7690734,3.3470624512389455e-08,8.088205802021911e-09,4.1254645757685156e-08,9.8481134697267e-09
261321.40542809988,4.493450489603445e-08,6.956439675066983e-09,4.94667039623748e-08,8.883481978827142e-09
261321.9484782999,5.276469724350783e-08,1.0400666311167864e-08,5.7082784540678646e-08,8.256987635971848e-09
261321.99042289992,6.73675227719103e-08,1.6589971741400993e-08,8.713157290013647e-08,1.5829073081641938e-08
261322.03480239992,7.697430330592478e-08,1.8292278309015468e-08,1.2167906496647516e-07,2.1414009838871922e-08
261322.08879389995,7.45569962387613e-08,1.979324090266732e-08,1.1006968080137764e-07,2.1695988054414413e-08
