Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
261365.0124524,5.76661515192858e-08,1.6001420632396437e-08,7.129603497585236e-08,1.7340811899324892e-08
261365.2603557999,6.949723566483323e-08,2.3681172349188718e-08,1.155449202541739e-07,2.6854805027321814e-08
261365.5084961999,5.0424310872745964e-08,1.942373867827967e-08,7.088533356411013e-08,1.8667283543240427e-08
261366.00486729995,4.6324784908120576e-08,1.2191097194732622e-08,6.395317160923844e-08,1.5025090103139148e-08
261366.76937949992,2.3562224215842317e-08,8.246379255800066e-09,2.579453044972725e-08,1.098318918296408e-08
261366.8112752,6.428892729187445e-08,2.2204616885643266e-08,8.716222139656165e-08,2.7330189005492285e-08
261366.8547112,3.542645824357649e-07,6.056701152549367e-08,5.295818960899565e-07,8.678885281780379e-08
261366.9006308,2.707944497671454e-07,3.2102775098312544e-08,3.6774613466017356e-07,4.9518315354542665e-08
261366.9964167,1.908645219645377e-07,1.4077504947809152e-08,2.2660960940629402e-07,1.8072846440935544e-08
261367.2443715,7.846788181857734e-08,1.0856176192626288e-08,1.0236350809663537e-07,1.3497819710913373e-08
261367.49246279988,6.901598666699472e-08,1.4101804897651049e-08,7.008444160268193e-08,1.7798253496618692e-08
261368.0048607999,1.0624510685692409e-07,1.3268705310990608e-08,1.4518725275631056e-07,1.3669817592615736e-08
261368.8218355999,2.9291036485446645e-07,1.864999381334164e-08,4.323027117891891e-07,2.6999189956761443e-08
261368.8626492,3.25280868519928e-07,3.0439611319173494e-08,4.038813887869121e-07,4.541499843902129e-08
261368.9078542,1.259818440588541e-07,1.3130942997933228e-08,1.546118105078847e-07,1.855087356954888e-08
261368.952374,5.722589347034905e-08,6.6615973616191515e-09,6.977466184856278e-08,9.233860071893392e-09
261368.9958166,3.544582539260266e-08,7.709057112496836e-09,3.58889512958069e-08,1.3457979923764976e-08
261369.2292774,4.4637612439701104e-08,7.688502736569932e-09,4.511835858014994e-08,1.3426149870680933e-08
261369.4764687,4.8329554548026055e-08,1.0392573528962049e-08,4.4182211212468126e-08,1.4885524012034772e-08
261369.8345162999,7.140789135121681e-08,1.2334824320853671e-08,5.681199424761469e-08,1.5995907540484458e-08
261370.5480644999,1.5526418780430537e-07,1.200370236652048e-08,2.0259546998231507e-07,1.5147830159111476e-08
261370.8132258999,3.7658345913231857e-07,3.0732934313094506e-08,6.042330282703678e-07,4.9132870693980406e-08
261370.85705249992,2.640742115923073e-07,2.530388993790325e-08,3.78021341247167e-07,3.787731458691344e-08
261370.9001303,1.2031435363614862e-07,9.140197916668031e-09,1.2444135452908217e-07,1.0355163692677442e-08
261370.96437849995,8.384715180062912e-08,6.6016264147261916e-09,1.2960959300546896e-07,1.1036982517463157e-08
