Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109098.5516178,4.581242421255578e-08,1.035514821546567e-08,1.0002005494916069e-07,3.1912588118690575e-08
109098.7993381,4.7720148133762444e-08,8.780845881525788e-09,1.0092714808671605e-07,3.781977531456475e-08
109099.0472317,4.386618520151e-08,8.52342581425715e-09,8.557863796154845e-08,3.5073683470148e-08
109099.2951062,5.152640958485742e-08,1.018854994927912e-08,8.662358568780894e-08,3.8052391540361067e-08
109099.5430757,6.785195367768869e-08,1.4245940105784643e-08,8.944796575434507e-08,4.9071623409428595e-08
109099.7912583,8.202394135023488e-08,1.7308127800963142e-08,1.141896440329779e-07,5.6178389891055245e-08
109100.03928,8.870668048441316e-08,1.6433524231908536e-08,1.2744070232230055e-07,5.3016452388766856e-08
109100.2873558,8.006195587743878e-08,1.4015810987009296e-08,1.2782124838812854e-07,4.705212352186575e-08
109100.5352086,7.041538644184605e-08,1.2949055100997469e-08,1.1929784945848707e-07,4.446825256913362e-08
109100.7831043,6.79724944354401e-08,1.2788697956701477e-08,1.3556507429200046e-07,4.104520383506446e-08
109101.0312669,6.865817122018328e-08,1.2427906486953534e-08,1.4928234576841488e-07,3.9934255145369506e-08
109101.2792847,6.863526610920708e-08,1.4393885198186858e-08,1.4381492294073293e-07,4.407564144784782e-08
109101.5272469,7.225438925893251e-08,1.6760764593303508e-08,1.4923600899519463e-07,4.952201362712778e-08
109101.7751688,7.396981162700957e-08,1.5566636779447665e-08,1.503324143095719e-07,4.583122266654735e-08
109102.0234998,7.361162490699075e-08,1.320942097422812e-08,1.425681582653606e-07,3.988435957697217e-08
109102.271242,8.331797004315526e-08,1.2537600257421867e-08,1.3125948544568453e-07,4.0785681937651873e-08
109102.5192907,9.225456629820567e-08,1.2276528747127653e-08,1.3273910755092479e-07,4.2392628530819244e-08
109102.767115,8.42951061069424e-08,1.166005567870515e-08,1.3476504267060509e-07,4.431302803006576e-08
109103.0152961,8.328570171353723e-08,1.347996448647918e-08,1.5415461909924168e-07,4.9434948230966604e-08
109103.2634278,9.493653011612422e-08,1.688677218701016e-08,2.2943001290194009e-07,5.851021376861153e-08
109103.5111279,1.0259175405406544e-07,1.752033875099145e-08,2.3822393216656812e-07,5.7750589111412656e-08
109103.7595934,1.020491662337033e-07,1.5234186601986338e-08,2.3128403723955478e-07,4.944491661106826e-08
109104.0072122,1.0839347996422409e-07,1.347257179203493e-08,2.4692115654195614e-07,4.461884655306547e-08
109104.2551546,1.039590623331168e-07,1.3068139302782066e-08,2.370371968959709e-07,4.504278821619e-08
109104.5032442,9.08016843966949e-08,1.211442445528562e-08,2.1341525137610814e-07,4.24463904471998e-08
109104.7513734,8.423949804482104e-08,1.2070504363737161e-08,1.8958577460748786e-07,4.3038046814512215e-08
109104.9994799,8.71031234132302e-08,1.4793900764299356e-08,1.8564547668829455e-07,5.0332377537325754e-08
