Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109121.3551506,6.898325047418954e-08,1.0357571956590632e-08,1.5051907807751986e-07,6.81556893937405e-08
109121.6032872,4.7421714620882715e-08,1.1337027784412402e-08,1.3738014383506794e-07,5.385162253787948e-08
109121.8515113,6.302019155266303e-08,1.6053911480348236e-08,1.3494263567920247e-07,5.408608703007665e-08
109122.0993673,8.034164289649961e-08,2.0466241231989903e-08,1.4503357737062983e-07,6.805639412912285e-08
109122.3472956,8.188876727570688e-08,2.035392792590068e-08,1.7691809775569837e-07,7.37333504659696e-08
109122.5952979,7.484669388425604e-08,1.8560790335537205e-08,2.0718212981152652e-07,6.663461090933423e-08
109122.843229,7.131951599955648e-08,1.6671754930585528e-08,2.0920664298618868e-07,5.992681632544481e-08
109123.0914489,7.295032382580417e-08,1.5106719956215528e-08,1.9469227481655514e-07,5.8942986996383215e-08
109123.3391927,8.503949684675011e-08,1.4127568610866884e-08,1.7190739097913514e-07,5.885296010246144e-08
109123.5874059,1.0678903428883096e-07,1.5915381239211322e-08,1.7463563574789968e-07,5.728948782698651e-08
109123.8353788,1.1705002106071809e-07,1.8014108495650914e-08,1.8243218237518935e-07,5.69937741816716e-08
109124.0832448,1.1595894500715743e-07,1.9796987593597607e-08,1.957296962909279e-07,5.9153857215898156e-08
109124.3311512,1.1050767060786961e-07,1.8880303630161482e-08,1.9680958214134242e-07,5.6754331793655706e-08
109124.5793806,1.0699800011858864e-07,1.6939803578637417e-08,1.9317983330584898e-07,5.284464503180936e-08
109124.8272258,1.0617910088738011e-07,1.6751794814382263e-08,1.9157729488251638e-07,5.174499886039919e-08
109125.075224,9.670582994475665e-08,1.6206027550876683e-08,1.7510539802636508e-07,4.896031750433319e-08
109125.3232798,8.744925871192214e-08,1.4309672046079549e-08,1.6806136447677212e-07,4.4624750382584676e-08
109125.5715678,8.583034145650612e-08,1.4464285681686858e-08,1.6928550797080594e-07,4.584377071363793e-08
109125.8192882,8.900941061083358e-08,1.6557916089662052e-08,1.6865899273025217e-07,5.31386932748203e-08
109126.0672621,9.124770045462554e-08,1.6883886206114232e-08,1.6697661050827288e-07,5.344306448137423e-08
109126.3152422,8.379567661975396e-08,1.6025536140440016e-08,1.864176845370113e-07,4.909096050023281e-08
109126.5635733,7.098007050662905e-08,1.5414716874572323e-08,1.940397495108599e-07,4.862702336107241e-08
109126.8115738,6.11145892163839e-08,1.6724740326282904e-08,1.9629934623648732e-07,5.3491317216115e-08
109127.0593564,6.156577240727241e-08,1.8682660881800543e-08,2.2540828326605532e-07,6.344621502198692e-08
109127.3075816,6.235748075936996e-08,1.8172978715137357e-08,2.2388166590187372e-07,6.19015701585857e-08
109127.5551465,6.218127483483242e-08,1.9673559199164074e-08,2.2073888218418824e-07,6.253694478543866e-08
109127.8033034,7.036436763916626e-08,2.1472736468574697e-08,2.6815543764378803e-07,6.85933945764071e-08
