Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109159.4394997,1.295201858636617e-07,3.7840113062469785e-08,3.590810914862462e-07,1.0506961137721917e-07
109159.687585,1.4746585415382828e-07,5.057374273580428e-08,3.775292774011673e-07,1.4526460108131027e-07
109159.9353752,1.0926186658783955e-07,3.6923561465066314e-08,2.863809507496916e-07,1.1628870957673205e-07
109160.1834529,8.330028631665046e-08,2.9031864607568638e-08,2.601209464246134e-07,1.004715202075652e-07
109160.4312011,6.658057810149343e-08,2.9513948939285796e-08,2.156031112641115e-07,1.1138486912304292e-07
109160.6792418,5.482187432005764e-08,2.6350452634892387e-08,1.7625627183756115e-07,1.0508698195341784e-07
109160.9272196,5.4845301400323374e-08,2.406248904758274e-08,1.6385398395927572e-07,9.239274185198201e-08
109161.1753931,6.33234925210187e-08,2.929396070420715e-08,1.7919099804267767e-07,1.0572979616921647e-07
109161.4231882,7.050498711676157e-08,3.498481522911686e-08,1.9106748851677946e-07,1.2036197061206082e-07
109161.6713768,7.01218051400466e-08,3.1610207358683294e-08,1.9071325528520358e-07,1.0774531679505074e-07
109161.9192038,6.198790986801395e-08,2.704125380597852e-08,1.672796023036615e-07,9.570534477331053e-08
109162.1673908,5.2090942791072135e-08,2.702813722917149e-08,1.4955117163167085e-07,1.0495201782473414e-07
109162.4154141,4.6624857886982204e-08,2.4370323624051e-08,1.4201955416891687e-07,1.0015534571585712e-07
109162.6632164,4.948521968125678e-08,2.217838067343531e-08,1.4586143442822126e-07,9.10912885196361e-08
109162.9113062,6.026051644610764e-08,2.7593762626522507e-08,1.5834457957049619e-07,1.0561832805661089e-07
109163.1595103,7.75432164062193e-08,3.339808521193972e-08,1.949849843353899e-07,1.192419033099837e-07
109163.4073594,7.644424210256911e-08,3.162814438335365e-08,1.876805697587655e-07,1.1100215480805371e-07
109163.6555824,7.390112824497026e-08,3.088371098897587e-08,1.668528829436123e-07,1.1358501473890989e-07
109163.9033927,6.966045250154667e-08,3.1985690757098185e-08,1.6187805538734783e-07,1.2426123731604405e-07
109164.1515033,6.27418360574896e-08,2.8621568538296827e-08,1.4268489846281717e-07,1.160037925686855e-07
109164.3992737,6.299691040920822e-08,2.759984318501371e-08,1.4291373011409908e-07,1.1445360212598769e-07
109164.6471976,7.672631294779014e-08,3.5379626159728057e-08,1.6966152314624367e-07,1.390328939285565e-07
109164.8954837,1.0234040299748277e-07,4.067074322245477e-08,2.3212654996847686e-07,1.4992860678236264e-07
109165.1432553,1.0587882804923643e-07,3.576091933290494e-08,2.5020890965379077e-07,1.3627298629834273e-07
109165.3914248,1.0689753016336644e-07,3.159016315816406e-08,2.1944267676074623e-07,1.256058664921439e-07
109165.6399685,1.236185438439517e-07,3.1876337720030507e-08,1.8705436047718232e-07,1.3407828874939467e-07
109165.8873289,1.2846060180859015e-07,2.818552392787638e-08,1.6997660479322577e-07,1.2239602586522742e-07
