Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109075.679251,3.413585288463018e-07,6.757911462327825e-08,4.7161919040027146e-07,1.9123283957465338e-07
109075.9272648,1.1791192323182661e-07,2.6093389754122078e-08,3.59609725499251e-07,1.1909977812420692e-07
109076.1753588,1.2812757240374961e-07,2.563257606687519e-08,4.0542108934753393e-07,1.0696329193210536e-07
109076.4231558,1.7374229552453297e-07,2.545745160724422e-08,5.031570142645674e-07,9.219910727639495e-08
109076.6710749,1.5000477422193203e-07,1.960732367243803e-08,4.6025203933547835e-07,7.416990040249242e-08
109076.9194198,1.2220283188576583e-07,1.6267945438185214e-08,3.8880828264271744e-07,6.403619149515973e-08
109077.1674647,1.0228856193093327e-07,1.5016441289617444e-08,3.353542888421791e-07,6.158880225519961e-08
109077.4152477,8.981819553849684e-08,1.435761325011868e-08,3.0322015241976397e-07,5.7537864461619475e-08
109077.6632403,8.095399528211189e-08,1.3218443939884765e-08,2.6428340360741907e-07,5.0275437722935674e-08
109077.9110838,7.284801738500144e-08,1.2276318816645128e-08,2.2316259301204796e-07,4.562551460130542e-08
109078.1593956,6.656624569376848e-08,1.2047191066068747e-08,1.8893246031444075e-07,4.593024160638045e-08
109078.4073602,6.653167924279227e-08,1.1364246602990618e-08,1.6248736877574946e-07,4.451463029118016e-08
109078.6551945,6.533230842310945e-08,1.040240631582053e-08,1.4097913357964295e-07,3.8966817986803785e-08
109078.9032798,6.075830198753601e-08,1.0578419457963565e-08,1.3265327564062633e-07,3.480347465191319e-08
109079.1511177,6.516669220042947e-08,1.1693278677883126e-08,1.502377769627619e-07,3.347177974009004e-08
109079.3991829,7.511923466618537e-08,1.3158393041429623e-08,1.8131700663786227e-07,3.989032911180706e-08
109079.647301,7.35369899463031e-08,1.3763043708476164e-08,1.9031751451145195e-07,4.681445974928604e-08
109079.8953431,6.754936139069367e-08,1.23901529490518e-08,1.771549641700694e-07,4.3684693428309074e-08
109080.1431203,6.253813276968501e-08,1.1533970887404178e-08,1.968295494706563e-07,4.3764732006980454e-08
109080.391108,5.694096101355388e-08,1.0852091926567317e-08,2.1462392426963448e-07,4.3094808865335286e-08
109080.6393044,5.1526390268993834e-08,1.0589126929439901e-08,1.9860843763142801e-07,4.200623480120707e-08
109080.8872598,4.8736654334912735e-08,1.1021649482807913e-08,1.796708256476894e-07,4.49360805895973e-08
109081.1351184,4.8545736436359305e-08,1.2554404576383477e-08,1.6660089481977263e-07,4.644260654144798e-08
109081.3835799,4.873653328750732e-08,1.2816589223533854e-08,1.5460924153769753e-07,4.408568278283171e-08
109081.6311577,4.797292687317188e-08,1.2210760125803607e-08,1.3535233306309442e-07,3.972221091435011e-08
109081.8790552,4.7130834451245983e-08,1.1559998276176925e-08,1.2263885595944104e-07,3.811903056014985e-08
109082.127316,4.722729788201775e-08,1.0891260979761726e-08,1.2695215589725405e-07,3.851182999384072e-08
