Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109136.5833015,2.464032099835088e-07,5.7872813654675234e-08,2.9663098277655264e-06,3.780956512407687e-07
109136.8313663,3.6691731672048274e-07,9.671279177751326e-08,3.4556177082992308e-06,6.57966181063049e-07
109137.0796422,2.650015719849568e-07,7.277781608298816e-08,2.40034946357554e-06,5.355332968444291e-07
109137.3272459,1.923575664009426e-07,5.5611773432907256e-08,1.7752188161021048e-06,5.026938873126517e-07
109137.5753556,1.4690799868953112e-07,4.478124429312075e-08,1.3610573423319247e-06,4.250024930377293e-07
109137.8236165,1.186345490156751e-07,3.611712610118338e-08,1.085640184313314e-06,3.265732719556553e-07
109138.0713607,1.0377749486119637e-07,3.1095460179900556e-08,8.729481652367457e-07,2.5707206875375164e-07
109138.3192525,1.0627652615448604e-07,2.6088485905963343e-08,6.986246364109482e-07,2.0047456806846855e-07
109138.5672615,1.2168462028437683e-07,2.2964456202675813e-08,5.785260158472563e-07,1.6053611268881297e-07
109138.8153337,1.233326204729239e-07,2.270940293399824e-08,4.969850340166601e-07,1.365785444192925e-07
109139.0631551,1.2157654185345203e-07,2.3251908350118937e-08,4.35241014717059e-07,1.2045230287432354e-07
109139.3111836,1.091009982394626e-07,2.12845207172288e-08,3.7019473666805746e-07,1.0120286018704028e-07
109139.5591983,9.492835798527842e-08,1.902228203821986e-08,3.2258866624418685e-07,8.750038250703336e-08
109139.8075973,8.53181289324531e-08,1.7346798979886477e-08,2.792800079456049e-07,8.105954282874232e-08
109140.0552434,8.834270786375037e-08,1.61969976747795e-08,2.611297904213607e-07,7.691881393025528e-08
109140.3032812,9.167068430833359e-08,1.535382746759698e-08,2.546349811483597e-07,7.074133780105594e-08
109140.5512559,9.488876496509498e-08,1.6959258933121987e-08,2.481051437904244e-07,6.855922851206579e-08
109140.7993622,9.958554128829389e-08,1.918223013113216e-08,2.5146537210203344e-07,7.063044819678747e-08
109141.0471861,9.759016922275386e-08,1.9249319815328284e-08,2.3265369848312451e-07,6.755301377792446e-08
109141.2953268,8.875440197539709e-08,1.780100798877245e-08,2.203807229094087e-07,6.451768860529957e-08
109141.5434139,7.999370997672595e-08,1.6636961055900293e-08,2.2663314959886966e-07,6.31292418818485e-08
109141.7915883,7.039049254556513e-08,1.640953854720191e-08,2.44121203253861e-07,6.085992885242297e-08
109142.0395952,6.534880515821716e-08,1.5584926040481488e-08,2.8065857494356976e-07,5.8270416850584787e-08
109142.2873552,6.125601873350502e-08,1.5239031844992655e-08,2.704509103045241e-07,6.209502052783526e-08
109142.5353335,5.970158904990139e-08,1.7602464935120807e-08,2.398867985244059e-07,6.824643908829497e-08
109142.783632,6.65164032371991e-08,1.987310148999576e-08,2.246302272060084e-07,7.355926854805995e-08
109143.033187,7.363748244818579e-08,2.0734745003099255e-08,2.6698200702267e-07,7.585652571280104e-08
