Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109068.0630691,4.247349502573417e-08,4.864132887882526e-09,6.464697997516939e-08,1.0857057667779784e-08
109068.3111451,1.22378425262519e-07,7.625161721368197e-09,1.946870191656708e-07,1.7663206531652336e-08
109068.5591296,2.0629142667139327e-07,1.5732517862511986e-08,4.06837763448906e-07,5.21904616304755e-08
109068.8072707,2.0033283478154696e-07,2.820648166793896e-08,4.919159368869914e-07,1.2433220261905471e-07
109069.0550706,1.982514067406675e-07,3.8294322086822983e-08,5.26963367679616e-07,1.5553526494076297e-07
109069.3033696,2.1085723575370162e-07,3.8162816446343016e-08,5.461945684685969e-07,1.3827057942343914e-07
109069.5512883,1.9685405822507738e-07,3.322745595492078e-08,4.925815042673017e-07,1.1630397981108962e-07
109069.7994099,1.6246985611115834e-07,2.677183002358802e-08,4.003296138525691e-07,9.336717772026204e-08
109070.0473292,1.3869798103699594e-07,2.2088561209080348e-08,3.30651363593075e-07,7.691063017172312e-08
109070.2952071,1.1880281527563633e-07,1.8633654616718682e-08,2.775058809577672e-07,6.359550668246745e-08
109070.5432291,1.1205903420355946e-07,1.626204351287611e-08,2.5313589171016224e-07,5.490268477736582e-08
109070.7913461,1.0849075941128217e-07,1.488120064630267e-08,2.433852367318048e-07,4.8028798644622164e-08
109071.0393979,1.0171070857293286e-07,1.3772804277520726e-08,2.3341966002981574e-07,4.1470513895314733e-08
109071.2870765,9.410853785696138e-08,1.2862012949119568e-08,2.1987776323024732e-07,3.655387181413896e-08
109071.535048,8.740298403870828e-08,1.1553124134375382e-08,1.9798851956124955e-07,3.2479915870854405e-08
109071.7833725,8.090043467962632e-08,1.0318454299738926e-08,1.740096290125905e-07,2.888257641528922e-08
109072.0314158,7.43293540028433e-08,9.232594219235591e-09,1.5174705145724497e-07,2.6064368689861172e-08
109072.2791033,6.618856722230021e-08,8.89685606121246e-09,1.3145018688960452e-07,2.6597405114822995e-08
109072.5272574,5.97346728070478e-08,8.908530237095768e-09,1.1956770713670963e-07,2.9192919295008747e-08
109072.7750826,5.8391240748213955e-08,8.781351580204842e-09,1.1811462471550532e-07,3.00696735724665e-08
109073.0232076,6.500775624003526e-08,9.43037482859646e-09,1.2489658741126895e-07,2.970655131556701e-08
109073.2710747,6.649591328286862e-08,9.377609130658254e-09,1.1295414078590172e-07,2.8250122924855417e-08
109073.5192552,6.259073376779094e-08,9.920771939984518e-09,1.1354805269931991e-07,3.044572978940545e-08
109073.7678134,6.709741523251754e-08,1.0223744581043483e-08,1.1971889364033242e-07,3.1623472614427327e-08
109074.015329,6.892247907936201e-08,9.84997585462924e-09,1.2227922419559748e-07,2.95397211735014e-08
109074.2631353,6.886478609895482e-08,1.0339873068826246e-08,1.3268820046285685e-07,3.511552611015924e-08
109074.5113083,7.591875527919269e-08,1.2199532726858975e-08,2.1267760393264954e-07,7.127243820338368e-08
