Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109106.1311316,2.2280987203660602e-07,6.68554949258758e-08,1.0909963243753095e-06,3.062563347261661e-07
109106.3792388,1.4829102682022714e-07,4.613224659756169e-08,6.941638922923241e-07,2.1065046483356495e-07
109106.6275231,1.3220975674958007e-07,3.4754892607906045e-08,6.362556587679055e-07,1.8084569080293717e-07
109106.8752467,1.1047402019526245e-07,2.849220628185647e-08,5.569730760123608e-07,1.517792668022135e-07
109107.1233273,9.050172912217535e-08,2.51798263197852e-08,4.626257896275241e-07,1.2679189906620615e-07
109107.3711965,9.039449432569447e-08,2.448783322618951e-08,4.1347369057193216e-07,1.0963213346388079e-07
109107.619312,1.0052263053174514e-07,2.611380186959763e-08,4.156344862992121e-07,1.0133295591648772e-07
109107.8671469,1.0127935178333699e-07,2.6372588280970515e-08,3.848601170202682e-07,9.616485561074995e-08
109108.115185,9.377323181733316e-08,2.3351956653314208e-08,3.2318588516146393e-07,8.265051402531748e-08
109108.3631248,8.352734325882784e-08,1.9791919799066395e-08,2.703816383399306e-07,7.075725658846102e-08
109108.6113091,7.897397599948104e-08,1.7396629224432528e-08,2.2819395336928858e-07,6.624037884105715e-08
109108.8592194,8.032523257569085e-08,1.532588170059496e-08,2.0899238677677577e-07,6.231813503818142e-08
109109.1073247,7.553400751356852e-08,1.4073654147657107e-08,1.942207461939345e-07,5.8199511975440017e-08
109109.3551257,7.186689680746324e-08,1.556975351360531e-08,1.8280349472810835e-07,5.8952356412179e-08
109109.6031325,7.290783717855548e-08,1.7635039627575573e-08,1.7530084618303134e-07,6.263844824176104e-08
109109.8513376,6.973188842690798e-08,1.7397829293475184e-08,1.6247527296624485e-07,5.832639520767094e-08
109110.0992543,6.397457896863695e-08,1.5316434403222665e-08,1.4430359359294773e-07,4.9351005582145536e-08
109110.3472815,6.081346344413907e-08,1.3379647616650423e-08,1.2178935228674015e-07,4.519896054685857e-08
109110.595137,5.8624225150396085e-08,1.303439460015561e-08,1.2149533666099536e-07,4.749624121896607e-08
109110.8472211,5.3929685385150715e-08,1.3471909930618048e-08,1.6464213714318798e-07,5.239977773567522e-08
109111.0914341,6.009454376076972e-08,1.4656070034644539e-08,1.9553443088329052e-07,5.89223827425044e-08
109111.339285,9.115777391993289e-08,1.8109349193384483e-08,4.4306541983029723e-07,7.732836458483272e-08
109111.5872201,1.257297410590414e-07,2.310776043936058e-08,7.984872615342753e-07,1.0877478115116507e-07
109111.8352897,1.3634639122196963e-07,2.4195863657378955e-08,7.962407084853624e-07,1.1346922384268524e-07
109112.0833119,1.770376431981132e-07,3.08358181625545e-08,9.006783275111099e-07,1.4289475201517503e-07
109112.3311809,1.6735906480387443e-07,2.997962199958248e-08,8.321360893917647e-07,1.3883536642805174e-07
109112.579256,1.4165284408007608e-07,2.5836842420665365e-08,6.836140488282839e-07,1.2031920519317207e-07
