Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99675.8852012,4.1962455143513563e-07,1.431402669104404e-07,1.0520602722676377e-07,2.5262204277406788e-08
99675.9343824,1.4820004627298694e-07,1.271687135775973e-07,5.2615645616028496e-08,1.993280765923914e-08
99676.110759,1.70414546716789e-07,1.4289526891206833e-07,6.693748655882983e-08,2.1285492838325488e-08
99676.3587194,2.1514348122729055e-07,1.787378406955465e-07,8.821166808415895e-08,2.8924635693694853e-08
99676.6067618,2.3182035333381955e-07,1.846473090346349e-07,1.0090066845798807e-07,3.272231769901014e-08
99676.8853743,3.4607954276390224e-07,1.634946850264937e-07,1.2714101656314998e-07,2.9687484077592974e-08
99677.3170891,5.205340279227e-07,1.690633536163507e-07,1.6361441602322675e-07,2.895940468659561e-08
99677.780107,5.66051087418652e-07,1.8854335864543812e-07,1.8096670063332133e-07,3.071648838287614e-08
99677.8744145,5.226298968562898e-07,1.771780230287396e-07,1.6732075006084887e-07,2.8359908500293e-08
99677.921133,5.629607336207458e-07,1.6796478249033553e-07,1.5773559782430004e-07,2.8292341760108764e-08
99678.0948211,5.704245580548949e-07,1.6308177110288853e-07,1.5075736928112515e-07,3.106369229180997e-08
99678.3431712,5.255666455083973e-07,1.6088059927283402e-07,1.4360382821104957e-07,3.1679582490827696e-08
99678.5909156,5.213217862640095e-07,1.942323547031714e-07,1.4720594758262036e-07,3.7447415045923024e-08
99678.8986053,4.7023291644540607e-07,1.9705445240672742e-07,1.415990972880063e-07,3.8674248557442606e-08
99679.3511883,4.516186461250932e-07,1.8232559782310197e-07,1.3068595366788108e-07,3.577442919764198e-08
99679.782237,5.32126836473066e-07,1.9346650702119094e-07,1.3157377015882545e-07,3.543949449931047e-08
99679.872914,5.03094649781033e-07,1.8677411523712038e-07,1.2283073324700183e-07,3.2259245772930885e-08
99679.9208041,4.3677081623046957e-07,1.6661148776465142e-07,1.1431631872849698e-07,2.8205773926633456e-08
99680.0793785,4.0123726082259046e-07,1.6612628065096943e-07,1.0821084788631732e-07,2.7456984554855454e-08
99680.3272112,4.977804377464585e-07,1.6564823514703016e-07,1.198788640183061e-07,2.8569520021969384e-08
99680.5750915,6.864544676035808e-07,1.6635966821351446e-07,1.451067160141859e-07,2.8990969598646208e-08
99680.8368596,7.896845355618978e-07,1.5899463650407818e-07,1.52588809244472e-07,2.8502393549493648e-08
99681.2933112,7.130637652417501e-07,1.4205737525762216e-07,1.327960511489573e-07,2.516996211521125e-08
99681.7574025,6.3652871576062e-07,1.3968656849177115e-07,1.2305647650325938e-07,2.3730449622153603e-08
99681.8787123,5.904816458203046e-07,1.3668957351739292e-07,1.234004874067003e-07,2.1987646408260604e-08
99681.9292539,5.833841738110177e-07,1.3699835948843546e-07,1.2848166894654832e-07,2.088099499643548e-08
99682.0628048,5.613060816738868e-07,1.3692585548691262e-07,1.2656471635782274e-07,2.1239912746015383e-08
