Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99713.9300047,5.675336154536976e-07,1.914284973351391e-07,1.6324935250104473e-07,2.5692314679223786e-08
99713.9813584,6.024060742988535e-07,1.7802741989445924e-07,2.1417629405597798e-07,3.528398373257292e-08
99714.0638458,7.053889414757748e-07,1.9557732542845327e-07,2.5660401547177836e-07,4.430263966914373e-08
99714.3115804,7.167448381414235e-07,2.139595581735059e-07,2.3396484420104918e-07,5.1966937087194294e-08
99714.5594134,7.58312002334791e-07,2.313210259870991e-07,2.206999432587717e-07,5.466097969963619e-08
99714.8070156,6.945882309624655e-07,2.3305839347302551e-07,2.1145365809572643e-07,5.4485115841095135e-08
99715.2256178,6.455063671925409e-07,2.0390086667000342e-07,2.050526815682306e-07,4.8147171508909636e-08
99715.7179461,6.140553373914977e-07,1.886032904611644e-07,2.00952812116285e-07,4.5351992678337785e-08
99715.9625393,6.916915710609009e-07,1.8983929391110952e-07,2.2018828702908615e-07,4.476911571485856e-08
99716.0151667,7.058069181725336e-07,1.8311195259753258e-07,2.2717545512026044e-07,4.481923886478577e-08
99716.0573856,6.374484156404607e-07,1.729963953419033e-07,2.0870726048507336e-07,4.474635161157254e-08
99716.2948082,6.072536646605475e-07,1.6583943226004214e-07,1.947589489340802e-07,4.226446056983984e-08
99716.5428263,6.37234316243642e-07,1.8211124613059125e-07,1.811433855404545e-07,4.621026427172704e-08
99716.7910004,5.900877633221828e-07,1.8528133029332503e-07,1.6153064557197816e-07,4.8572350757538436e-08
99717.1624178,5.730952335220084e-07,1.817877886918447e-07,1.5415025587133277e-07,4.466476539649552e-08
99717.6229207,5.743842813883963e-07,1.9152932685105658e-07,1.531682178713918e-07,4.117932937217919e-08
99717.9079482,6.140850789592153e-07,1.8533321395177107e-07,1.5698623715194285e-07,4.043815745503637e-08
99717.9790607,5.791014114040112e-07,1.74708752152629e-07,1.4445904053275945e-07,3.7794313060479666e-08
99718.0311745,5.471988956092203e-07,1.623832919299733e-07,1.3754588467221536e-07,3.4673259851020635e-08
99718.2792607,6.135284752270387e-07,1.5496983016197137e-07,1.4724833106596402e-07,3.252061653674023e-08
99718.5279012,6.890166585560097e-07,2.0064612100345197e-07,1.591045368655239e-07,4.572795168410359e-08
99718.7748758,2.386175945901018e-06,5.235134650755446e-07,5.075713926079291e-07,1.2340356256530048e-07
99719.1679569,3.3503892739504384e-06,7.10744607699868e-07,7.025228167303091e-07,1.6370740516681468e-07
99719.6166443,4.312499754888728e-06,8.329315354967911e-07,9.644983901979676e-07,1.9163032807594148e-07
99719.9427904,8.652174046183793e-06,1.1707803449089707e-06,1.9874669379528137e-06,2.712869978673116e-07
99719.9907388,1.0027908637624893e-05,1.0505736106609304e-06,2.2771335732515e-06,2.4957068762814363e-07
99720.0755297,1.1933630481531486e-05,1.010012716897076e-06,2.609513237178764e-06,2.4529378431973435e-07
