Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99705.9789437,3.942554154752992e-07,1.3395225788410013e-07,7.080534580672058e-08,2.1726902194559986e-08
99706.2269646,3.38826318929942e-07,1.3710222754403154e-07,1.045501195355851e-07,1.8004054945379863e-08
99706.4755197,4.36954520575235e-07,1.3427307021417582e-07,1.6700630751563894e-07,2.10141328616783e-08
99706.7229429,5.87895390766094e-07,1.3638129963361485e-07,2.0149089982051755e-07,2.3818482701123227e-08
99707.0899551,5.614249679150252e-07,1.3920291914701186e-07,1.885281894567556e-07,2.5668471133400555e-08
99707.5434884,5.656212634151362e-07,1.4247106300874143e-07,1.846365250945788e-07,2.686132119194779e-08
99707.8792546,5.280656916499115e-07,1.681418560091403e-07,1.7435885143841096e-07,3.178705836360999e-08
99707.9333993,4.557533616561691e-07,1.7643232052861608e-07,1.518990889850597e-07,3.09428908764103e-08
99707.9743268,4.183148290879238e-07,1.7982976479178012e-07,1.3896212615137853e-07,2.996278572146081e-08
99708.2113561,4.6907638674924673e-07,1.7318806145907866e-07,1.5300830099890735e-07,2.8036156109418688e-08
99708.4597608,5.131476938354498e-07,1.7028673141373038e-07,1.610680975494678e-07,2.5569320988842216e-08
99708.7077119,5.000896514461441e-07,1.796838442090608e-07,1.5057427698448753e-07,2.7093148681521767e-08
99709.0229552,4.541268746331004e-07,1.8196398568183076e-07,1.352798923272289e-07,2.8392287182650124e-08
99709.4823208,5.30421367862332e-07,2.0709931596967905e-07,1.4351967262110632e-07,2.8531290604108182e-08
99709.8745246,5.380294526434743e-07,2.235600166673124e-07,1.3819192844565577e-07,3.2471194920527696e-08
99709.9192359,4.567705572758383e-07,2.0378494068778492e-07,1.2547059086188948e-07,3.356134563030747e-08
99709.9683759,3.948335106236294e-07,1.723069482994677e-07,1.1223661167349818e-07,2.9956617529244465e-08
99710.195626,4.267546509032869e-07,1.5451486674227956e-07,1.1482671196956656e-07,2.8048536394204064e-08
99710.4432541,4.384810702012499e-07,1.4972092764488027e-07,1.21017123133756e-07,2.7769608718498094e-08
99710.6911091,4.1741425548881743e-07,1.4480325650381732e-07,1.1097455042232415e-07,2.7123752191350158e-08
99710.9816254,4.749518469494757e-07,1.4499524142927766e-07,1.1367019404591534e-07,2.6142994440614716e-08
99711.4381565,5.230008292230978e-07,1.4989448825398693e-07,1.2619710189460017e-07,2.5387928456192655e-08
99711.9005605,5.607413145783155e-07,1.5829499431736086e-07,1.3465540980815902e-07,2.7276004972150795e-08
99711.9348504,4.786502105491977e-07,1.6238747775424972e-07,1.154999650660919e-07,3.047255472592148e-08
99711.9797274,4.6427519052850525e-07,1.6115512282543872e-07,1.0780796426525394e-07,3.051682052118217e-08
99712.1788555,4.967315141874471e-07,1.742329916858436e-07,1.117771878640532e-07,3.183624642732758e-08
99712.4273558,4.808001730779745e-07,1.8928305275619657e-07,1.1342054675346446e-07,3.31344154224468e-08
