Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99652.9935343,1.170848813718612e-06,4.5152377724593173e-07,2.799616950643168e-07,6.987442997506715e-08
99653.4137894,1.0604191982221304e-06,5.458844402647223e-07,2.620980118763479e-07,6.891623009000826e-08
99653.8051993,9.283152750680695e-07,4.1377624341580214e-07,2.7566332500079045e-07,5.4631226814548586e-08
99653.847398,8.219876802169895e-07,3.844715419652931e-07,2.775694286931739e-07,5.8899907710835216e-08
99653.8921027,9.790924388378039e-07,3.6964456023739283e-07,3.1242133538238674e-07,5.967981706701038e-08
99654.0826917,1.066373243947243e-06,3.4810080996282227e-07,3.128421638739601e-07,5.62182781822747e-08
99654.3307817,1.0833100137911657e-06,3.337132252002847e-07,3.010038145072792e-07,5.474961137925678e-08
99654.5787841,1.0489329945086453e-06,3.3300856405109914e-07,2.735233276061426e-07,5.7174980314754466e-08
99654.9189527,1.025176147996777e-06,3.257927819934376e-07,2.5555027669741885e-07,5.8611649326929326e-08
99655.385397,1.185904509828305e-06,2.9101533661061567e-07,2.7988918787000407e-07,5.392148598424315e-08
99655.8495179,1.0485983778675504e-06,2.5098263323543737e-07,2.517318242724323e-07,4.7312721881611044e-08
99655.8864603,9.201376812426503e-07,2.206561968397475e-07,2.1557912440856838e-07,4.171681951711427e-08
99655.9269999,8.547456755558182e-07,2.101747669252608e-07,1.9801033512587432e-07,3.88964086637732e-08
99656.0667942,9.082033514237025e-07,2.054572799946268e-07,1.9584069450339207e-07,3.772995778174249e-08
99656.3150383,9.344775706784412e-07,1.7928424231521684e-07,1.893322041198649e-07,3.244979751654924e-08
99656.5627716,8.71440158904988e-07,1.571375501259044e-07,1.7277957136068695e-07,2.8282582887389506e-08
99656.855232,8.469161468135137e-07,1.429538849983495e-07,1.5728907342485616e-07,2.5177505442492132e-08
99657.307573,8.119078138545605e-07,1.2808540671967253e-07,1.4046572878297621e-07,2.2360482986036187e-08
99657.7761862,6.867111850046202e-07,1.21835569663131e-07,1.218886101764185e-07,2.1208303086462702e-08
99657.8454274,5.869212202185656e-07,1.465132490016409e-07,1.0938872650654958e-07,2.2151762163739597e-08
99657.8906654,5.14612324468871e-07,1.6710376298558268e-07,9.748423162478706e-08,2.380136665403259e-08
99658.0508343,4.5024121686809596e-07,1.744059262485605e-07,8.561204374974917e-08,2.7754126746408658e-08
99658.2989041,6.015534255637038e-07,2.1779222859621853e-07,1.1569233643927061e-07,3.442610978438668e-08
99658.5467246,7.508153473092873e-07,2.3459230610460527e-07,1.4807210272791185e-07,3.572141869134198e-08
99658.7957477,6.955231888594318e-07,2.3322851922596055e-07,1.3768896838395363e-07,3.871509696382209e-08
99659.2774209,7.120332414006286e-07,2.4358385192825177e-07,1.308619006525399e-07,3.917701411839485e-08
99659.7557212,6.827894144646285e-07,2.730178319861114e-07,1.2496867193714877e-07,3.9438038140686076e-08
