Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99721.3948779,6.892974186381463e-07,1.4912802706492664e-07,1.4122555657302986e-07,4.423532465495484e-08
99721.8623416,1.185234005971776e-06,1.3662031501722637e-07,3.024824097502779e-07,3.791231898186196e-08
99721.9665713,1.1128776760475241e-06,1.3545241770568842e-07,2.993812775044044e-07,3.540614933285261e-08
99722.00977,8.828060661867439e-07,1.5412083925506841e-07,2.364504727923793e-07,3.705526043129138e-08
99722.151042,7.910853640212802e-07,1.9788223053367055e-07,2.0401425093061908e-07,4.1132286490558456e-08
99722.3993297,9.39817216198139e-07,1.99401486117649e-07,2.2375743213070747e-07,4.0159009196198065e-08
99722.647475,9.415798828794817e-07,1.786389258502643e-07,2.1706219828993161e-07,3.6751002327147705e-08
99722.8950889,8.819069154206816e-07,1.713137103923827e-07,2.1060654424537752e-07,3.554606591802186e-08
99723.3338714,9.145751293332758e-07,1.622373758105554e-07,2.2269672889813849e-07,3.239481467972189e-08
99723.7993004,8.476822218746504e-07,1.4170683906576243e-07,2.0656658499325045e-07,2.8941487891034893e-08
99723.9489956,7.69203244110866e-07,1.2167217712110222e-07,1.921912570717064e-07,2.8117525947069872e-08
99724.0037177,6.591919913021624e-07,1.054793537395815e-07,1.6678031695441324e-07,2.7412464429565407e-08
99724.134861,5.445318701065555e-07,1.0179230279661426e-07,1.463360209626188e-07,2.5414054056984098e-08
99724.3834738,4.683098257936961e-07,1.1046414372178771e-07,1.4423792225855747e-07,2.625810929401679e-08
99724.6309163,4.2639442939072076e-07,1.1740913253978246e-07,1.401321181148242e-07,3.305539396755996e-08
99724.9001943,4.0437508654831485e-07,1.2395499495853883e-07,1.2578646317621776e-07,3.4287778486077657e-08
99725.3399015,3.7968088872862384e-07,1.2859943023849054e-07,1.20253472660468e-07,3.2113534427155144e-08
99725.8018545,4.0152819468359305e-07,1.3390470351852346e-07,1.3460250431945186e-07,3.158835449280539e-08
99725.9622434,3.7444451018847554e-07,1.3778095987271405e-07,1.3521211852162196e-07,3.089683395007128e-08
99726.0016349,3.3059852303307965e-07,1.229488682956465e-07,1.2669720600042766e-07,2.7921277950764024e-08
99726.1196024,3.107892430446448e-07,1.2379206254921554e-07,1.194299338884522e-07,2.729299576266281e-08
99726.3675683,3.378246990851054e-07,1.3500162446764275e-07,1.2189191762920644e-07,2.8046963067989943e-08
99726.6152643,3.485504110421946e-07,1.2705115068471568e-07,1.302123912043343e-07,2.667381494602309e-08
99726.8629417,3.7734726834455936e-07,1.199842691069599e-07,1.3831559373588847e-07,2.489860330262381e-08
99727.2991135,4.169006054803534e-07,1.3517144330771757e-07,1.4334127558104557e-07,2.8666197014802827e-08
99727.7590993,3.643400365800446e-07,1.3594769545593565e-07,1.2721868157896783e-07,2.9380461914222867e-08
99727.9764585,3.2637105680459945e-07,1.4311048311547975e-07,1.1222805450864873e-07,2.98175677498624e-08
