Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99652.9935343,1.170848813718612e-06,4.5152377724593173e-07,2.799616950643168e-07,6.987442997506715e-08
99653.4137894,1.111407696794919e-06,5.039264766291659e-07,2.703461831720591e-07,6.934229869366876e-08
99653.8051993,9.989888251992966e-07,4.219085812351508e-07,2.771644512125087e-07,5.871212723540874e-08
99653.847398,8.920358937866217e-07,3.950193521796949e-07,2.7829023365203684e-07,6.106741246767123e-08
99653.8921027,1.0125700980203387e-06,3.7889031868089317e-07,3.0875580082657554e-07,6.119045456634106e-08
99654.0826917,1.0852088482738516e-06,3.563786167509988e-07,3.099924975074291e-07,5.756712413271376e-08
99654.3307817,1.097136674216889e-06,3.4054541655304503e-07,2.993883608011531e-07,5.582974563840582e-08
99654.5787841,1.0609659191821983e-06,3.3825165199153995e-07,2.7316526756083787e-07,5.794588809297845e-08
99654.9189527,1.0352176054629495e-06,3.299201525989515e-07,2.5565248266085843e-07,5.918416240132193e-08
99655.385397,1.1916669026703605e-06,2.944811045945309e-07,2.7963420447222e-07,5.4401122843629024e-08
99655.8495179,1.0544082491350933e-06,2.5385368318243833e-07,2.517785049879541e-07,4.771533480008646e-08
99655.8864603,9.25504967912605e-07,2.229623115082162e-07,2.158221679952175e-07,4.204418262390743e-08
99655.9269999,8.59271099950911e-07,2.119745367408632e-07,1.982685555893223e-07,3.915425062361604e-08
99656.0667942,9.116949651506153e-07,2.0685283406057457e-07,1.9605212701209325e-07,3.7930408973863817e-08
99656.3150383,9.372296703756157e-07,1.8037923796192573e-07,1.8951097994871834e-07,3.260803893750226e-08
99656.5627716,8.737013152033865e-07,1.5799219808849253e-07,1.729383951220416e-07,2.840645599767334e-08
99656.855232,8.487396247967704e-07,1.4361765714995642e-07,1.574256017549641e-07,2.5273949743231997e-08
99657.307573,8.133800903840448e-07,1.2860047226656933e-07,1.405815393862899e-07,2.2435409184387992e-08
99657.7761862,6.879203457029474e-07,1.2223420075787057e-07,1.2198591809363903e-07,2.126631123764188e-08
99657.8454274,5.879045347973789e-07,1.4682019270281817e-07,1.0946857837679213e-07,2.2196555609662473e-08
99657.8906654,5.154063860693732e-07,1.673404324704105e-07,9.7549336049959e-08,2.3835943715724997e-08
99658.0508343,4.5088068993399595e-07,1.7458874287541408e-07,8.566490820257975e-08,2.7780786367318994e-08
99658.2989041,6.020586120818299e-07,2.1793309798004894e-07,1.1573335842228623e-07,3.444664881483692e-08
99658.5467246,7.512154622757522e-07,2.3470109354924988e-07,1.4810404581246497e-07,3.5737287197395284e-08
99658.7957477,6.958442336728018e-07,2.3331261588318122e-07,1.377147020475315e-07,3.8727352187122475e-08
99659.2774209,7.122898934300789e-07,2.436488351878892e-07,1.3088256297255145e-07,3.918648628265077e-08
99659.7557212,6.82994942396021e-07,2.730680249324705e-07,1.2498524344650303e-07,3.944535969883961e-08
