Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99721.3948779,6.892974186381463e-07,1.4912802706492664e-07,1.4122555657302986e-07,4.423532465495484e-08
99721.8623416,9.562459590446346e-07,1.421819347692719e-07,2.2802552795173097e-07,4.072387661203903e-08
99721.9665713,9.847111029352867e-07,1.3935126848788834e-07,2.519004023167125e-07,3.788756014808922e-08
99722.00977,8.336642493801478e-07,1.537882889603579e-07,2.141376134004216e-07,3.8529130767757766e-08
99722.151042,7.653678282570195e-07,1.9318634414564993e-07,1.9122600501320287e-07,4.1798683471275484e-08
99722.3993297,9.083203342045614e-07,1.9578432962965216e-07,2.123734827105866e-07,4.071953211497804e-08
99722.647475,9.169138583688139e-07,1.7667745271858902e-07,2.0852371141328173e-07,3.7305770144368894e-08
99722.8950889,8.644661600457996e-07,1.6998055671741986e-07,2.0409675592714275e-07,3.5998039886242776e-08
99723.3338714,9.000587439602092e-07,1.613379629162286e-07,2.1728068314182004e-07,3.278539136115611e-08
99723.7993004,8.370660142110206e-07,1.411835128769918e-07,2.0248374095691036e-07,2.9270795653894756e-08
99723.9489956,7.614405900661e-07,1.2136753735770817e-07,1.890655909943887e-07,2.8375598919351042e-08
99724.0037177,6.536239318534997e-07,1.0529206121512962e-07,1.6443081036479713e-07,2.7613780001960618e-08
99724.134861,5.405030376070341e-07,1.0165415991200974e-07,1.4453407320454855e-07,2.5573083686741938e-08
99724.3834738,4.652682817462182e-07,1.103482405129704e-07,1.4280277025335086e-07,2.6380088776630143e-08
99724.6309163,4.240255587300622e-07,1.173151758764658e-07,1.3899090759665412e-07,3.314536137956341e-08
99724.9001943,4.0250190131198613e-07,1.2387990686442497e-07,1.248876328778664e-07,3.435684565001048e-08
99725.3399015,3.781979000796355e-07,1.2854034520723367e-07,1.1953799925031043e-07,3.216740825785671e-08
99725.8018545,4.0033343078514516e-07,1.3385831843845898e-07,1.3402459022521018e-07,3.163006690229999e-08
99725.9622434,3.7349561393126426e-07,1.3774479346015288e-07,1.3474968564574974e-07,3.092913189457546e-08
99726.0016349,3.2984651465056653e-07,1.2292162678890665e-07,1.2632865610391214e-07,2.7946386758584422e-08
99726.1196024,3.1018970369609716e-07,1.2377098109284033e-07,1.1913585579734915e-07,2.7312422497291265e-08
99726.3675683,3.3734329987400087e-07,1.349851360725502e-07,1.2165649978659153e-07,2.8061966696824895e-08
99726.6152643,3.481648464783997e-07,1.2703848702619748e-07,1.3002370950129657e-07,2.6685426681003942e-08
99726.8629417,3.77038043006285e-07,1.1997452360990264e-07,1.3816443143335028e-07,2.490758995013213e-08
99727.2991135,4.1665254373513987e-07,1.3516385442799022e-07,1.432202598370733e-07,2.8673129788639637e-08
99727.7590993,3.6414216934672824e-07,1.3594182761944318e-07,1.2712204773476832e-07,2.9385819320223732e-08
99727.9764585,3.262130322150521e-07,1.4310593794959706e-07,1.1215085376222087e-07,2.982170840536265e-08
