Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107081.9805952,1.965643721583863e-07,2.098390813661815e-07,4.844141205155853e-07,2.6646876050712813e-07
107082.1737998,1.4950867089492775e-07,1.557175337614979e-07,4.97534893923106e-07,1.8816328587391324e-07
107082.4216396,2.0496386587301285e-07,1.7780846485219078e-07,4.186679351638759e-07,1.8620973238347654e-07
107082.6696607,2.975949168845926e-07,2.250426573415845e-07,2.978411067860438e-07,1.9687327577020111e-07
107082.9176723,2.935198047397703e-07,2.6094756986035004e-07,2.4213464749993963e-07,2.2459341816290695e-07
107083.167858,2.9018150376624773e-07,2.6145706647428483e-07,2.6037198543578564e-07,2.379009832458535e-07
107083.4833681,4.7349986700278017e-07,2.6739536020559986e-07,3.40487494163889e-07,2.2142964015247613e-07
107083.7215404,5.661911274670995e-07,2.701127463132778e-07,3.538545164719142e-07,2.1278001605082193e-07
107083.993703,5.117394571759469e-07,2.5779834570174956e-07,3.076014674874861e-07,2.0594905052129537e-07
107084.1577398,4.825888246293154e-07,2.620308733282138e-07,3.20664080526795e-07,2.172192966545682e-07
107084.4067988,4.5561178603705384e-07,2.5272863974379964e-07,3.5241146602091974e-07,2.167708639426084e-07
107084.6532404,4.4472656620736205e-07,2.4237942791733834e-07,3.3787216151832296e-07,1.924104255573773e-07
107084.9012301,5.314628771018884e-07,2.3793772926125836e-07,3.624250528038394e-07,1.8064787630381972e-07
107085.1492461,5.869748636431216e-07,2.3398495178523866e-07,4.72114863866189e-07,1.890165317671243e-07
107085.416403,6.476089438772322e-07,2.264929354187491e-07,5.449567763931117e-07,2.0016305609778332e-07
107085.7317288,6.249470322402559e-07,2.23567155318858e-07,5.519240166302525e-07,2.0890195162072132e-07
107086.0842046,6.099402770759697e-07,2.3526684290071498e-07,5.685484592653328e-07,2.276914263719686e-07
107086.1620832,6.05439257114254e-07,2.5080666493442e-07,5.263488487338646e-07,2.3396507166837648e-07
107086.3892663,5.919383990643377e-07,2.661353288467779e-07,5.121728690779325e-07,2.1898345196442707e-07
107086.6372556,5.955817951097421e-07,2.522885678800079e-07,5.547391605386105e-07,2.0309853209069783e-07
107086.8855427,6.396793727515446e-07,2.3830540337436704e-07,5.097963946199377e-07,1.852265457081661e-07
107087.1332977,7.675700385477642e-07,2.3897402413161734e-07,5.722531045590926e-07,1.9940852248707933e-07
107087.3850992,8.098904984980447e-07,2.199302375801708e-07,6.111572045465246e-07,2.141415489171281e-07
107087.6754337,9.227272329438505e-07,1.940660668295825e-07,6.084524185279501e-07,1.9315252143990703e-07
107087.9128908,9.749624962985256e-07,1.8135155659632067e-07,6.12562494121874e-07,1.7499067524728806e-07
107088.1265809,8.49647708388463e-07,1.9516504031095723e-07,6.042391914817146e-07,1.954817870732795e-07
107088.3740042,7.232320351069061e-07,2.0664936335989568e-07,6.16292263603632e-07,2.215935901576846e-07
