Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107028.8610069,2.534663052470316e-07,2.4392074847484094e-07,1.386940246647994e-06,6.992263015612869e-07
107029.1667514,1.9934624186181935e-07,1.27178398673163e-07,7.04797563799934e-07,5.430108632584632e-07
107029.4235283,3.259822300993743e-07,1.4238873627974487e-07,9.380715019479753e-07,5.176076050129351e-07
107029.684916,5.447529299084884e-07,1.7207198550553026e-07,1.1673435082592229e-06,5.385081581203915e-07
107029.9302651,5.486152128272632e-07,1.671280526928991e-07,1.169626482033707e-06,5.360610287708122e-07
107030.1016619,4.691294643711134e-07,1.4631943338869877e-07,1.0413866829635161e-06,4.819965803994579e-07
107030.3490474,3.9633344052614636e-07,1.4842532103181136e-07,9.923842497898057e-07,4.399208057855795e-07
107030.597887,3.5118598628161464e-07,1.578708362919013e-07,1.126348036982446e-06,4.4675331279964685e-07
107030.845339,3.1482597755876576e-07,1.65853201347685e-07,1.0808397699850125e-06,4.2666096178432046e-07
107031.0933425,3.1060532460919544e-07,1.7138051810546872e-07,1.221878546528737e-06,4.3981440316438803e-07
107031.3898819,2.937398847331334e-07,1.6155230286322893e-07,1.2402594588956756e-06,4.469701607455885e-07
107031.6984452,2.952956154717299e-07,1.5457832797929004e-07,1.05155852973972e-06,3.9249123813180027e-07
107031.9965338,3.2741778572549427e-07,1.7354746569671076e-07,9.79351930005624e-07,3.693273615910865e-07
107032.0850671,4.0974824634217703e-07,1.9764858818700342e-07,1.0256575173287207e-06,3.9116040603261734e-07
107032.3332521,5.054234487200346e-07,2.1027416766660065e-07,9.36020847112336e-07,3.709306218178187e-07
107032.581447,4.689476833513645e-07,1.9301897885734977e-07,8.526390382759683e-07,3.4368193538864746e-07
107032.8293645,4.124822680517368e-07,1.7194788031234254e-07,8.730560870462487e-07,3.3287585685131984e-07
107033.0775324,3.962430922479229e-07,1.5248609185976096e-07,1.0713627748096842e-06,3.023207514088994e-07
107033.3382848,4.194429552862921e-07,1.612063933148452e-07,1.3451422030257228e-06,2.773408035552509e-07
107033.6281965,4.018477599898412e-07,1.7124393136467572e-07,1.281950224261753e-06,2.7780674896443355e-07
107033.9661511,3.6448988097799297e-07,1.686330274899831e-07,1.112002891486166e-06,2.74027157553321e-07
107034.0840781,3.1411126808146233e-07,1.5288325642351211e-07,9.578140186350867e-07,2.49740464898083e-07
107034.3173475,2.709885463018033e-07,1.3272975925624763e-07,8.267922767027565e-07,2.1715820260904634e-07
107034.5655064,2.5884682090543806e-07,1.2840323319642534e-07,7.477708844506521e-07,2.1363423980729573e-07
107034.813489,2.5043823979950395e-07,1.4326729869965224e-07,7.227577774363954e-07,2.800693232460527e-07
107035.0848533,2.6575250702238025e-07,1.6376830952779078e-07,6.484831373691789e-07,3.217827200501641e-07
107035.3736721,2.796705723517498e-07,1.6379110563713336e-07,6.159206131672566e-07,2.983119907178857e-07
