Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107066.7655311,4.381838338668178e-07,1.1736982526851537e-07,1.2490939784225945e-06,2.312649789769762e-07
107067.0139847,2.656817419480559e-07,9.10503757507952e-08,8.015604198455599e-07,1.6454914938671248e-07
107067.2613626,1.9926957088372682e-07,9.381026555867895e-08,5.492653446837424e-07,1.9749345459631465e-07
107067.5531941,1.849725524386731e-07,1.0917817403829991e-07,4.950130087950225e-07,2.255111534322588e-07
107067.8375382,2.0229252825427628e-07,1.404723795824652e-07,4.878426042940262e-07,2.1568840961157464e-07
107068.0738884,2.5391799654164313e-07,1.705899858249422e-07,8.138870918806504e-07,2.0682932806960105e-07
107068.2532437,3.655797181257006e-07,1.7016411203124765e-07,1.0874535652699506e-06,1.9095653167374488e-07
107068.5013335,4.237155837274883e-07,1.8025166685781006e-07,9.596908933123027e-07,1.6603289376855113e-07
107068.7491262,3.8658990082184704e-07,1.732526309040496e-07,7.765949312043866e-07,1.4941497156906076e-07
107068.9974161,3.1614629137227005e-07,1.558588924791573e-07,6.833304802024922e-07,1.4012942483999868e-07
107069.2452238,2.762763291733918e-07,1.3953357000898187e-07,6.60863525473265e-07,1.3487920480901374e-07
107069.4931945,2.5539332228658475e-07,1.3060637171199424e-07,6.091083297117567e-07,1.4208651992066684e-07
107069.8060367,2.470066395727093e-07,1.2197872084017553e-07,5.698147082897081e-07,1.8718779286112316e-07
107070.0373306,2.586494904335963e-07,1.5314615904222177e-07,5.702698507855507e-07,2.3748623680831904e-07
107070.2372558,3.2550619212116553e-07,2.2989123809174195e-07,6.474127790694437e-07,2.9053896490102056e-07
107070.4851939,4.4240162652016014e-07,2.723602241837563e-07,7.062504738901606e-07,3.1962203657022287e-07
107070.7335559,5.454954263332654e-07,2.660837014668515e-07,7.108597514666251e-07,3.0999782456215326e-07
107070.9811809,5.389076698586697e-07,2.3351759194346213e-07,7.383181574975187e-07,2.821749881554152e-07
107071.2292578,5.614444024397743e-07,2.092276284592485e-07,6.810785465425229e-07,2.7844830311990635e-07
107071.4884278,5.503424736675072e-07,1.9087210052059932e-07,6.45656325186999e-07,2.8873301066194156e-07
107071.755249,5.859693991044239e-07,1.7806342440481393e-07,6.769798641457067e-07,2.5671946849198597e-07
107071.9817053,6.381214817284445e-07,1.7214957375372375e-07,6.927030772218804e-07,2.441050348082246e-07
107072.2212642,7.420801131058571e-07,1.5706373040286982e-07,6.550594135408664e-07,2.2898461828730645e-07
107072.4691614,7.615708211807449e-07,1.4222370341968492e-07,5.954077792663505e-07,2.00359253445434e-07
107072.7172369,7.483421624757661e-07,1.415286066304054e-07,6.139693350112291e-07,1.9397380474456498e-07
107072.9652234,7.180050513483739e-07,1.5076321836616142e-07,6.623527433577175e-07,2.0649759739289186e-07
107073.2831694,6.676351675967584e-07,1.5085197666261887e-07,6.622876727915107e-07,1.9914300714838667e-07
