Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107074.3491343,4.6339733120004646e-07,1.171420266127621e-07,5.361930972654403e-07,1.33902789053473e-07
107074.5973667,3.876038615865368e-07,1.310416476389056e-07,4.377250193858574e-07,1.5834462418125758e-07
107074.8454735,4.902114121277727e-07,1.2797599596255187e-07,4.636510853416629e-07,1.745343823985839e-07
107075.093528,5.394099592796561e-07,1.3499854520679785e-07,4.677826130337205e-07,1.7545987897582917e-07
107075.3605651,5.158189055760167e-07,1.5852110615112837e-07,4.955726420633249e-07,1.7019751971678723e-07
107075.6482531,5.02578959845121e-07,2.620201309560608e-07,5.637248162857966e-07,2.600599604692108e-07
107075.9096653,5.416652272009786e-07,4.3962214516903555e-07,5.907917444291514e-07,4.1751293289565447e-07
107076.1558454,6.334282062318192e-07,4.521719695345893e-07,6.441474650031423e-07,4.913904348968e-07
107076.334307,7.809074603213131e-07,4.080666828975971e-07,6.503616289752473e-07,4.913228279927309e-07
107076.5829105,8.300686838232903e-07,3.562231503443014e-07,6.782024779221071e-07,4.854835342665272e-07
107076.8292847,8.252670786520468e-07,3.0766299905149216e-07,6.641071481054934e-07,4.579360394658249e-07
107077.077369,8.356502933314231e-07,2.7394516877465725e-07,6.633853436447003e-07,4.002741500738093e-07
107077.325573,8.435100276555223e-07,2.5634289711849367e-07,7.02325227356931e-07,3.83884238932097e-07
107077.5734202,9.119852976648033e-07,2.300653804252246e-07,9.384139396670163e-07,3.6033068828951094e-07
107077.857719,8.944052215734396e-07,1.9829102462746188e-07,1.142537147002704e-06,3.2923451481931587e-07
107078.102322,7.982281721616262e-07,1.8405263747762115e-07,1.15612095366446e-06,3.173697672635423e-07
107078.3189425,7.475003538338376e-07,1.7532669339123773e-07,1.102695709081022e-06,2.9684175748014907e-07
107078.5665213,8.001646891498079e-07,1.6644799834241484e-07,1.1983987462067757e-06,2.7734374856896406e-07
107078.813182,7.566035626412314e-07,1.6961056075048277e-07,1.139699912087641e-06,2.6552035823621646e-07
107079.0618843,6.739287402422632e-07,1.717456728689671e-07,9.811882268585925e-07,2.5550923111846693e-07
107079.3331008,6.270334179299532e-07,1.7254285197404657e-07,8.891408718515346e-07,2.3571624924009275e-07
107079.645725,6.828548080021623e-07,1.56773921049331e-07,9.63329462992571e-07,1.998582288461809e-07
107079.9032192,7.214572343970338e-07,1.4810490837063523e-07,1.0861770751416472e-06,2.038966060707918e-07
107080.0970894,7.340221693438756e-07,1.4233030791494906e-07,1.1121794269734952e-06,2.0957438626218816e-07
107080.3012264,6.892109616024202e-07,1.386982804248946e-07,1.0814710094238673e-06,1.9110599231277736e-07
107080.5494601,6.051031201891537e-07,1.5022132075999248e-07,9.811873729601906e-07,1.811948399852582e-07
107080.7974309,5.455869600839822e-07,1.6888246827335658e-07,8.406444826479965e-07,2.0102173503900254e-07
