Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
261243.263115,6.43564353993889e-08,1.5802868739911046e-08,1.1273894695276128e-07,1.91354634402108e-08
261243.7299656999,3.2674833178833626e-08,1.639471668874469e-08,3.771062150780413e-08,2.3289046180003517e-08
261243.7735556999,3.886130006531061e-08,1.3923280916909868e-08,4.363646067271482e-08,2.2308950731725702e-08
261243.8200783999,5.396685486947474e-08,1.4129088884428235e-08,6.512371195025098e-08,2.3051519687146256e-08
261243.8629445999,6.545668451135499e-08,1.7112669721881142e-08,7.855298802831818e-08,2.7299854920174652e-08
261244.0703922,6.909786535746864e-08,1.9829960927134252e-08,8.41240389999361e-08,2.674954843471702e-08
261244.3180349,6.661888053174294e-08,2.0802338186176398e-08,9.217668184822257e-08,2.3960192534938158e-08
261244.5660763,5.788858865736144e-08,1.9894253329338282e-08,8.846154553632074e-08,2.252647350743461e-08
261245.2053574,5.68057408372184e-08,1.8396402709703026e-08,8.687099967483272e-08,2.1186048044609745e-08
261245.7090516,6.277328806601234e-08,1.7187443429185214e-08,9.450494606994878e-08,1.9079096196416888e-08
261245.7767485999,6.415710882627165e-08,1.7935718830755878e-08,1.010645449962138e-07,1.8881024847846555e-08
261245.8206529999,6.197764967653801e-08,1.7389652079540547e-08,9.618014505510947e-08,1.8816771280178715e-08
261245.8666941999,5.9311308537478675e-08,1.606941049840383e-08,9.289795865240615e-08,1.8072791376430248e-08
261246.05424919992,5.990250167891215e-08,1.4498276451558067e-08,8.88591678617007e-08,1.6102904351112413e-08
261246.3020113,6.01609699737031e-08,1.3136553342112498e-08,8.015138999273689e-08,1.421985052842155e-08
261246.5499782,5.715237234497327e-08,1.2021463000084878e-08,7.660341965933918e-08,1.2912313952202653e-08
261247.1136512,5.379021494252314e-08,1.1287607105738374e-08,7.827632643640719e-08,1.191369606486749e-08
261247.7779645,5.184906532689027e-08,1.2030592825365609e-08,7.803627110101063e-08,1.2547517949867972e-08
261247.8169739,5.015213209846122e-08,1.2782571945812768e-08,8.714605387936562e-08,1.5144702895650258e-08
261247.88855259988,4.704852574272704e-08,1.339937459569522e-08,8.735330630789485e-08,1.754631912665208e-08
261247.9329262999,4.699283624671753e-08,1.4089158095873719e-08,8.314742113670872e-08,1.7692149412119204e-08
261248.0380402999,5.397448427752657e-08,1.4394044058755174e-08,8.89102132580718e-08,1.785642005775071e-08
261248.2860756,5.858716258528763e-08,1.3777992671523431e-08,9.487247070451819e-08,1.787596362693199e-08
261248.53434269995,6.01633291383495e-08,1.3315839524836321e-08,9.260373888206512e-08,1.7977986325274134e-08
261249.00445779995,6.419307907528369e-08,1.3269620560500502e-08,1.0149570327857941e-07,1.8602703032527563e-08
