Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99683.5639936,1.2279932096854165e-06,1.0599785776425337e-07,2.477167137759865e-07,3.142886465326792e-08
99683.8920874,1.2263714255559029e-06,1.1004641351065781e-07,2.6302515698953163e-07,3.05840232334941e-08
99683.9342154,1.1184152328368732e-06,1.192366014431368e-07,2.3324956915558674e-07,2.6333180809081447e-08
99683.979249,9.493881647062597e-07,1.343854770000967e-07,1.9382657254673808e-07,2.740611157887061e-08
99684.2027312,7.671210572114521e-07,1.4076027741633678e-07,1.6138916044844025e-07,2.852625701127938e-08
99684.4516003,6.474772243272697e-07,1.2554086926061007e-07,1.3918259588892944e-07,2.6675168914318792e-08
99684.6988813,6.04778313589058e-07,1.2358320833029927e-07,1.3150377990571013e-07,2.7099334303016902e-08
99685.049522,6.581672604492175e-07,1.25931158139455e-07,1.4403720856076765e-07,2.8458069310152834e-08
99685.5190872,6.439332396057468e-07,1.253753319604818e-07,1.4452765394719128e-07,2.6798851616191647e-08
99685.84412,5.915428178458604e-07,1.318330001486085e-07,1.2761746477004929e-07,2.6034763120186708e-08
99685.8935037,5.370780576513706e-07,1.4026070697123194e-07,1.1690827368501507e-07,2.6300068832006284e-08
99685.945921,4.924385192286329e-07,1.4933953430046171e-07,1.197075391596876e-07,2.787536693589462e-08
99686.1870126,5.154616577048582e-07,1.5545128583944283e-07,1.340299021431097e-07,3.1382227363187775e-08
99686.4348571,5.808969388936764e-07,1.4818273827302956e-07,1.6179129975375955e-07,3.1432163182056175e-08
99686.6832227,5.262079470488646e-07,1.4707348838942245e-07,1.525476100304457e-07,3.087337962491349e-08
99686.996822,4.5615786349932355e-07,1.3928508571511928e-07,1.3202797922224016e-07,2.9086749900346224e-08
99687.4511606,4.4066664927378864e-07,1.361491988040145e-07,1.2650015985048497e-07,2.7398284707686157e-08
99687.8453445,4.473701798030619e-07,1.3467616059714434e-07,1.2900533888942665e-07,2.5689064225829174e-08
99687.8925866,4.201687491756761e-07,1.3073660378597588e-07,1.2216484005201093e-07,2.3646770733705123e-08
99687.9350532,3.902111499010528e-07,1.3172715240814642e-07,1.1534592754234248e-07,2.2141667089106953e-08
99688.1710998,4.129210526023841e-07,1.4014871363902986e-07,1.2821435092916413e-07,2.306436632426136e-08
99688.4189952,4.4529526255807953e-07,1.4383470040031774e-07,1.4288669350182636e-07,2.5741838214361058e-08
99688.6669575,4.1449523849611847e-07,1.4547639495685487e-07,1.425971104937092e-07,2.76387090882243e-08
99689.0451057,3.845167291794524e-07,1.3919023650820338e-07,1.3714551846490748e-07,3.0401676050061784e-08
99689.484155,3.7417029689349856e-07,1.3445371284301016e-07,1.3000479878364975e-07,3.1350347610014515e-08
99689.8730401,3.948575715081476e-07,1.3822560840512968e-07,1.3238326707105232e-07,3.531647748043789e-08
99689.9157902,4.555136355820901e-07,1.5136958298621087e-07,1.4170444177066816e-07,3.778136824431803e-08
