Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107051.6303454,3.332875539271368e-07,1.3375097234143172e-07,1.3023435246196716e-06,1.971765276840929e-07
107051.9276972,3.275226062816644e-07,1.2759587496422185e-07,1.3613888852207442e-06,1.8293850324123675e-07
107052.09336,3.9046672522667725e-07,1.6048411921651282e-07,1.2249654063991594e-06,2.6724778691107634e-07
107052.3413656,4.388963465478769e-07,1.7617963801904275e-07,1.0769226341961537e-06,4.048649989217596e-07
107052.5895184,4.948373438976103e-07,1.7775120864365195e-07,1.1597882856329444e-06,4.0629046632722065e-07
107052.8376543,5.125435153547982e-07,1.7039754862019937e-07,1.2698730177582238e-06,3.7872719221554483e-07
107053.0853517,5.305296222123727e-07,1.6296149970764484e-07,1.2380714297317868e-06,3.378452454882099e-07
107053.3820182,5.252879381050402e-07,1.7186070887164373e-07,1.1645410327906117e-06,3.361014349545797e-07
107053.6860059,5.150503593696463e-07,1.86112554692889e-07,1.0690338296035894e-06,3.606751638036956e-07
107054.0230591,4.706804054258032e-07,1.8114379129527829e-07,1.0089464130163254e-06,3.5023770596432497e-07
107054.114236,4.4806369592961386e-07,1.775231902796629e-07,1.0019387929773773e-06,3.215612759348969e-07
107054.3252685,4.6069768936477783e-07,1.8110836864453156e-07,9.061851092377493e-07,3.18692863704788e-07
107054.5733458,4.2522930806236024e-07,1.6799942675963705e-07,8.342958496851425e-07,2.970294887817397e-07
107054.821291,4.188982604222684e-07,1.5829320486276394e-07,7.360648314073093e-07,2.694467088999877e-07
107055.0692754,4.5064452742810234e-07,1.833408242841044e-07,6.422876896487769e-07,2.6364757480923537e-07
107055.3896114,5.112851243992693e-07,2.1625991946080684e-07,6.604597463341608e-07,3.0253266641034774e-07
107055.6271472,5.301323602162392e-07,2.1138741771108306e-07,6.87931891633343e-07,3.252599363060841e-07
107055.9278768,5.854041843392205e-07,2.3444938087924578e-07,8.719418687709986e-07,3.3372380893424065e-07
107056.0941745,5.536620050484374e-07,2.3643685147874488e-07,8.455849792441467e-07,3.049193081362211e-07
107056.3096037,5.156706228108318e-07,2.1232335196556972e-07,7.606114689813492e-07,2.5954472140946645e-07
107056.5571446,4.7589310315706457e-07,2.0467143610652042e-07,7.300243573083484e-07,2.5200632514013964e-07
107056.805201,4.78315174925318e-07,2.131896474555202e-07,6.894896263969408e-07,2.7394829246368493e-07
107057.0532047,5.941389281591016e-07,2.63919235254668e-07,6.7254495665953e-07,3.0807112985625263e-07
107057.3087916,6.689653521695761e-07,2.854899838435309e-07,6.316680022247511e-07,3.11518188294613e-07
107057.5491366,6.30085153430239e-07,2.5187337025250326e-07,5.869993687653426e-07,2.9033286078321826e-07
107057.884026,5.823997995064345e-07,2.1846356217780893e-07,5.795603721002151e-07,2.7147870805582584e-07
107058.071166,6.029069463790123e-07,1.958900744252483e-07,6.529359747194539e-07,2.6763470811358574e-07
