Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99736.3390337,1.3323526417577074e-07,1.092006004994768e-07,5.209739660967184e-08,2.7284584691525893e-08
99736.5871353,1.6304444366182504e-07,1.1270268341643844e-07,6.660197222576068e-08,2.8836606503876758e-08
99736.8353943,2.4273903688278654e-07,1.0703563676558632e-07,7.355563263898196e-08,2.6991995253162183e-08
99737.2141979,2.663381040515934e-07,1.027376102572858e-07,7.650371653413663e-08,2.424042160131439e-08
99737.637975,2.6693779946280683e-07,9.900484232025614e-08,9.898461056294314e-08,2.4996463110174138e-08
99737.9697114,3.1062991014122275e-07,9.660879814154476e-08,1.2112313569584922e-07,2.6939505328245297e-08
99738.0157706,4.044833914256543e-07,1.0624217661073288e-07,1.2703846219588792e-07,2.5814466130167955e-08
99738.0749198,4.651526862907323e-07,1.2120487891706871e-07,1.3946413192032738e-07,2.568619906377181e-08
99738.3235417,6.408518909079252e-07,1.236468645028064e-07,1.920833844598699e-07,2.615895054008944e-08
99738.5708669,7.378490431101557e-07,1.3629282452921114e-07,2.494656987948512e-07,3.301671045447394e-08
99738.8189038,6.612324988842453e-07,1.3605471551506277e-07,2.7249846398428317e-07,4.158372765157737e-08
99739.1977744,6.139786136007708e-07,1.1798134684952442e-07,2.566723538004537e-07,4.094945340728455e-08
99739.686722,5.65616857470124e-07,1.0350455985750892e-07,2.3095135160349477e-07,3.520832298229392e-08
99740.0046802,5.194215816911612e-07,9.335657434703172e-08,2.1142729574273682e-07,3.24659284053261e-08
99740.0502378,5.12519067729403e-07,8.777929198244205e-08,2.068511053945905e-07,3.323027418839403e-08
99740.1026092,5.071767969695227e-07,8.3825230733949e-08,1.9481763603188366e-07,3.151083736135356e-08
99740.307142,4.371127568517676e-07,8.057792217178865e-08,1.746617059907234e-07,2.994623948929798e-08
99740.5554121,3.784450810131276e-07,8.036552093148592e-08,1.5340243564126644e-07,2.7622833556760293e-08
99740.8028432,3.4739460962033695e-07,8.232616500422342e-08,1.3646250239776587e-07,2.547613987861903e-08
99741.1572454,3.105139571572204e-07,9.748560594343442e-08,1.3323263229909382e-07,2.769693037929546e-08
99741.6337956,2.9273761917211175e-07,1.0610848835659717e-07,1.386849511712538e-07,2.9842750314112994e-08
99741.9740111,3.152811835466077e-07,1.1069676051728926e-07,1.518704325944128e-07,3.2749292251773296e-08
99742.0461576,3.19914797460148e-07,1.229404418780417e-07,1.5128595684774212e-07,3.512969931033332e-08
99742.092911,2.7986908948240126e-07,1.1694537436311974e-07,1.342577686238397e-07,3.252619517168768e-08
99742.2911055,2.527005823737977e-07,1.0926086146844513e-07,1.1734348618640148e-07,2.9555001987445956e-08
99742.5396689,2.6178270407997094e-07,1.093330985164842e-07,1.1648741766733964e-07,2.8024028494402347e-08
99742.7869011,2.9210195312513807e-07,1.0076875370896861e-07,1.3878047903727376e-07,2.698620777290678e-08
