Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
99668.01966,1.3524070197187575e-06,2.089224529625103e-07,2.2552715895892562e-07,3.4113494546184666e-08
99668.2673833,1.6411876496746127e-06,2.1652670890507955e-07,2.3306317575837186e-07,3.6659033951603504e-08
99668.5150354,1.571226608399729e-06,2.423331488866253e-07,1.9772906609364898e-07,3.512451848952558e-08
99668.7636049,1.2479333195701925e-06,2.5365499373003716e-07,1.5790197038768934e-07,3.448560543232562e-08
99669.2345627,1.0558351765387846e-06,2.272701643170017e-07,1.4861433330293675e-07,3.315277456991189e-08
99669.7076866,1.1068476739664584e-06,2.2380621668840139e-07,1.763936699714962e-07,3.304140301567567e-08
99669.8872519,1.1534918296114891e-06,2.5605667262907763e-07,1.844994252562186e-07,3.5930353914344725e-08
99669.9320293,1.2708355517055355e-06,2.593408361457448e-07,2.1033817713440655e-07,3.859071771135319e-08
99670.0034417,1.3465837492168281e-06,2.591757513764854e-07,2.598664305631658e-07,3.932784923814253e-08
99670.2515507,1.186968545300255e-06,2.3715837434539046e-07,2.445535636712328e-07,3.679695087622952e-08
99670.4992194,1.0502043780172167e-06,2.3107400385240325e-07,2.3217317469883682e-07,3.878791344106485e-08
99670.7478406,9.657186501736979e-07,2.1716344881035238e-07,2.411547056024068e-07,3.766367559742785e-08
99671.1546984,8.740944493604972e-07,1.995381029841545e-07,2.3449113497170634e-07,3.660909128838062e-08
99671.620567,7.824859297842543e-07,1.7701841105267313e-07,2.0115349072368878e-07,3.5438738077630913e-08
99671.835465,8.12368753890564e-07,1.5435443835625005e-07,2.094639740179237e-07,3.2491325710426766e-08
99671.9135183,7.767781092991273e-07,1.4437603250732306e-07,2.2043764675378726e-07,3.089383264667859e-08
99671.9869785,6.69506613298273e-07,1.5746710192200178e-07,1.9714356597582668e-07,3.0460345920862956e-08
99672.2349249,5.80413499772107e-07,1.767564571586913e-07,1.8403668568014368e-07,3.28533218603401e-08
99672.4832981,5.664065892888712e-07,1.7702414167163613e-07,1.9163583135646937e-07,3.474881958962882e-08
99672.7313587,5.741877468948786e-07,1.6677055739889324e-07,1.9182469598670947e-07,3.740286688200573e-08
99673.1640332,4.940794114832043e-07,1.5095991801716567e-07,1.673685800282109e-07,3.647624851141485e-08
99673.6153054,4.4325675518061156e-07,1.487354701167178e-07,1.5009572218274447e-07,3.785871375097092e-08
99673.8251951,4.276014871299178e-07,1.5811136693151838e-07,1.3799390545541426e-07,4.1097162950023934e-08
99673.8816168,4.254922258269909e-07,1.837155619144034e-07,1.2971403150466061e-07,4.409812988439785e-08
99673.9715332,4.908067088888198e-07,2.0445452822844182e-07,1.3094467284239024e-07,4.738721831861128e-08
99674.2191062,5.257346664797971e-07,2.257717207761784e-07,1.2532995153052657e-07,5.2273268944154295e-08
99674.4668144,5.614833985386162e-07,2.2317885398970097e-07,1.3041201854736132e-07,5.11895012248731e-08
