Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107044.032428,3.98638218879465e-07,9.571981962804293e-08,9.819137153616527e-07,1.435891024801352e-07
107044.2696151,4.5129570483233725e-07,1.3571467494079225e-07,1.0848784202533626e-06,1.9149459201352414e-07
107044.5182786,6.45281716305876e-07,1.9316528401254577e-07,1.6463798130651292e-06,2.361493673709617e-07
107044.7653332,7.971422178978188e-07,1.7701177053885262e-07,2.046894412647342e-06,2.3570775964209272e-07
107045.0131881,7.764997207114516e-07,1.4513832610285019e-07,1.9067896863669816e-06,2.4243807669114527e-07
107045.2613458,7.130580939143183e-07,1.2740011976117427e-07,1.6927820096915458e-06,2.672730878415618e-07
107045.5429542,7.076762185312376e-07,1.2636999306920515e-07,1.5220623786604529e-06,3.05653906675858e-07
107045.8336731,6.66657434008037e-07,1.382301492460857e-07,1.3105068440405962e-06,3.2027715638940086e-07
107046.0450277,6.337514027897114e-07,1.3112487714188292e-07,1.204405614776186e-06,3.050203043065163e-07
107046.2531773,6.399283719083254e-07,1.2311247469035488e-07,1.383641194343353e-06,2.7260966622993875e-07
107046.5013858,7.120392115777874e-07,1.3254265267031766e-07,1.8391768004745225e-06,2.76181628154676e-07
107046.7493149,6.929571136806966e-07,1.3522428901691605e-07,1.7694391875491229e-06,2.891746090216701e-07
107046.9975528,6.04753413808556e-07,1.2800570152207706e-07,1.5134245924633595e-06,2.854974476322019e-07
107047.2607183,5.231320919717283e-07,1.231122987924991e-07,1.3795658165395714e-06,2.943822658954567e-07
107047.5535552,4.6276843131931435e-07,1.231630746137511e-07,1.2256949112630277e-06,2.8513971890828524e-07
107047.7533132,4.2645834981329463e-07,1.281057143160703e-07,1.0606567787513508e-06,2.6170425070221306e-07
107047.989122,4.729999876668154e-07,1.4175752787126626e-07,1.0410226027320649e-06,2.8500400026920166e-07
107048.2377014,5.121132253525143e-07,1.666619301486383e-07,1.0424497520074105e-06,2.9590312153644766e-07
107048.485313,4.913148784402374e-07,1.6365268660334328e-07,9.274046510371894e-07,2.772784021829199e-07
107048.7337046,4.576978030259157e-07,1.5118864729669728e-07,8.577139461040137e-07,2.700588453169018e-07
107048.9812644,4.2630665860821017e-07,1.4713924895448813e-07,7.675122395024679e-07,2.7533110329797565e-07
107049.2508239,4.3608047478141965e-07,1.6311314632602315e-07,6.631654445504482e-07,2.8469924693422013e-07
107049.5243422,4.830908793173464e-07,1.7538758202773488e-07,6.147120958990325e-07,2.8232287508588846e-07
107049.8227708,5.812653193592829e-07,2.0413682012188024e-07,6.797301842026974e-07,2.596995610377199e-07
107050.0236424,5.87918146223654e-07,2.565729478428611e-07,7.296974020520637e-07,2.3659549065018737e-07
107050.2216026,5.499521750095462e-07,2.921976100940616e-07,6.889697498916728e-07,2.5333500667382133e-07
107050.4693602,4.782419570677692e-07,2.670038022402876e-07,5.984549459478787e-07,2.403831864885581e-07
