Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
107036.4291595,6.791811840632998e-07,1.963932722742043e-07,6.216275368240884e-07,4.006213085567953e-07
107036.6772298,8.59840335091424e-07,2.004223616205614e-07,9.669050709108842e-07,3.605924601962319e-07
107036.9251355,6.677006492676889e-07,1.955921429460312e-07,8.98728537337003e-07,3.7743947121641936e-07
107037.1998262,5.277094581383392e-07,1.8813832847647566e-07,8.360338580244521e-07,4.447051213602845e-07
107037.4210892,4.54158718905599e-07,1.687926705180893e-07,7.663667366939693e-07,4.568090700071221e-07
107037.7137906,3.846841934444391e-07,1.453273098806471e-07,6.584933337733181e-07,3.89846397294556e-07
107037.9904961,3.2773135019103945e-07,1.2302511735304104e-07,5.575498781174196e-07,3.347264204758632e-07
107038.1651847,3.205216488544966e-07,1.1232559495743917e-07,5.615831498184972e-07,2.9162248433492003e-07
107038.413496,3.5231589515091354e-07,1.2342577216199069e-07,6.0647532189281e-07,2.728900845737966e-07
107038.6614006,3.824698801139211e-07,1.30431683647362e-07,6.941014644627391e-07,2.8438267784966847e-07
107038.9101133,3.9048212791019527e-07,1.3269186466964018e-07,8.777194826911667e-07,2.9724931401332647e-07
107039.1630994,3.6924693233797037e-07,1.240841314398633e-07,8.186344666771897e-07,2.7475243082298634e-07
107039.4357136,3.356357650944563e-07,1.220965663974295e-07,7.428544544388132e-07,2.588015619130399e-07
107039.7327037,3.752832331743472e-07,1.31215244534415e-07,7.241104181707318e-07,2.55381856660465e-07
107039.9933145,3.644995756774724e-07,1.4078968380799224e-07,7.223375621052872e-07,2.724124899177287e-07
107040.149764,3.412857006688985e-07,1.6373352045933997e-07,7.780175618628873e-07,3.5965463278526957e-07
107040.3975166,4.4943786859940385e-07,2.1739081987597823e-07,7.425602868184985e-07,4.2320829795577224e-07
107040.6455094,5.337083365053134e-07,2.5406768183558403e-07,6.494179317479127e-07,3.9994480842402527e-07
107040.8942347,5.229143076129536e-07,2.355594188854583e-07,5.834247204674161e-07,3.6182071077617766e-07
107041.141148,4.99333108710473e-07,2.077493316976793e-07,5.512963913868173e-07,3.4525873298037924e-07
107041.3891375,4.866473413255649e-07,1.8930350801487525e-07,5.727654311282242e-07,3.292631560751919e-07
107041.641155,4.7032877978189603e-07,1.7067564917997614e-07,5.438781765959518e-07,3.0317491885662187e-07
107041.9648344,4.7272666180289844e-07,1.592140259877709e-07,4.7252946296577444e-07,2.6420885042200713e-07
107042.133657,4.153843540422917e-07,1.4836144889473755e-07,4.3777281479012866e-07,2.4184891244679186e-07
107042.38192,4.269643559397845e-07,1.517416018876549e-07,4.861241276682724e-07,2.5081122720674953e-07
107042.6295572,4.975126557563764e-07,1.6125128545141675e-07,4.597427073271418e-07,2.4216331640808867e-07
107042.8772933,4.84546533705969e-07,1.5068044521216169e-07,4.871866820948105e-07,2.2850083099818053e-07
