Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
109113.7513211,3.225216853307316e-08,7.448243802806896e-09,5.518258883918212e-08,2.6312731665089816e-08
109113.9991125,3.3495043532414074e-08,9.438246065278057e-09,7.37777713251219e-08,3.474377401003876e-08
109114.2473374,4.194242783041018e-08,2.1395424760447522e-08,9.444915654598096e-08,4.602554210684695e-08
109114.4953785,5.439590162198585e-08,2.8845259709189824e-08,1.2208773537502706e-07,5.541700324133754e-08
109114.7431999,6.673971945649712e-08,2.863094752182727e-08,1.4965071949983531e-07,5.892965852902889e-08
109114.9915616,8.356405893372274e-08,2.8292142509021838e-08,2.0053652688231684e-07,6.06558367669937e-08
109115.239204,9.370786918214207e-08,2.4652655750268223e-08,2.4026313715023623e-07,5.791910589046397e-08
109115.4871956,9.292508337877401e-08,2.12557432308105e-08,2.228697225889333e-07,5.461391666485202e-08
109115.7351529,8.056258877141299e-08,1.8707929977926264e-08,2.0054317455331577e-07,5.505592964403913e-08
109115.9833261,7.100615232981887e-08,1.6556148421092458e-08,2.0845122857775712e-07,6.683709342838751e-08
109116.2313279,7.638003046510991e-08,1.5261192512848924e-08,2.245897176651754e-07,6.937374515684464e-08
109116.4793166,9.46214288534741e-08,1.5934697873131428e-08,3.0611057319882785e-07,6.724993136749627e-08
109116.7272285,1.1494395265961e-07,1.8422889853128967e-08,4.176701565162656e-07,7.05174844660132e-08
109116.9752415,1.1799842605118135e-07,1.857891805134419e-08,4.187447415815645e-07,7.06535347186593e-08
109117.2233548,1.085460306746111e-07,1.7397236872090815e-08,3.892274895356137e-07,6.819980408224022e-08
109117.4713929,9.349791949885095e-08,1.7364840216014864e-08,3.3338086078978806e-07,7.006129209494643e-08
109117.7196479,7.861488184592091e-08,1.6342617794083753e-08,2.908125368234253e-07,6.803646839503575e-08
109117.9673397,6.927073959062798e-08,1.4815134959047918e-08,2.597904990220055e-07,6.074875285511589e-08
109118.2152068,6.559990783038998e-08,1.4835751206390266e-08,2.266141192602928e-07,5.6897166637219395e-08
109118.4632303,7.000900762820884e-08,1.754844826102988e-08,2.3024910703992405e-07,6.240304107109322e-08
109118.7112396,7.93886138707035e-08,1.9889144127472986e-08,2.7483371521095584e-07,6.395470464000404e-08
109118.9592097,8.070034136879466e-08,1.8971249950522203e-08,2.8320895507806825e-07,5.957218461266178e-08
109119.207213,7.601525645426178e-08,1.6961896351362994e-08,2.8637669983511556e-07,6.543598635351405e-08
109119.4553129,7.184436426618453e-08,1.6473576824077368e-08,2.768704004028828e-07,7.28945743125677e-08
109119.7032194,6.697866485773499e-08,1.5475354019237592e-08,2.5179750970106506e-07,7.044981330629542e-08
109119.9514876,6.307883967903813e-08,1.4475465400962507e-08,2.34015649109556e-07,6.231472372142733e-08
109120.1991781,6.107053473518736e-08,1.621097490814416e-08,2.2034221991101856e-07,6.25011878969967e-08
