Timestamp,Canal4_Alpha,Canal4_Beta,Canal5_Alpha,Canal5_Beta
261365.0124524,5.76661515192858e-08,1.6001420632396437e-08,7.129603497585236e-08,1.7340811899324892e-08
261365.2603557999,6.345816719146795e-08,1.971483351342025e-08,9.29584822930817e-08,2.194114091181442e-08
261365.5084961999,5.8890277376203396e-08,1.961151761654714e-08,8.52226511772316e-08,2.0779177628936135e-08
261366.00486729995,5.5297166707094894e-08,1.7410906375196158e-08,7.914062978759944e-08,1.9072736622472254e-08
261366.76937949992,4.731680124534293e-08,1.496904471615759e-08,6.572572069197116e-08,1.6917300179963225e-08
261366.8112752,5.124818529902605e-08,1.6777043966386533e-08,7.069122217397415e-08,1.951923610821921e-08
261366.8547112,1.178355200310709e-07,2.730568779338191e-08,1.7153166248740168e-07,3.5693210974898786e-08
261366.9006308,1.5033047191258394e-07,2.8432756783922718e-08,2.1321592271798936e-07,3.89414000210458e-08
261366.9964167,1.5875687712927719e-07,2.5106302859290047e-08,2.1600026406153703e-07,3.4105658875541884e-08
261367.2443715,1.4229646722720348e-07,2.183140029662188e-08,1.9270307898796914e-07,2.9369654286251042e-08
261367.49246279988,1.2740613223388475e-07,2.0063779939993803e-08,1.677874046756117e-07,2.672348168151423e-08
261368.0048607999,1.2313074759889576e-07,1.8514454282325063e-08,1.6322125816130346e-07,2.3747152825139875e-08
261368.8218355999,1.5730803079834134e-07,1.854530371427091e-08,2.1738837900311333e-07,2.448733170450355e-08
261368.8626492,1.9104261489597165e-07,2.1249646934172492e-08,2.5484243531071383e-07,2.9245540044308503e-08
261368.9078542,1.7799577506654355e-07,1.9404906244243082e-08,2.3474287468485096e-07,2.6815486360105336e-08
261368.952374,1.5380060946640154e-07,1.6510449319043117e-08,2.0169296873496188e-07,2.2822076137146478e-08
261368.9958166,1.301038257158958e-07,1.4511791656328628e-08,1.6849598411817748e-07,2.069563724974519e-08
261369.2292774,1.1299864907005802e-07,1.2962538691424558e-08,1.4380323129722378e-07,1.904507327571574e-08
261369.4764687,1.0005905160771227e-07,1.2379065538794603e-08,1.2387012556546137e-07,1.8100708208885793e-08
261369.8345162999,9.432718117943968e-08,1.2369021697485667e-08,1.1045466467539689e-07,1.7622866845463328e-08
261370.5480644999,1.065168125454004e-07,1.2286087633162384e-08,1.2888619770701412e-07,1.7060988963977902e-08
261370.8132258999,1.6053646699983142e-07,1.6473782034475173e-08,2.2396669675256028e-07,2.434175851178398e-08
261370.85705249992,1.8124556783902412e-07,1.847832052981849e-08,2.5477993476679297e-07,2.741448916300757e-08
261370.9001303,1.6905874049722654e-07,1.6358469699304638e-08,2.2871096840673887e-07,2.354184508192018e-08
261370.96437849995,1.520158996143334e-07,1.4143573035104239e-08,2.0889008490868075e-07,2.0703121780493595e-08
