Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
109121.3551506,1.0,2.1531440955883961e-07,8.283698785808562e-08,1.4711990797472675e-08,0.0018138719268689161,1.0,6.63822425514664e-07,1.587306493051697e-07,8.468448457127967e-08,0.00847403127086249,1.0,9.298794705912806e-05,1.846205548660027e-05,1.329736601854695e-05,0.8722479601812823,1.0,2.1067733720198849e-07,6.898325047418953e-08,1.0357571956590632e-08,0.0012860883785769815,1.0,1.4614898426214607e-07,1.5051907807751984e-07,6.81556893937405e-08,0.00465808484802404,1.0,2.27955862632568e-07,8.86660135349031e-08,2.2902880542111497e-08,0.001995746142901017,1.0,2.3407904081894078e-07,7.56615025085359e-08,1.9407254587633535e-08,0.0014022486274044648,1.0,2.6942613453906463e-07,4.4772063836261007e-08,1.1476157936124359e-08,0.0008727872921062275
109121.6032872,1.0,3.5528473669610953e-07,4.9265926464645365e-08,1.711037787622728e-08,0.0018063266456527177,1.0,3.9280248770784414e-07,1.2879084527984153e-07,5.211690359578805e-08,0.00846908352519266,1.0,2.0583282671660905e-05,1.9175820566671837e-05,8.29194069351451e-06,0.9123503625597066,1.0,3.702937793667398e-07,4.527628816781736e-08,1.1482491521217616e-08,0.0012790931026907214,1.0,3.7388165505328994e-07,1.3607278719402793e-07,5.172725617314763e-08,0.004654338682258305,1.0,3.7030824243701163e-07,5.265819482383464e-08,1.87560502907497e-08,0.001986210185456481,1.0,3.918130707217276e-07,4.838652006195088e-08,1.753353906072023e-08,0.0013949725892131218,1.0,3.7779378305291495e-07,4.289427862919605e-08,1.5709424239045752e-08,0.0008681761320788207
109121.8515113,1.0,8.958647305940835e-07,1.0147220234059445e-07,2.9274162442135214e-08,0.0017919614716840292,1.0,1.5982892583707868e-06,3.143780607171619e-07,8.023962787411424e-08,0.008397227470237434,1.0,4.03936386320459e-05,3.810912709573937e-05,6.319730936566301e-06,0.8825704381483284,1.0,5.633772962109879e-07,7.927703381591907e-08,2.1086025294528707e-08,0.001270143425025654,1.0,7.116438953056741e-07,1.3240224755165582e-07,5.433622082310122e-08,0.004631407351618682,1.0,5.243986089264174e-07,7.367513145283214e-08,2.3567796512876733e-08,0.0019749636951173054,1.0,5.089175632712385e-07,6.190682807766755e-08,2.3629735448586057e-08,0.0013858212269622482,1.0,4.963302354140928e-07,5.050594741872546e-08,1.9298559580187937e-08,0.0008622446517109385
109122.0993673,1.0,6.899898893689792e-07,1.605474295850448e-07,3.8524552836903113e-08,0.0018022800206485173,1.0,1.605775406028995e-06,4.708343482216755e-07,1.566939826738541e-07,0.008451029458493268,1.0,6.61047956790087e-05,3.713341353150016e-05,1.3198370494384046e-05,0.8852447837155497,1.0,4.973617818337805e-07,1.124382379455403e-07,2.848138183738438e-08,0.0012768505730487315,1.0,6.468815463301135e-07,1.6373206069653616e-07,9.343391167702024e-08,0.004648312214667102,1.0,5.33124132236404e-07,9.23111017299632e-08,3.5558745797623294e-08,0.0019843822633654968,1.0,4.968799155805068e-07,7.423499710734262e-08,3.530195975277537e-08,0.0013922955656462115,1.0,4.670619534831266e-07,6.411172692431251e-08,2.296408368329406e-08,0.000866602481663053
109122.3472956,1.0,4.769055380413092e-07,1.082046034011563e-07,3.043025943169641e-08,0.0018198367867206923,1.0,8.370251587534443e-07,2.500277751847412e-07,1.317784725569031e-07,0.008516804000150455,1.0,3.219466079016876e-05,2.1843330703424495e-05,1.1992140839668376e-05,0.8709138851168013,1.0,4.4489275238208326e-07,8.575166633496771e-08,2.008760162365803e-08,0.0012884649516652343,1.0,5.839019488089491e-07,2.565281701298235e-07,8.719500378053083e-08,0.004674789169024737,1.0,4.844388631205248e-07,1.0550110227976686e-07,2.91240062091247e-08,0.002001925149317558,1.0,4.430338259486377e-07,9.873694173435604e-08,2.8950598425851902e-08,0.0014063471448321127,1.0,4.2088376157810955e-07,8.020431551187093e-08,1.9850015637020876e-08,0.0008762042120157022
109122.5952979,1.0,3.988067871401862e-07,9.131908565887931e-08,1.9283580946706865e-08,0.001835588507816379,1.0,7.065758979880857e-07,2.985200967263274e-07,7.42045168454696e-08,0.008604290927261012,1.0,3.993970172114993e-05,3.31205694932613e-05,7.5200923783121065e-06,0.9050394925037877,1.0,3.764488298411046e-07,5.3886501021945937e-08,1.3624959268530236e-08,0.0012970254635985903,1.0,5.035822747638141e-07,2.9726070659139763e-07,4.7094459931221195e-08,0.004696247684827517,1.0,3.7710445483136376e-07,6.107731857725204e-08,1.5750720558289322e-08,0.0020147983770791474,1.0,3.7718724823609675e-07,5.8152203852333724e-08,1.3940358983132937e-08,0.0014154401862388033,1.0,4.1834250793802495e-07,6.930821477107157e-08,1.1563959274530335e-08,0.0008820208303109561
109122.843229,1.0,5.092330957502077e-07,7.182914949419878e-08,1.3298229351070764e-08,0.0018389612409692242,1.0,1.7955126596899323e-06,2.7677865882871895e-07,7.461001735858655e-08,0.008620622570536684,1.0,0.00014942298599675014,3.200562951390614e-05,9.785127692842022e-06,0.9070967301963582,1.0,3.5844803229875e-07,5.962006208872178e-08,1.1001478473913561e-08,0.0012985984192189172,1.0,5.853938159318811e-07,2.159218411851746e-07,3.9792175330617695e-08,0.004699197903536235,1.0,3.277883996389697e-07,4.0997945777327085e-08,1.4162312950212176e-08,0.0020172725596052485,1.0,3.941696340789291e-07,4.104414658899477e-08,1.0678836440715628e-08,0.0014167775346177593,1.0,4.003365274337709e-07,4.7719095333086395e-08,9.708023569893593e-09,0.0008827894800636368
109123.0914489,1.0,5.132622151102933e-07,8.464362977446826e-08,1.2246367330965351e-08,0.0018368738893109991,1.0,1.586504877819599e-06,3.774072478038876e-07,8.600048507433496e-08,0.008625043264614876,1.0,0.00014220368177693494,2.6369852791214603e-05,1.2410677273607348e-05,0.9016686412544344,1.0,3.760242107548451e-07,7.874061307369755e-08,1.0162867381039985e-08,0.0012973591335165328,1.0,6.098322087260528e-07,1.431580666775321e-07,5.583512855125654e-08,0.00469786711559479,1.0,3.5284956011678343e-07,3.7931615971288966e-08,1.3458197630054647e-08,0.0020155810732378062,1.0,3.969359333879977e-07,4.98656803668872e-08,9.342344046939417e-09,0.0014154621666844437,1.0,3.921486338085068e-07,2.990245042881542e-08,7.390333916478475e-09,0.0008825305258621016
109123.3391927,1.0,4.390555368878591e-07,9.087605629917621e-08,1.3556901067785268e-08,0.001836357406880037,1.0,1.7873471586865784e-06,3.3591817983621074e-07,8.757723801744322e-08,0.008645558129267206,1.0,0.00016498226667264982,1.623642751705171e-05,1.053873668029042e-05,0.9255180727581335,1.0,3.484536796900236e-07,1.2985522143808727e-07,1.0939319013491333e-08,0.0012965680336547178,1.0,5.071792979387961e-07,8.744163991955408e-08,5.8559820324159964e-08,0.004698113674664068,1.0,3.8624111811482085e-07,4.205265658907523e-08,9.825171607972215e-09,0.0020143443207957844,1.0,3.8951304594532803e-07,2.8354151372222192e-08,6.809981148574048e-09,0.0014146178666354064,1.0,3.6732096999570883e-07,2.0905999376037963e-08,7.562677483950998e-09,0.0008820971611567269
109123.5874059,1.0,4.727569363221375e-07,1.4930977094040906e-07,2.25816123011742e-08,0.0018389807681936903,1.0,1.126591554918076e-06,3.091515625430175e-07,1.0156864708296172e-07,0.008682800521835551,1.0,9.225003512532881e-05,1.7865443934312914e-05,7.69663016029747e-06,0.9452562784415973,1.0,4.3722015045068427e-07,1.8966171197965936e-07,2.1842717747117697e-08,0.0012971211849290884,1.0,4.430926891418834e-07,1.850311188695803e-07,5.210593215085074e-08,0.004702279041513628,1.0,4.7665778723867096e-07,5.865746911195597e-08,1.1741502378895731e-08,0.0020147541709840933,1.0,5.088092255591144e-07,3.678972543124795e-08,1.0659372075476021e-08,0.0014154195299669135,1.0,3.880129070770164e-07,4.53193306070095e-08,1.076912252204293e-08,0.0008820866445606284
