Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
109106.1311316,1.0,7.48863555262398e-07,2.813942805573814e-07,8.08849705925031e-08,0.0017675758741121002,1.0,2.5840199278932493e-06,1.3391371069057363e-06,4.0810192328043296e-07,0.007622768815350162,1.0,0.00010045953831888505,7.383838189632939e-05,2.0585325056354765e-05,0.4611045093184107,1.0,7.399512611360073e-07,2.2280987203660597e-07,6.68554949258758e-08,0.001288858600679764,1.0,2.467628632820566e-06,1.0909963243753095e-06,3.062563347261661e-07,0.004789344039326118,1.0,1.4083769954581856e-06,5.67412433377855e-07,1.408035223887287e-07,0.002076752770209022,1.0,1.289651144079229e-06,3.574001458837462e-07,9.791980732645558e-08,0.001482009310849894,1.0,7.668857767433089e-07,1.7882844536070437e-07,5.5636484217958344e-08,0.0009022770282688309
109106.3792388,1.0,5.105347348282526e-07,7.635962453298463e-08,3.2052562006788726e-08,0.0018012994102788525,1.0,1.1234484839310765e-06,3.0266900074786373e-07,1.336243294829401e-07,0.007780757938098942,1.0,3.8345540178508247e-05,1.4832577526698878e-05,7.462352754152153e-06,0.4859328658388405,1.0,5.213137818984389e-07,7.059365266096957e-08,2.3997507671034224e-08,0.0013069527363336372,1.0,1.2208458516640275e-06,2.804049583669367e-07,1.0853274002567818e-07,0.005037615570761347,1.0,6.411504987922195e-07,1.2332475232140962e-07,3.6557588972381935e-08,0.0020868654620384086,1.0,6.143136770912946e-07,1.1602474767991433e-07,2.787945680074747e-08,0.0015131981850288793,1.0,5.519991574766835e-07,7.735769826943544e-08,2.2248371193609683e-08,0.0009320674431118941
109106.6275231,1.0,4.954526846703652e-07,1.0007516796653447e-07,2.1638761323963397e-08,0.0017881400880059985,1.0,1.1637781425419875e-06,4.782909898125147e-07,1.1808709986587875e-07,0.007636130338952363,1.0,6.875694058789046e-05,2.1203919267734617e-05,7.934038351856246e-06,0.474942112763232,1.0,4.93269332524147e-07,1.0240529577151556e-07,1.4076298924548602e-08,0.0012846956092158943,1.0,1.7289585138893705e-06,5.289305731991055e-07,1.2667485173402904e-07,0.004947026527112722,1.0,5.386511752285792e-07,1.6460481746760918e-07,2.1953388300422945e-08,0.001982253625947287,1.0,6.031071598970685e-07,1.6445940036050744e-07,1.9771432703778742e-08,0.0014489275427111358,1.0,6.648512275290957e-07,9.382072710593388e-08,2.1770348114381272e-08,0.0009121697137754708
109106.8752467,1.0,3.9077529330326345e-07,5.987205997395548e-08,2.2976240472870645e-08,0.001752868978740138,1.0,8.971260182881546e-07,2.6603054642889204e-07,1.1642431179320423e-07,0.007457472127832389,1.0,6.881847852230811e-05,2.1233023017745863e-05,9.478142566965864e-06,0.489149283307947,1.0,4.14129074498693e-07,5.619756032333557e-08,1.3637230098508332e-08,0.0012524682160411442,1.0,1.5132583374860202e-06,3.589959837375995e-07,8.283424644092532e-08,0.00468545973054153,1.0,4.4612384010674895e-07,9.714635993809675e-08,1.86692041085783e-08,0.0018933064216392998,1.0,5.191988668791449e-07,1.3716478203384437e-07,1.842182684749011e-08,0.0013738660622883768,1.0,6.982867079770709e-07,1.0570967178952302e-07,1.2968724477355985e-08,0.0008697371655975603
109107.1233273,1.0,3.4815983715294287e-07,3.880701864560058e-08,2.3280147951583635e-08,0.0017188216720182934,1.0,7.752710261818742e-07,1.6945403643832264e-07,1.1057924329021909e-07,0.007320287325143932,1.0,4.419915116643672e-05,1.6925429378199867e-05,8.740480389487237e-06,0.4943080530193283,1.0,3.5749449413441545e-07,3.1051653931370665e-08,1.606054543007074e-08,0.0012272915935042914,1.0,6.873672668855704e-07,1.8178904190031627e-07,5.799942124408094e-08,0.004441279443473299,1.0,3.8587231165046605e-07,3.6663473568651265e-08,1.3482132821353554e-08,0.0018485415842071041,1.0,3.9480902992037276e-07,8.380562946698874e-08,1.6169594214733647e-08,0.0013317744722378653,1.0,4.5773986768951337e-07,8.373480194607153e-08,1.065044110034929e-08,0.0008384223089023428
109107.3711965,1.0,4.938757276000154e-07,8.272492964562052e-08,3.059015397244679e-08,0.001688313148173146,1.0,1.3049832568710745e-06,2.5767562891126545e-07,1.27787309117095e-07,0.007167373250356292,1.0,5.750301615451724e-05,1.7724564540874228e-05,6.877785288352538e-06,0.4541817054999684,1.0,4.698262086083608e-07,9.00387872020791e-08,2.2410485586450682e-08,0.0012067479196124537,1.0,8.492217233311776e-07,2.504319135696573e-07,5.811890464358073e-08,0.004302116072911817,1.0,5.196648673603438e-07,6.979519922935739e-08,1.6637059275435253e-08,0.0018187184676243051,1.0,4.86320196867037e-07,9.685220262379729e-08,2.0390642148409766e-08,0.001306693582795099,1.0,4.904999458542133e-07,9.658537811888618e-08,1.5311895849618298e-08,0.0008207058632779102
109107.619312,1.0,6.8396545402846e-07,1.264426792158654e-07,4.056509703169266e-08,0.0016739034568102342,1.0,1.2796554061132848e-06,2.5949722521491445e-07,1.2221338161093656e-07,0.007102235058112237,1.0,2.0499604570621902e-05,1.549905998198169e-05,5.903515867751988e-06,0.44348757569016267,1.0,6.725584536520733e-07,1.3648421026368193e-07,3.1250443427173595e-08,0.0011967744183097476,1.0,8.640283278181732e-07,4.233067397375677e-07,7.511479946158467e-08,0.004253188904758244,1.0,7.026944064317732e-07,9.522874534620357e-08,3.0239592132686295e-08,0.0018055708655335754,1.0,6.86541906930347e-07,1.1457978619041527e-07,2.6412522577797824e-08,0.0012952118899380455,1.0,5.349545023182874e-07,1.2541079639329017e-07,2.0509775261007774e-08,0.0008131424930374078
109107.8671469,1.0,7.700329658858955e-07,1.2105635728324816e-07,3.828914651755931e-08,0.0016755034129224027,1.0,1.2354830843856519e-06,2.4674183867538415e-07,1.185646543889794e-07,0.007106272692432574,1.0,1.4279909185190344e-05,9.306416604420419e-06,5.672347903517582e-06,0.4500160616608942,1.0,7.54550025473843e-07,1.0408463835296247e-07,2.7215261513243527e-08,0.0011974413084883855,1.0,8.436125667192957e-07,2.707746137450383e-07,7.933622938480772e-08,0.004249878474198973,1.0,7.714941447433626e-07,9.59318004334306e-08,3.575965808806079e-08,0.0018069460530450302,1.0,8.055575413427807e-07,9.85483373249591e-08,3.069307058321719e-08,0.0012961318884773493,1.0,5.168506503605146e-07,9.18587155332811e-08,2.4166946709364057e-08,0.0008132958830079862
109108.115185,1.0,5.231235977498017e-07,8.03949572121209e-08,1.8805967453658885e-08,0.0016745558612083758,1.0,6.073571544676688e-07,1.1798991443385703e-07,7.047654986898847e-08,0.007102519521029703,1.0,1.1769674107579152e-05,4.006487523378223e-06,3.4641402619409188e-06,0.44890453189473495,1.0,5.459327513188637e-07,6.517220590395024e-08,1.3337107044318721e-08,0.0011957318492114089,1.0,5.847027980907079e-07,8.818480450051213e-08,3.784395856734108e-08,0.004232621044274362,1.0,5.855767104856212e-07,6.385980488265307e-08,1.6408723060212266e-08,0.0018046662261144391,1.0,6.272167426952841e-07,5.976449209731145e-08,1.5537518591142962e-08,0.0012945467466121,1.0,4.4869719122619826e-07,4.662339432315303e-08,1.4069266655082356e-08,0.0008117209933231438
109108.3631248,1.0,3.215082469400883e-07,4.50818956650803e-08,1.2607773844128918e-08,0.0016715615912750719,1.0,3.319822148446984e-07,6.730288637319411e-08,5.765477968063878e-08,0.0071107168948551115,1.0,1.5004126103565877e-05,2.8590025646459097e-06,4.570264228896896e-06,0.45765513190909063,1.0,3.772357992143815e-07,4.379682762559116e-08,7.861121387152776e-09,0.0011932830018144855,1.0,4.439212186362071e-07,6.562243743073546e-08,3.089922625070834e-08,0.00422771336485524,1.0,4.343566788421519e-07,3.406727852621553e-08,8.98277197085485e-09,0.0018029345655557988,1.0,4.6792648003374846e-07,5.420229922523665e-08,1.0190507975098638e-08,0.0012930303082807416,1.0,4.3157863677493555e-07,4.8728503131754396e-08,1.1443245508169189e-08,0.0008104327542798311
