Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
109136.5833015,1.0,2.470799068217621e-06,3.9723091232456613e-07,9.122916999893684e-08,0.002158398145200104,1.0,1.03891290439388e-05,2.7567181514159445e-06,4.820559768914791e-07,0.011273411153953295,0.34578796899418934,0.0007591314184895,0.00026683503858670365,4.510595127257653e-05,1.0,1.0,1.5313562947411707e-06,2.464032099835088e-07,5.787281365467523e-08,0.0015051286802294248,1.0,5.389164302261329e-06,2.9663098277655264e-06,3.780956512407687e-07,0.006093743732928746,1.0,1.8006482304107373e-06,4.6702395837379005e-07,9.791997245969342e-08,0.002457283724501508,1.0,1.859606102301537e-06,5.398733668767717e-07,7.955324624867589e-08,0.0017581159582474137,1.0,1.4282943365101732e-06,5.376546149864255e-07,4.939274748553043e-08,0.0010810973295749483
109136.8313663,1.0,2.5292880164113686e-06,5.00572283254739e-07,1.5755618087863564e-07,0.002106838591733971,1.0,9.495337495125381e-06,2.7002199806802522e-06,8.059506330285456e-07,0.010873044360078363,0.3743388429935288,0.0006806940272409504,0.0002765226646995221,7.489676612207184e-05,1.0,1.0,1.375124313814502e-06,3.7890877012714683e-07,1.0248110536011295e-07,0.0014555355261298782,1.0,6.238741429965107e-06,3.5043050595961167e-06,6.995311112346748e-07,0.005742233900410518,1.0,1.67218409178765e-06,5.497332946921017e-07,1.5772795845324937e-07,0.002285799953095689,1.0,1.7612336571678158e-06,4.897725058485499e-07,1.2562696116337445e-07,0.0016300189361215546,1.0,1.4168208017387022e-06,5.10873647986894e-07,8.058994197792404e-08,0.0010209366639024053
109137.0796422,1.0,2.2757773747847796e-06,1.9914481738980244e-07,7.079819005239159e-08,0.002058378988451513,1.0,9.015850534852616e-06,1.0543255039127274e-06,3.839181831364148e-07,0.010625085873209983,0.35757886230548264,0.0006716006134273982,0.00015126336138558853,8.961925177749462e-05,1.0,1.0,1.0509424623347803e-06,1.5878426669586836e-07,4.7243262000539546e-08,0.001418542512654151,1.0,3.657753335117765e-06,1.3005414839295343e-06,4.049182027056194e-07,0.005426864505869153,1.0,1.085914016314529e-06,2.1586736430721663e-07,7.371783713725447e-08,0.002200653062212211,1.0,1.087518181642888e-06,2.3795157334114625e-07,7.212512902353753e-08,0.0015600195730741486,1.0,9.54783719202754e-07,2.3133529410224464e-07,5.264149736657385e-08,0.0009757673220162152
109137.3272459,1.0,6.6638495005895e-07,6.900651876534139e-08,3.688406398990349e-08,0.002024748122978968,1.0,1.920626258737031e-06,2.9802239319872533e-07,2.793196780546651e-07,0.01049249173145267,0.30250188401458195,0.0003470387989592401,0.00027711457542179015,0.0002688468332921002,1.0,1.0,4.77655826231912e-07,5.774845174381512e-08,2.4429098242458163e-08,0.0013951963145528603,1.0,1.3831339705892896e-06,6.168536856975479e-07,4.4304003104830617e-07,0.00528319699730813,1.0,4.6224301777619826e-07,7.297217750850403e-08,3.029876772100579e-08,0.002161497867983017,1.0,5.784641938925277e-07,9.50695019330682e-08,4.048238840048329e-08,0.001527280558206626,1.0,5.626295235272614e-07,9.29740727535257e-08,3.5589053592275476e-08,0.0009526428949170623
109137.5753556,1.0,5.633499610086531e-07,4.587187711131001e-08,3.035334767101251e-08,0.0020169210160259706,1.0,1.4941200685817136e-06,3.362066332266521e-07,1.9129996277354463e-07,0.010552153203793616,0.17980193301604658,0.0001470081929180874,0.00015829419496125695,0.00015865602688340413,1.0,1.0,4.7247650736029477e-07,3.342837499813691e-08,1.9099026597213318e-08,0.0013867517787223595,1.0,1.0975393168859647e-06,3.2696855870829555e-07,2.4077443962366815e-07,0.0052558369896988635,1.0,4.693935620071297e-07,4.55651148443911e-08,1.767905726469659e-08,0.002145547819522233,1.0,5.868867125856313e-07,3.879366644799363e-08,1.9833898985912593e-08,0.0015158215966067702,1.0,5.405468802871501e-07,5.185855543255164e-08,1.7675121850694813e-08,0.0009442163289386233
109137.8236165,1.0,5.317972136491103e-07,4.401841183294519e-08,2.2991682669546517e-08,0.002006976849767691,1.0,1.7057516504434467e-06,2.8927467640963796e-07,1.1212953082147268e-07,0.010512827343616605,0.1913154915913725,8.612127837373294e-05,3.326687072424394e-05,2.0018002862679065e-05,1.0,1.0,4.530251402603388e-07,3.44807884532981e-08,1.2268078504497703e-08,0.001379367467026763,1.0,6.74338990801608e-07,2.6588207774946355e-07,5.563477290845206e-08,0.005215999909557425,1.0,4.2935361728775695e-07,3.152612067317616e-08,1.2295719398547922e-08,0.0021361708558740094,1.0,4.5769380509857685e-07,5.176280282649896e-08,1.75253095967358e-08,0.0015073869729632363,1.0,4.216962665358388e-07,4.644111295924394e-08,7.462078981340458e-09,0.0009398850044346554
109138.0713607,1.0,8.428231362095318e-07,9.53395061904404e-08,2.1042795711589986e-08,0.001996358428582114,1.0,3.118644540250759e-06,6.017290873476713e-07,1.1806098129692475e-07,0.010494266503827924,0.18318965342234023,0.00021195576252233369,3.545501605897144e-05,1.1495348381557966e-05,1.0,1.0,4.790339409505562e-07,5.4497468161917844e-08,1.602203488989105e-08,0.0013721902080527624,1.0,6.98448779755491e-07,1.6746050463903217e-07,4.845181992564147e-08,0.005214506385369155,1.0,3.8839923180448e-07,3.5208629997710744e-08,1.7006548912734404e-08,0.002128253069180353,1.0,3.632218218288749e-07,5.538536490683728e-08,2.140604786912635e-08,0.0014997536710176305,1.0,3.4560209979325876e-07,4.011678914888655e-08,8.726859321190603e-09,0.0009350372474751169
109138.3192525,1.0,7.376824724172227e-07,2.3375351337718353e-07,9.904925510031905e-09,0.0019942888324750024,1.0,2.417958369375707e-06,9.815100579269082e-07,5.284095722205574e-08,0.010504029573356879,0.18434864191185366,0.00013845234550042074,3.0251256706506315e-05,5.578842429655731e-06,1.0,1.0,4.4468395544240005e-07,1.151494992876716e-07,1.0271751415408756e-08,0.0013706638197455358,1.0,6.233792285078711e-07,7.967761005448224e-08,2.168642333446802e-08,0.0052184230652501246,1.0,3.978452737912338e-07,5.147620468533807e-08,1.1830621545837683e-08,0.002120434534286378,1.0,3.743202813776875e-07,3.92875295702939e-08,1.1389194325446436e-08,0.0014965548124458567,1.0,3.7422727484918234e-07,3.9464846829602975e-08,9.487386100331089e-09,0.0009328269264175912
109138.5672615,1.0,7.367975644830583e-07,3.542237788803997e-07,1.6292555726635138e-08,0.0020081098911850425,1.0,1.7370047693134802e-06,1.1542943941529209e-06,7.191235238611501e-08,0.010557928862854619,0.20468877961324503,4.5115279687606785e-05,3.271430220170777e-05,5.961151025857786e-06,1.0,1.0,4.6104730932232997e-07,1.788039039447369e-07,1.2792191729966316e-08,0.001379558689959997,1.0,4.946772355031485e-07,1.3330890350579004e-07,3.049108452347987e-08,0.005230862860636919,1.0,4.206986064172419e-07,9.240415569980483e-08,1.6364733803484028e-08,0.0021285131822400185,1.0,3.866217563529577e-07,6.42821673389495e-08,1.1084377138342622e-08,0.0015038773505030919,1.0,4.176792079389538e-07,5.625661898190766e-08,1.0921188696663499e-08,0.000938638347702004
109138.8153337,1.0,8.814107876140938e-07,1.6891640264638167e-07,3.098341752608107e-08,0.002012840215296152,1.0,2.1554793037521495e-06,4.674669702781422e-07,1.381445156107143e-07,0.010570535283359007,0.23333647204271168,7.944438130302154e-05,1.9766701987293886e-05,1.0907499392711016e-05,1.0,1.0,4.511080590971052e-07,1.2961202704989514e-07,2.186379611428729e-08,0.0013793662427120216,1.0,5.246616872469454e-07,1.8628787441793236e-07,5.714932080088225e-08,0.005202910774656916,1.0,4.051042797063425e-07,1.0656283775130302e-07,3.1126335501209156e-08,0.002125110933893775,1.0,4.2446043834656536e-07,1.0351604682168045e-07,2.255495863055181e-08,0.0015009665679264002,1.0,4.009551111385021e-07,7.897800112750666e-08,1.7636505724766476e-08,0.0009364976541463349
