Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99705.9789437,1.0,1.4730030799633168e-06,2.4400945986807846e-07,1.021706203502505e-07,0.0009568621243929097,1.0,1.22005405632577e-06,8.927329245209246e-08,3.9204470372619815e-08,0.00048457089820245374,1.0,6.303911886671735e-07,5.043349880464638e-08,1.3993092425029305e-08,0.00016972878886478357,1.0,2.0894651622989947e-06,3.942554154752992e-07,1.3395225788410013e-07,0.0013788638961712617,1.0,8.171722275631714e-07,7.080534580672058e-08,2.1726902194559982e-08,0.00026217864222575945,1.0,1.7604617567655027e-05,3.5454466490645495e-06,7.340773387353861e-07,0.010307931273147814,1.0,8.368937202609365e-07,1.5788520763257357e-07,1.7430074460793608e-08,0.000180815924075237,1.0,9.37957135041788e-06,1.4002892580208914e-06,3.744062422468424e-07,0.005646142245127061
99706.2269646,1.0,2.0032099679666158e-06,2.675277267379567e-07,1.0172823993308569e-07,0.0009456486931365055,1.0,1.597545154074578e-06,1.5034468092317922e-07,3.073498340138601e-08,0.00048026944733481266,1.0,7.526860359020244e-07,8.533333953883305e-08,1.4386604595513552e-08,0.0001688307154500667,1.0,2.4852240057914554e-06,3.3331098594035426e-07,1.3757004482025896e-07,0.0013601632152822844,1.0,7.786073239339562e-07,1.0790780846383031e-07,1.7451156839065982e-08,0.00025947176550716444,1.0,2.7121403372308544e-05,1.6533727227502047e-06,8.081246763399604e-07,0.010237629067984266,1.0,6.288639351386011e-07,1.2499978621711057e-07,1.5154165073701906e-08,0.00017900180701852016,1.0,9.34285323432192e-06,1.5092506121814657e-06,3.3756178837421994e-07,0.0055512780880863375
99706.4755197,1.0,3.3825531825111245e-06,3.7837759178384066e-07,1.5501418983864919e-07,0.0009296469584688163,1.0,2.5981925546998015e-06,3.485374181632995e-07,4.069392677821931e-08,0.0004743531379122707,1.0,8.95027927304731e-07,1.429803816378575e-07,1.8386897799034837e-08,0.0001674257521153543,1.0,3.6742008718281096e-06,5.392244218419632e-07,1.3125483983161977e-07,0.0013422723266393536,1.0,1.0914012538780623e-06,2.3209858548589068e-07,2.4225374783419122e-08,0.0002564190064385607,1.0,4.273739334226156e-05,3.6448671598925716e-06,7.255269099754436e-07,0.010260744289035655,1.0,8.331103715235344e-07,1.7860912896325058e-07,1.7572010514620105e-08,0.00017723102704771953,1.0,1.5839478050487002e-05,3.5622612121372046e-06,4.44589789671549e-07,0.00542057954750357
99706.7229429,1.0,2.0878859948737494e-06,5.194563478094683e-07,1.405096745043044e-07,0.0009243879533312686,1.0,1.6465377478238182e-06,4.179226930258533e-07,4.8369591563692976e-08,0.000469921091577604,1.0,4.340214404446327e-07,1.3860613899415263e-07,1.6633805289886626e-08,0.0001663259167751684,1.0,3.7423487611991738e-06,8.675883501317469e-07,1.402109669922129e-07,0.0013340337056027165,1.0,7.299363781879819e-07,2.6539074127547704e-07,2.8912675459836146e-08,0.0002532113679047722,1.0,4.8301965261049575e-05,6.833739541598167e-06,7.669303131013171e-07,0.010280093723521958,1.0,8.271541092345681e-07,2.029026617330767e-07,1.8137577149140526e-08,0.0001751613117338709,1.0,1.5213840662124316e-05,3.063231385597567e-06,3.092387919828421e-07,0.005265064478515895
99707.0899551,1.0,1.781870547113492e-06,4.420261353416808e-07,1.449055415131454e-07,0.0009268819061311827,1.0,1.058481325939644e-06,2.4496232321290036e-07,6.640363491288792e-08,0.00046982401132228895,1.0,4.1073829877702965e-07,8.473946690261517e-08,1.989456697024358e-08,0.00016619154728992063,1.0,2.7075212735882355e-06,4.953329504251171e-07,1.458937692119341e-07,0.0013386221533089914,1.0,6.530841893636239e-07,1.5616256821607436e-07,3.005531179828735e-08,0.00025268632432505885,1.0,3.5417068535804354e-05,3.5164237319822915e-06,8.117231408218344e-07,0.010001915884572221,1.0,5.416233728348383e-07,1.2352617116210448e-07,1.7892181396433092e-08,0.00017491427508513688,1.0,1.3450959704857625e-05,1.6263688113377328e-06,3.2394968707898605e-07,0.005304735728716832
99707.5434884,1.0,6.929653039970725e-06,5.332285646252131e-07,1.7394649436330962e-07,0.0009247221509412819,1.0,3.5357180779420316e-06,2.874516148885985e-07,5.334484315937591e-08,0.0004689186023695286,1.0,1.009818812844549e-06,1.0256043300902211e-07,2.1075644366256638e-08,0.0001654521846998495,1.0,9.22483286610417e-06,5.781112160328339e-07,1.5146702968238813e-07,0.0013341168248979017,1.0,1.9001262482194855e-06,1.7305328376033884e-07,3.014478722874257e-08,0.000251744245415705,1.0,7.361136106478206e-05,4.646718865211649e-06,8.640914470736712e-07,0.010096332848788461,1.0,1.4580529185781285e-06,1.6015431458018763e-07,2.670252660221543e-08,0.00017484411557497072,1.0,3.5867328692458783e-05,2.371919694094903e-06,5.226438641539273e-07,0.005258061909610345
99707.8792546,1.0,5.914475916032225e-06,3.1167443897439964e-07,2.232873449178456e-07,0.0009231730196816725,1.0,2.943688856380966e-06,2.2709006482676628e-07,8.575334479142665e-08,0.00046774198773505307,1.0,9.660569965663627e-07,9.491038796990484e-08,2.9839791263385806e-08,0.0001656558832293829,1.0,8.08602433106994e-06,4.0349593777720065e-07,2.451973165858492e-07,0.00132701492513291,1.0,1.723716672434482e-06,1.4026837650871294e-07,4.6572536413951044e-08,0.0002512645199612806,1.0,5.51955754353881e-05,4.183312958434303e-06,1.3461604995938856e-06,0.01035409763910487,1.0,1.433430237981415e-06,1.5278261038518502e-07,3.8696980828850696e-08,0.00017452243997523778,1.0,2.6536523810502156e-05,2.144047811907695e-06,7.822683263396108e-07,0.005164611817034139
99707.9333993,1.0,2.234850356639023e-06,1.2081361232276496e-07,1.8143881840032796e-07,0.0009274797477623404,1.0,1.5436421644202835e-06,1.4754549198011235e-07,6.048275502880951e-08,0.0004690310291653999,1.0,7.150772804959649e-07,6.259101728983553e-08,2.575431872249081e-08,0.00016602979120492782,1.0,3.2130573597162098e-06,1.9900373112717287e-07,2.0262140577925778e-07,0.0013269712798777299,1.0,9.930931328829257e-07,7.215424170706474e-08,2.8276215898650348e-08,0.00025199970822058844,1.0,1.3569531556237616e-05,1.6447589964423105e-06,1.4039500351650007e-06,0.010561175174050618,1.0,8.596926204695392e-07,8.327981764590713e-08,2.441904057277762e-08,0.00017539133870150643,1.0,8.634538367405876e-06,7.681817471075806e-07,5.116771056006463e-07,0.005136760172157842
99707.9743268,1.0,3.219854477665005e-06,3.669092011543098e-07,1.750158984646817e-07,0.0009334465458672959,1.0,2.216341701128536e-06,2.76967410012783e-07,4.782150489286543e-08,0.00047051020722395966,1.0,8.742937773044282e-07,7.414595152960132e-08,2.6227968038881136e-08,0.00016692815691840326,1.0,3.284189311751304e-06,2.7952659586674007e-07,1.908923041587477e-07,0.0013323346272396657,1.0,9.234152367097818e-07,9.100356336151006e-08,2.677143039064548e-08,0.00025320773542138967,1.0,1.5841963046244005e-05,1.7752401063807434e-06,1.8293258740524625e-06,0.010563593165740804,1.0,8.435829643388849e-07,4.788536739322228e-08,2.135720533205093e-08,0.0001762048616734957,1.0,7.978821146565243e-06,8.090019515108489e-07,5.25666377603478e-07,0.005167760235676094
99708.2113561,1.0,3.6261981364667564e-06,9.59935393048405e-07,1.309084445280879e-07,0.0009329430450815253,1.0,2.0470081877189355e-06,5.369869554136267e-07,3.3631338335325475e-08,0.00046967497017019776,1.0,8.620818876517347e-07,1.557491112518228e-07,1.616309594705637e-08,0.00016645339167599635,1.0,2.052398501483748e-06,6.624941188897029e-07,1.5116807456869617e-07,0.0013307587795936043,1.0,6.297197822206603e-07,2.0652870914681089e-07,2.164858402517528e-08,0.0002526043727318136,1.0,9.699911267210779e-06,2.687505459396713e-06,1.308234202573018e-06,0.010528010637698768,1.0,5.08062968697112e-07,7.760070985504128e-08,1.817169930353275e-08,0.0001759460091796078,1.0,4.163602550759606e-06,2.0504281308624837e-06,3.8019102290495096e-07,0.005136172482919138
99708.4597608,1.0,1.8319893418541844e-06,5.355266556486538e-07,1.0443405250184058e-07,0.0009348079289320811,1.0,1.1706430478471617e-06,3.9088481882152193e-07,3.148748808734571e-08,0.00047026986063461424,1.0,6.274223312032556e-07,1.4617445265142553e-07,1.5285415828625615e-08,0.0001663621641590412,1.0,1.6666600541098562e-06,6.840419487547556e-07,1.6056358714120915e-07,0.0013330128927143581,1.0,6.605411349252572e-07,1.9232137813892456e-07,1.730228711162329e-08,0.00025237636838839977,1.0,1.142683050239839e-05,2.527440942514108e-06,1.0861733494923185e-06,0.0103523846939319,1.0,5.378015930359074e-07,1.0639935780788652e-07,1.5686289603276967e-08,0.00017559933491361783,1.0,7.051159460754026e-06,2.236132114228361e-06,2.9459750605020445e-07,0.005144590827957272
99708.7077119,1.0,1.4095312559073893e-06,2.9454319879666656e-07,1.1932916410468743e-07,0.0009359222610204474,1.0,1.0036570967603536e-06,2.100896419557035e-07,5.760761883204954e-08,0.0004720620149851213,1.0,5.806148939776253e-07,9.446333990779569e-08,2.1176786647439946e-08,0.00016669335715004864,1.0,1.6100942542893818e-06,4.4888478713788196e-07,2.1137896152947142e-07,0.001335675938230287,1.0,7.143232904911814e-07,1.09424566937204e-07,3.223280152463429e-08,0.0002531619682994707,1.0,9.488510414836698e-06,2.464233031467568e-06,1.2872882680230587e-06,0.010412290294831848,1.0,5.834910417217213e-07,7.911817328170971e-08,2.221993407818218e-08,0.00017629544028795923,1.0,6.003474072182525e-06,1.648445774597951e-06,5.654086787881924e-07,0.005149843075668529
99709.0229552,1.0,2.290138889303223e-06,2.603114239720215e-07,1.1941091310198085e-07,0.0009349142967701214,1.0,1.7978759011781868e-06,1.2098554097085518e-07,6.128968254044007e-08,0.0004729588355822308,1.0,7.416322525086431e-07,5.978921731298425e-08,2.019355097133464e-08,0.00016705476221730935,1.0,2.3146296114916304e-06,2.7259730912340865e-07,1.8968411637878614e-07,0.0013361059187815792,1.0,8.834085881756559e-07,7.487486038446023e-08,3.279092610130176e-08,0.0002536316336520607,1.0,1.0488341536043023e-05,3.382548593092635e-06,1.4226930222175346e-06,0.010583047049115729,1.0,6.188922200883424e-07,8.050575891662297e-08,2.8174058234869276e-08,0.0001767390901973079,1.0,6.033278974000645e-06,1.631973033631304e-06,6.606473350513278e-07,0.0051257885396914634
99709.4823208,1.0,2.6295657453653837e-06,6.469474381725877e-07,2.0946046904151687e-07,0.000932855266333435,1.0,2.1137845793271276e-06,3.9216134507538376e-07,8.328126557855848e-08,0.0004748823203130702,1.0,8.029391109929466e-07,1.0142843347257859e-07,2.0382621929790226e-08,0.00016712343886909973,1.0,2.3815733900062405e-06,8.331280620745157e-07,2.923979117206236e-07,0.0013349581321751953,1.0,9.67557636355599e-07,1.7621189650547298e-07,2.9003008959075697e-08,0.0002544583829277488,1.0,9.39474996479578e-06,7.469551309104085e-06,1.898950050517133e-06,0.010930928948833294,1.0,7.031985269655656e-07,1.6502462064536386e-07,3.509256459336225e-08,0.00017765147426321743,1.0,6.536514567923466e-06,3.809807560080933e-06,7.03988775379235e-07,0.0050768246323545695
99709.8745246,1.0,2.8100936542567866e-06,6.950424399239731e-07,2.5134427968326504e-07,0.0009326390161698129,1.0,1.7800603160625525e-06,3.4387040993791765e-07,1.128916174226756e-07,0.00047699979251625914,1.0,7.483943760725187e-07,9.567989708245957e-08,2.816609044298921e-08,0.00016700772931788334,1.0,1.8678576707749095e-06,5.683038682132363e-07,2.794970781597346e-07,0.0013390445870459253,1.0,7.278457986031484e-07,1.169915415077026e-07,4.5859851580417274e-08,0.0002553133613583816,1.0,6.068063414231478e-06,4.0793736285005185e-06,2.4918368741634407e-06,0.011249158337561531,1.0,5.407006868890224e-07,1.0322526513403842e-07,4.4962265681593103e-08,0.00017841325564237458,1.0,3.849954377898559e-06,1.79511822017447e-06,9.803972637747398e-07,0.00503365547684872
