Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99744.0633337,1.0,3.0405102671659037e-06,2.8338715344957014e-07,9.655002069593412e-08,0.0007625590722847805,1.0,2.183075522204182e-06,1.9702390221660077e-07,4.6596769199701066e-08,0.0004166812316879709,1.0,9.03052165858061e-07,6.306866232468882e-08,1.7089333031293505e-08,0.00015527070233208444,1.0,3.438149100816401e-06,2.642830672112452e-07,1.4058976003535989e-07,0.0010175870352897953,1.0,1.1308563498313783e-06,6.809408600175668e-08,2.6834266089823416e-08,0.00021899638785100685,1.0,7.112625392105023e-05,7.370001899210614e-06,4.687797632755526e-06,0.03148086436514097,1.0,1.130788192131662e-06,6.753938232098485e-08,2.9140721369376305e-08,0.0001692622617326009,1.0,7.755704889299473e-06,4.960253370811522e-07,2.862538115513779e-07,0.0027399066601697863
99744.1749743,1.0,1.3661465683097185e-06,2.2844786741923795e-07,1.2422764587907e-07,0.0007637332391984999,1.0,1.005581511872695e-06,1.4590889647662537e-07,6.878631172773174e-08,0.0004168942406966355,1.0,5.409517731400168e-07,6.382548663203014e-08,2.41205751694101e-08,0.0001552321760406518,1.0,1.259326558054339e-06,1.9133614706120762e-07,1.694674791558736e-07,0.0010198964118086637,1.0,5.880500306146277e-07,8.383227485345904e-08,3.854529938717334e-08,0.00021897268447943226,1.0,2.6368934955686482e-05,3.9843105933037095e-06,6.307150610405523e-06,0.03124239978586331,1.0,7.748683337775766e-07,1.2994353947867474e-07,4.30097825503914e-08,0.0001694550214884722,1.0,3.3475213951213476e-06,6.602884240428395e-07,4.213741904118946e-07,0.0027484883024324895
99744.4229583,1.0,2.245165153864416e-06,4.506577273500805e-07,1.6342170501824817e-07,0.0007679723190066923,1.0,1.3313851846927094e-06,1.68169381676556e-07,7.120846017014396e-08,0.0004182700965516233,1.0,6.498499204061333e-07,8.053555976386298e-08,2.3905004985921187e-08,0.00015550083822033357,1.0,2.2138123424482765e-06,4.888903173380762e-07,1.4969609472648398e-07,0.0010265968968260835,1.0,7.807557246187633e-07,1.418168159634074e-07,3.911801923015532e-08,0.0002196272772046761,1.0,5.0696117878261904e-05,1.3072396163586797e-05,4.195635719208418e-06,0.030721087146800483,1.0,9.034305841605903e-07,1.3448215296629775e-07,2.6782426115989676e-08,0.00016993982570540084,1.0,5.7929675689076106e-06,1.680874930260482e-06,4.340011465008428e-07,0.002762905462851356
99744.671413,1.0,3.6245069594329437e-06,3.8768024277724894e-07,1.1516925645776799e-07,0.0007669859949066996,1.0,1.5671006699741097e-06,1.0325190263994582e-07,5.1969533346656666e-08,0.0004183874176705636,1.0,6.930903615297832e-07,4.749774588568083e-08,1.822674937241108e-08,0.00015567965990289113,1.0,2.445011630119396e-06,4.084349530891297e-07,1.3613870907722183e-07,0.0010250226608103253,1.0,7.452436424401846e-07,1.1069493346626741e-07,3.291933123593784e-08,0.00021993858321429262,1.0,3.8945580361177946e-05,1.4200223571665394e-05,3.757323540886863e-06,0.03083335377335951,1.0,8.047776804604866e-07,1.127629835301399e-07,2.7697777660078657e-08,0.00016998814634577237,1.0,4.0728229889272116e-06,1.3272521822423676e-06,3.4024210761408745e-07,0.002762058795637034
99744.9190964,1.0,3.7384460200189474e-06,3.588502844560085e-07,1.587517893427217e-07,0.0007619211823369275,1.0,1.4927341726427945e-06,1.3920098004593162e-07,6.857878324449682e-08,0.00041755525462819045,1.0,6.737355350446982e-07,6.246581517985861e-08,1.903711223610135e-08,0.00015560874225754783,1.0,1.6976248437170238e-06,3.330423265452358e-07,1.5728804022962643e-07,0.001021219386951781,1.0,6.105006458876278e-07,1.4471368237691338e-07,3.4879752170396704e-08,0.00021961712042038685,1.0,1.6428845832214672e-05,1.997266658718375e-05,5.197094772346183e-06,0.031610633997120385,1.0,6.493678267188773e-07,1.8177804155256225e-07,3.970361285848723e-08,0.00016992228753462524,1.0,2.2014368372863225e-06,2.2610682129279108e-06,4.5065647190266723e-07,0.0027487184694224838
99745.3734992,1.0,1.4610126438038784e-06,2.0536893991931692e-07,1.1905916932432083e-07,0.0007622675726448347,1.0,1.0958461214750104e-06,1.4035905927795007e-07,6.730751933733693e-08,0.0004167828775752362,1.0,5.790090218209294e-07,8.696141475700334e-08,2.5490739646366153e-08,0.0001550372682860357,1.0,1.101781178558492e-06,2.6240379487641844e-07,1.3221908093807496e-07,0.0010184307350019938,1.0,5.512906568280202e-07,1.2528406623484873e-07,3.759105059249072e-08,0.00021846390489487606,1.0,9.793351476334563e-06,1.1907221364950138e-05,4.636986292812591e-06,0.03226364806643929,1.0,6.483831700163691e-07,1.6067241508791595e-07,4.009192284025213e-08,0.0001694517655306463,1.0,1.6736139376283784e-06,1.3951799338553709e-06,3.902726539549275e-07,0.0027221550864953707
99745.835853,1.0,7.702284749984979e-07,1.5145378214201903e-07,4.959532306045512e-08,0.0007479957166688148,1.0,8.197948304484119e-07,9.21321719019903e-08,4.2505494323354716e-08,0.00041012288142300713,1.0,4.3520093762607317e-07,5.82419394431792e-08,1.8705058028235327e-08,0.00015168977697909181,1.0,7.937456216724973e-07,1.4212562978440176e-07,9.507381298570354e-08,0.000998314277261422,1.0,4.183101152475592e-07,7.245214398059216e-08,2.4733799886952644e-08,0.00021459891952134062,1.0,9.614779556598664e-06,5.40265783396442e-06,3.1896800739272116e-06,0.033073057413623826,1.0,4.903633841153855e-07,8.999724568256362e-08,2.8129032832825257e-08,0.00016692794920957992,1.0,8.507059762345024e-07,5.100948102131912e-07,2.453795804359626e-07,0.002657399198444963
99745.9997276,1.0,3.8786054495827415e-07,2.61634024320984e-07,1.1849771485928912e-07,0.0007308429753055046,1.0,2.886598988156389e-07,1.4961808368472044e-07,7.568050667504746e-08,0.0004014102566583155,1.0,3.5445504564228686e-07,7.087125531734167e-08,2.145745674070744e-08,0.00014763497602720044,1.0,2.838454815431554e-07,2.093640912481152e-07,1.4875265329195936e-07,0.0009763211649042035,1.0,3.2215497241304947e-07,1.0812826713099786e-07,3.343773617451514e-08,0.0002102423049209915,1.0,8.368481495297677e-06,1.0083973296448307e-05,5.416071333564822e-06,0.03398805547414053,1.0,2.983002210677078e-07,8.235405108361861e-08,3.7270785155374686e-08,0.00016395820744552903,1.0,6.982989585804921e-07,1.0512418452027126e-06,5.049741097143249e-07,0.0025862472179526293
99746.0468757,1.0,6.252718133396324e-07,2.2446397027262074e-07,1.1695953335721421e-07,0.0007294221717560595,1.0,5.211214292624932e-07,1.9284100149308803e-07,8.680441010756622e-08,0.0004005292180706418,1.0,4.960986710072194e-07,8.874677899694573e-08,2.7698012543048514e-08,0.00014701859020772827,1.0,4.801057975739758e-07,2.10787127898226e-07,1.219121197930464e-07,0.0009751309617983179,1.0,4.0630016889990967e-07,1.1288204538992214e-07,4.723059637145129e-08,0.000209829806468717,1.0,9.725110608349934e-06,1.1483026924518343e-05,6.188540007233237e-06,0.03391800957225728,1.0,3.6300480539714915e-07,9.146899579530203e-08,4.187881727314374e-08,0.00016379835163819566,1.0,6.464740108661723e-07,1.1974294578658572e-06,5.908714741617007e-07,0.002582071524879658
99746.1596704,1.0,9.589254170488478e-07,3.9689373155331955e-07,8.65089414320421e-08,0.0007324954321628336,1.0,8.846421692740447e-07,2.8148664199399407e-07,5.83479644974873e-08,0.00040165627109622405,1.0,5.643776154560115e-07,1.0712249153309943e-07,1.741311897152049e-08,0.00014732440618862484,1.0,7.834713786552716e-07,3.546613197490323e-07,7.612767798570738e-08,0.0009792053987677798,1.0,5.224062200205397e-07,1.0997810040145039e-07,3.044734995161004e-08,0.00021019419819194783,1.0,6.772734150915619e-06,6.4691999415960075e-06,4.622363496780967e-06,0.03313560558529826,1.0,4.655136630278571e-07,8.460211465222438e-08,3.6147663994586254e-08,0.00016404319258553918,1.0,8.681695442948584e-07,5.925095510048708e-07,4.1264033207908366e-07,0.0025966809012082414
