Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99736.3390337,1.0,6.974857481568218e-07,9.66919160744306e-08,8.977686455291011e-08,0.0008021592859371654,1.0,5.690009339123866e-07,5.682472790776142e-08,4.682542365586425e-08,0.0004288181181624905,1.0,4.538475266970417e-07,4.3340191725051555e-08,1.5562700203708223e-08,0.0001567743124499672,1.0,7.409493544129096e-07,1.3323526417577074e-07,1.0920060049947679e-07,0.0010837856406184997,1.0,5.019872321436333e-07,5.209739660967184e-08,2.728458469152589e-08,0.00022464140225255527,1.0,1.1883001555043408e-05,2.9838746443924556e-06,1.7507905470308372e-06,0.021819844482969194,1.0,4.6997568288225886e-07,1.3926709836887097e-07,2.6553897934994306e-08,0.0001705125020441736,1.0,2.0982567062343335e-06,4.981730684712957e-07,3.759959333349658e-07,0.0030928958901064027
99736.5871353,1.0,1.7412586341675309e-06,2.423031388771518e-07,1.1584248527681112e-07,0.0008030497516948859,1.0,8.383467352152195e-07,1.203685767565186e-07,6.533145576465117e-08,0.0004293573518483727,1.0,4.828408337506815e-07,7.04654660419547e-08,1.8179623786869127e-08,0.0001567253245021027,1.0,1.5002659471081594e-06,1.941251047373319e-07,1.1644329829678446e-07,0.0010886610167903938,1.0,5.872100004728995e-07,8.172522642263053e-08,3.0494338780226754e-08,0.00022483565143887352,1.0,9.412454985146603e-06,1.7613663275529943e-06,1.6302969920706078e-06,0.02127862207938764,1.0,5.701053787560827e-07,9.254461092535765e-08,2.602704562133018e-08,0.00017079490145404882,1.0,1.869093170364623e-06,5.639365812275814e-07,3.3377508119849615e-07,0.0031134051763856215
99736.8353943,1.0,2.6177159320917054e-06,4.14042827392675e-07,1.0319960178666474e-07,0.0008001004369772034,1.0,1.1240484653401882e-06,2.0020676015835531e-07,4.454581860452182e-08,0.0004291172766854753,1.0,4.914839335710043e-07,8.130002381120259e-08,1.7476138831609362e-08,0.00015699264905237546,1.0,2.100981712482957e-06,3.9044219610976744e-07,9.673565355471413e-08,0.0010866569908904835,1.0,5.657895398971538e-07,8.644330255125191e-08,2.3639373317345014e-08,0.0002251670879333906,1.0,9.677457656911993e-06,2.8964324200419465e-06,1.5432066543270175e-06,0.02133059242746363,1.0,7.210878269483049e-07,7.433211078884955e-08,2.428852548849247e-08,0.00017095684425855493,1.0,1.728505035953152e-06,6.056398397273132e-07,2.5481828248112934e-07,0.003128218591481558
99737.2141979,1.0,1.4082088079290056e-06,3.5725701472635995e-07,8.314437840802993e-08,0.0007994446422966439,1.0,1.031826995965812e-06,1.9743565865612908e-07,3.563289894820038e-08,0.00043008721731131527,1.0,5.737018467884651e-07,7.060583758547178e-08,1.2341003927784452e-08,0.00015749029561733208,1.0,1.5283690134685316e-06,3.252674998418741e-07,9.254277083979302e-08,0.0010863708124963106,1.0,6.424303116538989e-07,8.386539746151477e-08,1.7713739769125228e-08,0.00022557109322903515,1.0,8.485396918640336e-06,5.034198577477456e-06,1.7335960048902445e-06,0.021447490975958487,1.0,6.434585038026728e-07,7.159865190215476e-08,2.3607169810563744e-08,0.00017123675827919062,1.0,2.238694529644853e-06,9.918306961467008e-07,2.664366257270467e-07,0.0031412445918996136
99737.637975,1.0,9.971651447653778e-07,3.4431946395397214e-07,9.473475090410333e-08,0.0007951239689243298,1.0,1.1717584798989484e-06,2.6149226276466905e-07,3.5802158215420274e-08,0.00042832485367071333,1.0,6.247560304602525e-07,1.131913342897435e-07,1.3495628539996126e-08,0.00015723891329249838,1.0,1.267270291140556e-06,2.687228694459025e-07,8.872819540665515e-08,0.001079596685983595,1.0,7.1324519408869e-07,1.6590186284402948e-07,2.7077913596689085e-08,0.00022450231399172117,1.0,1.0982598543804876e-05,8.501933589210344e-06,1.8312728221683044e-06,0.021979543275915333,1.0,6.095072273682732e-07,9.035198190233054e-08,1.9578543692780124e-08,0.00017056490662081255,1.0,2.59811963749163e-06,1.6520369964965965e-06,3.8572796865103126e-07,0.003108256251701158
99737.9697114,1.0,1.2958395654024882e-06,4.1376504433513584e-07,1.0753733344196838e-07,0.000789031276653172,1.0,1.3698814731544442e-06,3.5087925030855786e-07,4.469518326690274e-08,0.00042634555915952593,1.0,5.025719571945591e-07,1.3167390809661795e-07,1.5304447086903075e-08,0.00015686497588955113,1.0,1.6239968796555515e-06,4.5556043198795055e-07,8.941592762676444e-08,0.0010728544688946222,1.0,6.206203346705795e-07,1.945585442995818e-07,3.277247418729773e-08,0.0002235814782001606,1.0,3.093015607143211e-05,1.0337610675612013e-05,2.1485589623289843e-06,0.022481981466897973,1.0,5.743791772630023e-07,1.3059323625076984e-07,1.86339469099769e-08,0.00016986080772010798,1.0,4.084092502832886e-06,1.9875302869010842e-06,4.5119441595784967e-07,0.003069426709049456
99738.0157706,1.0,2.985963580854448e-06,5.443302938368446e-07,1.1703783798011564e-07,0.0007818445599326447,1.0,1.7753987792958225e-06,3.4473207802564896e-07,5.458197330604725e-08,0.00042428654339282483,1.0,5.100841328045962e-07,9.913602235634983e-08,1.5123690172396008e-08,0.0001565941087727875,1.0,3.3882548229061965e-06,7.37725301058898e-07,1.3667524331549394e-07,0.0010667050418172196,1.0,7.929047568504433e-07,1.4804178217933133e-07,2.226032434387061e-08,0.0002230455810416226,1.0,7.535007644144558e-05,1.2153247546774653e-05,2.2436250849645134e-06,0.022581145910600717,1.0,7.835022665618536e-07,1.4943067404385817e-07,2.012680745554688e-08,0.0001696032535907325,1.0,9.68827053655573e-06,1.7337715615118714e-06,2.8691775869127873e-07,0.003052306831185328
99738.0749198,1.0,2.093880134525237e-06,4.0295558103848194e-07,1.4892617562811844e-07,0.000773549192263657,1.0,1.2463889136885124e-06,2.0583517332603514e-07,6.15745005305659e-08,0.0004203167471982624,1.0,5.590925486940063e-07,8.736590020038249e-08,1.592251284464481e-08,0.0001556943134023381,1.0,2.3228195469005536e-06,6.90063454576453e-07,1.6992717715957994e-07,0.0010526595299066301,1.0,7.413736324615953e-07,1.855280746512151e-07,2.5268529438613352e-08,0.0002212311426608007,1.0,5.043922169979379e-05,1.4254977375939868e-05,2.7950754387618254e-06,0.023825483527156674,1.0,7.079895819494759e-07,2.4205018985703505e-07,2.5604623654344455e-08,0.00016845545261249626,1.0,6.97830384121463e-06,2.5179476113385744e-06,2.6755778834819943e-07,0.0029915137384262844
99738.3235417,1.0,2.6425874895897862e-06,5.932032781237144e-07,1.2341566787783901e-07,0.0007667332313263785,1.0,1.047523330182773e-06,2.011644438492847e-07,5.233491704017137e-08,0.00041771551920600803,1.0,5.831752394490687e-07,1.3115357800322912e-07,1.4143800422808506e-08,0.00015512782842784596,1.0,1.843780562320893e-06,1.310329267632088e-06,1.3174322361014754e-07,0.001044527279169753,1.0,7.327020620420623e-07,3.925817261120779e-07,2.772634952194581e-08,0.00022030690376041766,1.0,3.757225867450698e-05,4.494625843757638e-05,3.832448162791026e-06,0.02503511765756569,1.0,6.083172875807047e-07,5.410430415939154e-07,3.1848324542213754e-08,0.00016796235624814756,1.0,5.680138408808994e-06,6.1626777134443825e-06,3.7412733150650673e-07,0.002946184333826156
99738.5708669,1.0,3.933678196174622e-06,6.361014730423375e-07,1.480731121362757e-07,0.0007640843106594794,1.0,1.4612659300330656e-06,2.7287390562630305e-07,6.349987282252899e-08,0.00041718578589098275,1.0,7.002579272941573e-07,1.8419856046866909e-07,1.8952163749063342e-08,0.00015509135604741385,1.0,2.7457618187238263e-06,1.1139752180089713e-06,1.786733969719171e-07,0.001044200051301167,1.0,8.323683248108849e-07,4.7197728710065417e-07,5.599921160420165e-08,0.00022028780536291977,1.0,6.066787175389657e-05,4.428568113458783e-05,6.2176316166276e-06,0.025523464222112338,1.0,7.598978971580717e-07,5.987966209628192e-07,6.769301425136004e-08,0.00016814818871592366,1.0,5.355799897360255e-06,6.1553828158994105e-06,8.523382191054754e-07,0.002932836594009296
