Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99660.4192748,1.0,5.390803556819628e-05,1.1341642991071483e-06,3.596010227730225e-07,0.001228404984867571,1.0,2.8464943422338983e-05,1.007614083808791e-06,1.163917567967583e-07,0.0005621742039772901,1.0,6.341127558853094e-06,2.6001839664162865e-07,2.4280642977632132e-08,0.0001779689055588547,1.0,8.773254762820309e-05,2.713336773146393e-06,3.1208411237751503e-07,0.002102880594099731,1.0,1.431953417754932e-05,6.217943791154628e-07,5.460693082543288e-08,0.0003075587308722841,1.0,0.00023560050653763425,9.230871459337711e-06,9.860809703131063e-07,0.00523995981383605,1.0,1.0143605334756366e-05,4.340138190032289e-07,4.105864684155871e-08,0.00019488304537966018,1.0,0.0010487972347781908,5.560310072588933e-05,3.637121725116411e-06,0.023730766118555884
99660.6667817,1.0,1.3323225062779883e-05,6.416537278708202e-07,2.611721751103567e-07,0.0011871294628880713,1.0,7.605863364191504e-06,4.7049815089793036e-07,1.0179544532659297e-07,0.0005417458659002182,1.0,2.1027751597972954e-06,9.877817412506694e-08,1.8008513552008814e-08,0.00017982378710924778,1.0,2.058834471966911e-05,1.0743641069447698e-06,3.1729572160393556e-07,0.0020108774666864494,1.0,4.049088047489021e-06,1.693449599619076e-07,4.610461614010729e-08,0.00029973567784199106,1.0,4.667673547211014e-05,3.119845053713409e-06,9.54688373698763e-07,0.005088831157876839,1.0,2.9479667458895307e-06,1.6038503995435107e-07,3.7578643216384265e-08,0.00018822614601664872,1.0,0.00023094869429934786,1.3095066550860386e-05,3.1734365974885814e-06,0.02273858023931732
99661.0701278,1.0,8.268561046310748e-06,7.198563425307738e-07,9.601223608219651e-08,0.001121445185711781,1.0,4.5991552632352845e-06,3.8927952215421205e-07,4.5430899216592653e-08,0.0005056647177179972,1.0,1.368088963575389e-06,1.0125169836361792e-07,9.439447916023258e-09,0.00017760185156885696,1.0,1.2499475251892451e-05,9.454661201371446e-07,1.522429039190227e-07,0.0018557791727248497,1.0,2.6321736133133783e-06,1.6086428208096576e-07,1.807132096709551e-08,0.0002834926169050474,1.0,2.684267283025054e-05,2.597610467918506e-06,4.941449097650274e-07,0.004771805674370203,1.0,1.8394807853720937e-06,1.2236990028994696e-07,1.8143153716190823e-08,0.00017489433257902878,1.0,0.00014096237065291302,1.1933663095743605e-05,1.4361851694159692e-06,0.020828910615376426
99661.5308179,1.0,1.064578088748689e-05,1.1896828923645998e-06,8.391562229183841e-08,0.0010953990280410239,1.0,5.385404235813272e-06,5.097877361096816e-07,3.256542332277621e-08,0.0004899125622596815,1.0,1.448037859794642e-06,1.5086506787693954e-07,1.5175518627715115e-08,0.00017417794778839003,1.0,1.8115467952571988e-05,1.4976687370569353e-06,1.348482971488845e-07,0.0017894619765119143,1.0,3.3524719533843123e-06,3.233905831366311e-07,2.0792595383364474e-08,0.00027533734810254604,1.0,4.539404703152437e-05,3.8098629595684075e-06,5.433258357543697e-07,0.004528196442988331,1.0,2.423362208592027e-06,1.973489899181742e-07,1.825519423210003e-08,0.00016811621914614497,1.0,0.00020515728307818947,2.4506917538895602e-05,1.7908468426464475e-06,0.020380935491820098
99661.8076709,1.0,2.729964485069755e-06,7.357041867327715e-07,1.2699931789856143e-07,0.0010852229887825646,1.0,1.9521370177728378e-06,3.489596242281881e-07,4.1197738696294896e-08,0.0004844771939763523,1.0,7.203800788675141e-07,1.2262013939442991e-07,2.0066311640885485e-08,0.00017218893094500735,1.0,7.167372942664235e-06,7.645990453691223e-07,1.5033312121468647e-07,0.0017666770032470928,1.0,1.6857897212928946e-06,2.0887596972011826e-07,2.6558978287930592e-08,0.00027221105082138655,1.0,1.9496102805456504e-05,1.4338145477738356e-06,4.6449083959982567e-07,0.004423621172187612,1.0,1.4946552607804743e-06,1.5357595443644849e-07,2.3130092137741267e-08,0.00016595795176252992,1.0,8.486190009363522e-05,1.0785448795461297e-05,1.8044177170403059e-06,0.020322116809589872
99661.8916807,1.0,7.669216292068293e-07,2.1832646110195727e-07,1.1278236733866775e-07,0.0010802189040217875,1.0,8.570590326212817e-07,1.579008677690276e-07,5.621038760190362e-08,0.0004816615832325729,1.0,5.333456547285634e-07,8.206978618623984e-08,1.882498641463223e-08,0.00017082886567222906,1.0,2.9909999546420902e-06,2.8570333272340853e-07,1.6093795265444674e-07,0.0017527669261069708,1.0,9.765946392345223e-07,1.1511513809119184e-07,3.193344575697127e-08,0.00027035109903750335,1.0,6.55461923043119e-06,4.403643346380483e-07,4.225685882170644e-07,0.004402001526130335,1.0,8.983798283065732e-07,1.1558336003616245e-07,2.722888287564224e-08,0.00016489134545512416,1.0,2.427279019833799e-05,2.979330707054216e-06,1.701970247315437e-06,0.01995962290574525
99661.9421402,1.0,8.627772728144343e-07,1.6104798755485643e-07,6.582588693561931e-08,0.0010859067234651465,1.0,5.663509826889691e-07,7.999990315262796e-08,3.262697528433e-08,0.00048198471461577603,1.0,3.8025003774198605e-07,4.70106212237512e-08,1.0580193789406346e-08,0.00016988943593140255,1.0,1.1079614450684502e-06,1.6705877256098995e-07,1.0303541423434092e-07,0.0017602347481042284,1.0,4.99406592692189e-07,7.14039486750778e-08,2.2267651819430287e-08,0.00026963938765612314,1.0,2.7135474308239706e-06,2.2764082146152097e-07,2.815623246066262e-07,0.004362888862423862,1.0,4.2737766315935993e-07,5.611489856283933e-08,1.6373877571095403e-08,0.00016466557107273542,1.0,1.4909712343673759e-05,3.538749259833372e-06,1.538517202392384e-06,0.020034134095560905
99662.154912,1.0,2.702668865298967e-06,3.0391808531651294e-07,1.351295561835474e-07,0.0010847975288352605,1.0,1.2564289206742874e-06,1.673929840544618e-07,3.707140975950649e-08,0.0004803793750594264,1.0,3.5753289299485085e-07,5.725190245547729e-08,8.963036121304702e-09,0.0001680889959049204,1.0,3.31844601457605e-06,3.2736792206834193e-07,1.7138294121905163e-07,0.0017606009231538608,1.0,6.023024694138985e-07,8.489651630552445e-08,1.694505639936416e-08,0.000268144924103994,1.0,1.0937492701281775e-05,8.692646217699297e-07,4.3022556234125587e-07,0.0042977307497730904,1.0,5.662349853536351e-07,7.783727784908979e-08,1.520251965075656e-08,0.00016389266943294992,1.0,4.5744656429384923e-05,7.423952565527225e-06,1.7445900755586137e-06,0.020230577061235825
99662.4027936,1.0,7.188978821270244e-06,1.1117269474800721e-06,1.7137555706279452e-07,0.0010672656474686089,1.0,2.949865402417142e-06,5.833996797220094e-07,6.413850555734541e-08,0.00047402721328587114,1.0,8.362404424873759e-07,1.7023693483694096e-07,1.3067082234692987e-08,0.00016494679160391292,1.0,8.31889338891696e-06,1.242975956852341e-06,2.85681776661961e-07,0.00172691722999591,1.0,1.5617134218872044e-06,2.497587745827104e-07,2.6284547962753306e-08,0.0002647187771871814,1.0,1.637252657147784e-05,2.673291566844306e-06,5.214529160511708e-07,0.004316868672777859,1.0,1.3524547053404976e-06,1.641424677898822e-07,2.0407285583231792e-08,0.00016223071610853046,1.0,7.41853218411162e-05,1.4300989960067123e-05,2.3934833185143894e-06,0.019430511461912443
99662.6523972,1.0,1.0758257735665906e-05,1.0914163055365217e-06,1.2752743131423517e-07,0.0010519322917674457,1.0,4.924672531899353e-06,4.920239394956649e-07,5.8038153889764534e-08,0.0004691062848878655,1.0,1.4373492421097737e-06,1.5055312012023553e-07,1.6803234559920396e-08,0.00016246712171444637,1.0,1.7309312227230798e-05,1.1847874306050786e-06,2.1163778331903238e-07,0.0017011622743677924,1.0,3.0321936478001894e-06,2.5248455606320894e-07,3.935735618097209e-08,0.00026198623385872283,1.0,3.7156903354457374e-05,2.1546923735132516e-06,6.179071248481483e-07,0.004354619518195189,1.0,2.5381322345986233e-06,1.58629065826153e-07,2.135068415700089e-08,0.00016089615063935158,1.0,0.00017061845634321063,1.3641814943948957e-05,2.564033535549304e-06,0.018650851051040886
99663.023754,1.0,1.4455627896557937e-05,4.907596448027044e-07,1.5477843895469513e-07,0.0010581734714451983,1.0,6.758657492077563e-06,2.148959363532814e-07,5.544080543859245e-08,0.00047002693386749377,1.0,1.6887818589437792e-06,6.058002032055242e-08,1.6468092220567547e-08,0.00016201572932690171,1.0,2.231407609435996e-05,4.871471834691697e-07,1.8657654814082721e-07,0.001708405588923386,1.0,3.43129231105214e-06,1.3619634178931586e-07,3.572502144836362e-08,0.00026184726469171847,1.0,5.459774656895662e-05,1.547217806483002e-06,5.723062950928442e-07,0.004294909856275063,1.0,2.512628099484089e-06,1.2210525145202147e-07,2.5240147700137956e-08,0.00016066755664332052,1.0,0.00022602252670908706,7.994941550100365e-06,2.1734497344470945e-06,0.018826387511926383
99663.493397,1.0,9.971758425562941e-06,5.224644574504667e-07,2.1229356827738418e-07,0.0010568496434685065,1.0,4.387402007950173e-06,3.1682267501043514e-07,7.316444702344983e-08,0.00046937615927171433,1.0,9.955603409545527e-07,1.0753541422786926e-07,2.2627170375156096e-08,0.00016168706754908317,1.0,1.509676523533725e-05,6.139757217908271e-07,2.3935565875042584e-07,0.0017010530199273986,1.0,2.0666776325313592e-06,2.52341393858256e-07,4.9514999463226966e-08,0.0002614447284393883,1.0,4.530461152580875e-05,2.225136368606159e-06,5.877293609269689e-07,0.00430205715254294,1.0,1.4670939322983217e-06,1.6660635771816247e-07,3.3656877685833285e-08,0.0001606313240771627,1.0,0.00016432665647848237,1.6085482874455755e-05,3.820476231718954e-06,0.018541865453501512
99663.8186844,1.0,2.082491458218341e-06,8.347368644919228e-07,1.8664075705999738e-07,0.001059605355928333,1.0,7.75589148199689e-07,4.305169223332348e-07,6.715947302522519e-08,0.0004709236106334779,1.0,3.779762312256849e-07,1.272513533118e-07,1.8953817677158673e-08,0.00016192758197047078,1.0,3.1600229792909963e-06,1.2855781614422324e-06,2.08192137839797e-07,0.0017056465620052237,1.0,4.002382738515376e-07,2.7149159632561537e-07,4.147029183211179e-08,0.0002619377777868121,1.0,1.6485653368553714e-05,3.614800125762596e-06,5.828596996368828e-07,0.004299253529538595,1.0,2.5880530871942923e-07,1.3606962275805796e-07,3.8205454853220976e-08,0.00016105650817369564,1.0,4.602593911549004e-05,1.662276573045114e-05,3.1949878030172704e-06,0.018666925568795033
99663.8682886,1.0,5.7455197699879194e-06,2.784385615242116e-06,1.7284345073877989e-07,0.001055574812577862,1.0,3.909445965867837e-06,1.516979600158861e-06,6.931969432505129e-08,0.00047230931364390666,1.0,1.3257787116227012e-06,3.0491212209375153e-07,1.797401437223562e-08,0.00016279575976815966,1.0,8.757766730406947e-06,4.568119174252454e-06,2.8911689828504534e-07,0.0017066754154070793,1.0,1.7322479570978718e-06,6.614721659347351e-07,3.7742753607751903e-08,0.00026253295996392064,1.0,2.345372211248535e-05,1.2222936015362502e-05,8.187570410237759e-07,0.004311536756600026,1.0,1.0938328451634524e-06,4.816821824750688e-07,4.382430593524161e-08,0.00016128592705043284,1.0,8.018702305204828e-05,4.7276531618982206e-05,2.6233143658334786e-06,0.018731303122783437
99663.9407732,1.0,3.858166700560726e-06,2.7098195457086823e-06,1.0737188595382186e-07,0.0010529368515928897,1.0,3.165240188137432e-06,1.5165328777116965e-06,3.044506653749751e-08,0.00047277829049785383,1.0,1.4001413680312459e-06,2.6570891318749195e-07,1.0434359453403276e-08,0.00016394192315173363,1.0,4.910046360688598e-06,3.3184994851512083e-06,1.4358659282715955e-07,0.0017059488058587895,1.0,1.664312169401256e-06,5.073630088813087e-07,1.994282616854384e-08,0.00026289047194586146,1.0,8.238605981228561e-06,8.438039541035737e-06,4.4452438070639294e-07,0.0043549095635311095,1.0,1.1036918198807529e-06,4.5605249893481226e-07,2.0202504763094473e-08,0.00016145832558148773,1.0,4.5908555766200566e-05,3.701633245029481e-05,1.5351654297590633e-06,0.018442150266511227
99664.1390274,1.0,2.272274546985095e-06,1.1270616351351374e-06,1.077523741853456e-07,0.0010538709945988754,1.0,1.4988960078718535e-06,4.986155486758863e-07,3.291806795521124e-08,0.0004711198139466362,1.0,8.585976376409629e-07,1.2890634003179483e-07,1.1552021245051145e-08,0.00016421136311108213,1.0,3.6080163896049036e-06,1.060225165718452e-06,1.2312074539364743e-07,0.0017037958975649684,1.0,8.934180685169083e-07,1.531699463205365e-07,2.2347318645229333e-08,0.0002618790538367423,1.0,1.2997925781489089e-05,1.963990990358843e-06,3.9172192074876404e-07,0.004402489663666975,1.0,7.601853505323026e-07,1.006827660614481e-07,1.7938405586547375e-08,0.0001613855953653302,1.0,3.9074078041557475e-05,7.810668008507164e-06,1.5818533229324254e-06,0.017724526320207934
99664.3872672,1.0,2.544554434605318e-06,3.7495268153798296e-07,1.4459830903010952e-07,0.0010535269878552645,1.0,9.397751482354197e-07,2.1950812353498024e-07,5.393787440514886e-08,0.00046956477710662846,1.0,4.381509997527326e-07,8.137113565020152e-08,1.4586146438450241e-08,0.0001641724763260693,1.0,3.5474052688708678e-06,5.026493885149545e-07,1.6485388525088563e-07,0.0016940563586668512,1.0,5.20542344766025e-07,8.582267779580796e-08,3.281516785100902e-08,0.00026079612446836063,1.0,1.4098328412370545e-05,1.3217166412485662e-06,5.17456501918889e-07,0.0044952901071924215,1.0,5.663934123962158e-07,6.902261225176636e-08,2.6709884669469826e-08,0.00016115702154288468,1.0,3.419970355235996e-05,3.9942150100784546e-06,2.1114344747880563e-06,0.016875203084849705
99664.6347229,1.0,1.5841546808420242e-05,2.689386980672208e-07,1.080508988569828e-07,0.0010519433602363079,1.0,5.412533714787804e-06,1.0606757723521809e-07,5.393343165467595e-08,0.000470330779072511,1.0,1.204164419483977e-06,4.225395740247444e-08,1.5674572072598693e-08,0.00016442002957830777,1.0,1.7153330214205077e-05,5.653627401918022e-07,1.6721588974688575e-07,0.0016888900350930914,1.0,2.144864073294547e-06,8.013198028937194e-08,3.642853433449374e-08,0.00026135083199338427,1.0,3.57091235050901e-05,2.408352476092137e-06,6.373218244358574e-07,0.004539461000657207,1.0,2.2563087455601943e-06,5.9311657728182137e-08,2.5833552254167278e-08,0.00016177783998089156,1.0,0.00010421893496785017,3.850282168542343e-06,2.3726840243155725e-06,0.01667526400940702
99664.9428451,1.0,2.5910645341706805e-05,1.0161352869800732e-06,1.2338345277385352e-07,0.0010280506175362797,1.0,8.447398816570064e-06,2.994124158189344e-07,4.4036646335890636e-08,0.0004657871258190556,1.0,1.7914063803053145e-06,6.323778570908417e-08,1.4326982878677219e-08,0.00016385103477441212,1.0,2.392336395974634e-05,1.561187205925595e-06,1.580280084465251e-07,0.001659061149538022,1.0,2.9738424037493006e-06,1.0440002474980881e-07,2.8422252926355398e-08,0.0002601068549550673,1.0,4.37121388985064e-05,3.788839232797996e-06,5.673928638985475e-07,0.004662339514885377,1.0,2.9860583123253725e-06,1.6120408170706257e-07,2.145458609147967e-08,0.00016116266466766684,1.0,0.00012603081407986373,4.859042851469097e-06,1.55228197063277e-06,0.015928305244632256
99665.4280027,1.0,1.2703961980895077e-05,1.4746221055872065e-06,1.1993988569994478e-07,0.0010288255622650907,1.0,5.907747224748881e-06,5.868006776316456e-07,4.949003771034959e-08,0.0004663584421120794,1.0,1.5908794642577844e-06,1.3772080769959612e-07,1.9176638784979086e-08,0.00016398052034654104,1.0,1.4644120212063586e-05,2.4414413989071313e-06,1.5027594902790292e-07,0.0016596865196340873,1.0,2.718307573430975e-06,2.1059600980750567e-07,2.806124258191678e-08,0.0002598559057659595,1.0,2.9784933846417378e-05,4.162456459212846e-06,3.6556240925898684e-07,0.0046716231374855045,1.0,2.3137151716415394e-06,2.6909815363692205e-07,1.8893561305689697e-08,0.00016103841038596047,1.0,0.00011522431310992643,7.962260351578908e-06,1.2303830240622749e-06,0.015781314270403933
99665.8389025,1.0,7.338371395578549e-06,3.818517248137752e-07,1.4571253647645253e-07,0.0010370942946376185,1.0,4.09760819069e-06,2.166975842005036e-07,8.147658103234107e-08,0.0004686776447472254,1.0,1.0893795570827218e-06,9.45962860155413e-08,2.9226522567709513e-08,0.00016430443571414412,1.0,9.502723606669597e-06,5.967307815333822e-07,1.8203549237719768e-07,0.001671603267119622,1.0,2.0317311569234784e-06,1.3339399750207648e-07,4.9973531696999e-08,0.0002605404833902146,1.0,2.601965750257475e-05,1.0469015234601492e-06,4.6447820558275844e-07,0.0046297013142985845,1.0,1.5618387675730256e-06,1.2044634777775868e-07,2.4740522544674666e-08,0.000161649773430974,1.0,0.00010039606978365705,4.570153326341982e-06,2.2002618443283002e-06,0.015986340963105517
