Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99698.38835,1.0,6.745288377737003e-07,9.894340675618746e-08,1.0308276346662158e-07,0.0009465524639994432,1.0,4.209838189292401e-07,1.3364219793620106e-07,4.987506431423274e-08,0.00046953515464027355,1.0,3.093046533000343e-07,7.895092969048289e-08,1.8462047292212148e-08,0.00016534928379355706,1.0,9.156448334726672e-07,1.0226821767716985e-07,1.265197325943762e-07,0.001368130190107031,1.0,3.357634452306035e-07,8.038720750488832e-08,3.600405588156942e-08,0.00025420515723775626,1.0,4.57168338107764e-06,7.934566963686212e-07,8.119042618879161e-07,0.00887497786136216,1.0,4.2523702866640575e-07,5.8662170068839546e-08,2.801254050709322e-08,0.0001734592622876089,1.0,2.9048811352351865e-06,7.222329826365975e-07,8.371777595349854e-07,0.006171205672162835
99698.6348729,1.0,1.0585442467366018e-06,3.8915778151914133e-07,1.2330297402573258e-07,0.0009446754386800326,1.0,8.265150669533407e-07,1.7907219457295658e-07,5.180982126812085e-08,0.00046947257483791145,1.0,3.6818563887219493e-07,1.0362428782775618e-07,1.879532252661305e-08,0.00016540052390115587,1.0,1.9693394526231625e-06,3.208905916241799e-07,1.329469262700221e-07,0.0013673628749186861,1.0,5.119951524981739e-07,1.0610843363528697e-07,2.5523127619918563e-08,0.0002540242532785777,1.0,1.9282315584672956e-05,1.106332624402417e-06,7.423479984525934e-07,0.00887805056998842,1.0,4.0465417840644625e-07,6.067361608392182e-08,2.6616395542293556e-08,0.00017330465805805796,1.0,1.0497780623217323e-05,1.2358048353676372e-06,6.090330932290109e-07,0.006164909522345434
99698.9535529,1.0,4.588094627536223e-06,5.316719908914438e-07,1.1990069078483457e-07,0.0009433239308108647,1.0,2.664769550825833e-06,3.3389220584944973e-07,4.2078310283938276e-08,0.00046905094453296686,1.0,8.297649570598627e-07,8.545957163938485e-08,1.8939782950979778e-08,0.00016515559583616917,1.0,6.333775055740758e-06,5.703049688627541e-07,1.0958506600634623e-07,0.001368210744336552,1.0,1.1969527784689475e-06,1.3631604720915027e-07,2.428706131851968e-08,0.00025354758499642594,1.0,5.061446615468437e-05,2.812393253797619e-06,6.209367349885613e-07,0.008953825224704419,1.0,1.0008636212820026e-06,8.644023367279776e-08,2.963492443826449e-08,0.00017318065593308117,1.0,2.6053714866661244e-05,2.4955610899244696e-06,7.653406661567183e-07,0.006093806061334451
99699.4185302,1.0,4.778242299054393e-06,4.827855994513295e-07,1.6285196955890035e-07,0.0009388317403245114,1.0,2.9080805301984315e-06,3.428521056106943e-07,7.556944223528714e-08,0.00046742639716960537,1.0,9.985596235537434e-07,9.653816542052797e-08,2.069467853047001e-08,0.00016488594803781473,1.0,7.834017454226683e-06,4.6921636511009947e-07,1.772995238251668e-07,0.00135876873481654,1.0,1.651326494015578e-06,1.6557979709310592e-07,3.505223196420074e-08,0.00025267405757383154,1.0,6.0080043305770266e-05,3.701284991946705e-06,1.0712116773747116e-06,0.009039869798877574,1.0,1.4938279998000927e-06,1.039375476298146e-07,3.6033911670022985e-08,0.00017260974312665806,1.0,3.3677321619460755e-05,3.10977862181109e-06,9.986417534581258e-07,0.006015540766551584
99699.8976369,1.0,3.5385473994554727e-06,8.866492573257308e-07,2.1803468880955723e-07,0.0009388575803027869,1.0,3.1363169507881644e-06,3.676055970073707e-07,8.250436604907115e-08,0.0004682273897994155,1.0,1.0442517948092167e-06,1.1111822277839955e-07,2.00256738351904e-08,0.0001653861274447404,1.0,9.611791478115068e-06,5.701562335896473e-07,2.0170834938674052e-07,0.0013603905595755087,1.0,2.119408443058751e-06,1.54665308437149e-07,3.3187584974587995e-08,0.00025344825829451916,1.0,7.340424273497001e-05,3.820208129980514e-06,9.390001146725016e-07,0.0089655045024526,1.0,1.9930335935007223e-06,9.294415869156294e-08,3.332610364652482e-08,0.00017324189389117533,1.0,4.20992118119154e-05,2.4515381069649498e-06,6.248337208285162e-07,0.006075965699215833
99699.9398536,1.0,1.6607392716878904e-06,4.74705332764397e-07,1.670887034721755e-07,0.0009484024909033707,1.0,1.5490953964855247e-06,2.862023343419045e-07,6.366728552455584e-08,0.00047224729405292244,1.0,6.746141129986032e-07,9.236690091310126e-08,1.765316482770729e-08,0.0001663253228993245,1.0,4.505891877487114e-06,5.42879043729676e-07,1.5794204104138215e-07,0.0013740401252005383,1.0,1.3028900237050736e-06,1.5637329378304667e-07,3.260523119846805e-08,0.0002552002075346763,1.0,2.9543661902060568e-05,3.5805862934802997e-06,8.818151886021341e-07,0.008812751030840948,1.0,1.2486044307785766e-06,1.245912604417125e-07,3.016254848345278e-08,0.00017453029161770348,1.0,1.9503444019199415e-05,2.6664673204956886e-06,7.278490443710892e-07,0.0061746836146843505
99699.9842202,1.0,1.2651699567640778e-06,3.459483306807516e-07,1.8892672713919986e-07,0.0009464849845729894,1.0,9.474141891463045e-07,2.5605748591585497e-07,9.05129429295187e-08,0.00047101344204870726,1.0,5.318999062033969e-07,7.817047883990292e-08,1.5320458104176673e-08,0.00016598586089820646,1.0,2.1275108490152587e-06,7.948990396298246e-07,2.1924715939445334e-07,0.001371578047534027,1.0,8.427587775826587e-07,2.0630057449531335e-07,4.437719529495673e-08,0.00025477360750784093,1.0,1.0749792454006902e-05,6.471765460319099e-06,1.712796759034918e-06,0.008802299825337364,1.0,8.494393226088715e-07,2.0852803981756576e-07,4.498893524519984e-08,0.0001743353362091289,1.0,8.540208733362818e-06,5.556272501310011e-06,1.4377401100180442e-06,0.006140253452348399
99700.1234074,1.0,1.5623862946627513e-06,3.659815797603394e-07,1.7015973739204513e-07,0.00094687721312366,1.0,1.212714051601487e-06,3.4555282987028767e-07,7.177878694572043e-08,0.0004723744700047396,1.0,5.6953053846755e-07,1.1924223391245714e-07,1.3684800483417415e-08,0.0001661050797040526,1.0,2.2009908783725466e-06,5.860616192715476e-07,1.790632925699353e-07,0.0013780148621381917,1.0,8.424187395026069e-07,2.058976103354844e-07,3.684305950516494e-08,0.0002551606063989371,1.0,9.091628673492992e-06,3.982417694787209e-06,1.4411592776428729e-06,0.008769040524058568,1.0,1.0022433676867222e-06,2.1874441726037512e-07,3.683028775446475e-08,0.00017488474807889954,1.0,9.20148432331398e-06,4.5669760520564476e-06,1.0096150536518574e-06,0.006165226019142976
99700.3707934,1.0,2.5974742505261363e-06,7.565848766325301e-07,1.8159153516443163e-07,0.000948995192435134,1.0,2.1085134579083876e-06,6.416424352674035e-07,7.676515632784721e-08,0.00047415099329045906,1.0,7.149313742929269e-07,1.8902909738088128e-07,1.8775231660533768e-08,0.0001666946551582649,1.0,3.371500585563408e-06,1.0049800470992844e-06,1.9889899281257468e-07,0.0013830560130597017,1.0,1.1482332806324387e-06,3.1938701396319443e-07,3.738250487076115e-08,0.0002559344740656018,1.0,1.505034688178649e-05,5.361843903751869e-06,1.2742570959202966e-06,0.008754901138189441,1.0,1.16899484237952e-06,2.2216842166163075e-07,2.8058790638960074e-08,0.00017544491088691757,1.0,1.4469078588136192e-05,6.409837835097307e-06,8.128771533999545e-07,0.006197382357658354
99700.619287,1.0,1.8126631145821887e-06,3.3536783677776455e-07,1.3076216037082553e-07,0.0009460453510748793,1.0,1.313290391596877e-06,2.830162589901787e-07,7.280030232084379e-08,0.00047222890312094846,1.0,5.494772552225259e-07,1.1084010880656697e-07,1.6516811693146113e-08,0.0001662047256019435,1.0,2.1465316997977018e-06,4.663366849595422e-07,2.4372821206044776e-07,0.0013750966825438102,1.0,7.223008967579011e-07,1.7911785206448202e-07,3.079885729873748e-08,0.000254808980800673,1.0,1.2288723596453143e-05,3.2408801000024894e-06,1.379876898253438e-06,0.008759682168916165,1.0,7.346823830910115e-07,1.1672595436750442e-07,2.2902344012686707e-08,0.00017478504975208193,1.0,8.173742549314498e-06,3.3296903721543373e-06,6.040824937936172e-07,0.006142314073965158
