Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
99721.3948779,1.0,2.8403781880667238e-06,6.662319733205951e-07,1.1507400117323885e-07,0.0009217380870779848,1.0,1.5849281273176913e-06,3.0182053385609314e-07,6.987296439368157e-08,0.0004790140625725599,1.0,1.1279405800070993e-06,1.2834705389187554e-07,4.501387492502894e-08,0.00017031274212441473,1.0,2.9950245535518184e-06,6.892974186381463e-07,1.4912802706492664e-07,0.0012936764874817925,1.0,9.981848094472979e-07,1.4122555657302986e-07,4.423532465495483e-08,0.00025360972425223784,1.0,3.503191290991506e-05,6.559403864052984e-06,1.9452116525414344e-06,0.013349543223467333,1.0,9.570504117545375e-07,2.3352981116633348e-07,3.4280403849118587e-08,0.00018435532393586504,1.0,1.147268416838826e-05,2.2280807716965246e-06,6.95926945540944e-07,0.004404170360837631
99721.8623416,1.0,1.296976232527176e-06,8.768008238059022e-07,1.3349732024002943e-07,0.0009016787676889342,1.0,9.237948080285869e-07,5.920170519069307e-07,5.359415260136562e-08,0.0004653804236593366,1.0,5.080275603401663e-07,1.4869049677106165e-07,2.3275679213545976e-08,0.0001653534467006528,1.0,1.5641817563151052e-06,1.234580930084575e-06,1.3476273402004312e-07,0.0012585478213104151,1.0,6.479033071273978e-07,3.1852786777786474e-07,3.6973258733382823e-08,0.00024606236482840806,1.0,2.119461996917974e-05,1.116855770095283e-05,1.5926208805473664e-06,0.01275250328613498,1.0,7.308740171238612e-07,4.3055466132857183e-07,2.8475376375245435e-08,0.0001788759753771409,1.0,6.114125834000751e-06,4.401033320701827e-06,5.758657469383389e-07,0.004282636976310429
99721.9665713,1.0,1.1058573758828653e-06,7.573854842044471e-07,1.7816557150149956e-07,0.0008916776048564151,1.0,9.562081797142556e-07,5.974683975118103e-07,5.5581763881807834e-08,0.0004587232494387595,1.0,3.935282405353936e-07,1.9876828684466618e-07,1.619102826999856e-08,0.00016324729426850802,1.0,1.415141500025201e-06,1.0374674005782496e-06,1.342064696234836e-07,0.0012428065330892875,1.0,6.074346198507534e-07,2.961492556872007e-07,3.2732491951322105e-08,0.00024209613382890244,1.0,1.6336082862137156e-05,8.952866102469762e-06,1.4718276993295657e-06,0.012403260920515063,1.0,6.602338882946391e-07,3.4483423026196393e-07,2.2400643607158387e-08,0.00017638588968529702,1.0,5.629303837897575e-06,3.0726525181565712e-06,5.02057992559488e-07,0.0042309038281602195
99722.00977,1.0,9.97242305698479e-07,4.0658972418759704e-07,2.2868480008088109e-07,0.0008841179147008012,1.0,9.792344749803165e-07,3.032639283978956e-07,7.874471710948356e-08,0.00045333814672594857,1.0,5.636437652986876e-07,1.2809441621952294e-07,2.2041085684756373e-08,0.00016179451091617624,1.0,1.2606413686238505e-06,4.56484094234322e-07,1.8803263461519193e-07,0.0012311177103648675,1.0,7.717186312119624e-07,1.1983988890670214e-07,4.0050924416510394e-08,0.0002392810946471889,1.0,4.223955802273163e-06,5.1170199855466304e-06,2.0036197061297446e-06,0.012341902986567945,1.0,7.026803481588563e-07,1.5497342328534443e-07,2.999076872057151e-08,0.00017466367807455286,1.0,4.116403653556461e-06,9.66642199196612e-07,6.865540093861413e-07,0.004162958170451628
99722.151042,1.0,3.3646961383085007e-06,9.585976054834327e-07,4.32352754080383e-07,0.0008740955211448578,1.0,1.6836427401711126e-06,4.0225939670520584e-07,1.2395263206197045e-07,0.00044761891676179294,1.0,7.939014283658793e-07,9.753615693616739e-08,2.970361829886231e-08,0.00016063204443349366,1.0,3.083398003244522e-06,5.620748081335523e-07,3.016527446966563e-07,0.0012134000705148187,1.0,1.0675720856605265e-06,1.2302667643452684e-07,5.080005705417179e-08,0.0002371659109893862,1.0,2.4676274809332136e-05,5.1968915654696696e-06,2.975239179539568e-06,0.012741826249745802,1.0,8.995463108720159e-07,1.1655932900068654e-07,4.287161908143645e-08,0.0001733083872228152,1.0,8.890445499453377e-06,1.432151486114181e-06,8.078354004616372e-07,0.00405266830892314
99722.3993297,1.0,4.199768535748081e-06,1.6294307068965935e-06,3.078874663689403e-07,0.0008731802972364052,1.0,1.7251780287929153e-06,7.492502179393557e-07,7.696281401036556e-08,0.0004467049650860008,1.0,5.607687760284406e-07,1.7364497885977488e-07,1.8909423907127976e-08,0.00016054969214160958,1.0,3.533372363222183e-06,1.3825061989883739e-06,2.0358342338248803e-07,0.0012098267074878032,1.0,7.39851611558805e-07,2.825215009874409e-07,3.747994411377862e-08,0.00023698761465032887,1.0,3.958673726040252e-05,1.3884390726972911e-05,2.0201805862724975e-06,0.013091322665984263,1.0,5.790388686578415e-07,2.448826458801257e-07,2.9154656407911792e-08,0.00017343467799703198,1.0,9.520175860944419e-06,3.716150920565718e-06,6.094718875605586e-07,0.004013902261085597
99722.647475,1.0,1.5336794564872979e-06,8.04077033771203e-07,1.3872925826342884e-07,0.0008648620095349869,1.0,9.856305043327237e-07,4.714945454388038e-07,3.468795648566157e-08,0.00044329053733061543,1.0,2.5143534832115206e-07,1.1315177571874103e-07,1.6032736694695935e-08,0.00016008143424539004,1.0,1.5760817271544386e-06,9.474265507461603e-07,1.1631640063142333e-07,0.0011890014649630792,1.0,3.054877911872352e-07,1.9485447803794037e-07,2.6521262289931762e-08,0.00023566094396455293,1.0,3.202102062894866e-05,1.0616871124319697e-05,1.3173989135082313e-06,0.014016589559386441,1.0,2.920313019135263e-07,2.0699365488707388e-07,2.1763114082717357e-08,0.00017265192202556303,1.0,5.225930264875738e-06,2.592104289230392e-06,3.970988132741919e-07,0.0038747831216685144
99722.8950889,1.0,2.4469898643153653e-06,3.3630347928382733e-07,1.354934955500439e-07,0.0008556446208333006,1.0,1.8006238479840189e-06,3.3895836645140293e-07,4.790434295369553e-08,0.0004386521410051966,1.0,5.8364176708145e-07,1.0784975496057037e-07,2.0469643687155418e-08,0.00015916104291395516,1.0,4.587708464328714e-06,6.700341635823499e-07,1.481737896249622e-07,0.0011713011840059438,1.0,9.726322679834453e-07,1.876853247119215e-07,3.173974333307289e-08,0.00023385287310946255,1.0,8.822458052975194e-05,9.102019957437094e-06,2.4626322387496455e-06,0.014615018216519018,1.0,1.1520317878265449e-06,2.1813463471132759e-07,3.4384938672891755e-08,0.00017142116015059393,1.0,1.5044831594953374e-05,2.4405726310932316e-06,5.791518228486507e-07,0.00376398858408416
99723.3338714,1.0,2.8080500309341364e-06,5.244050999083241e-07,1.0708848164410597e-07,0.0008464147241516406,1.0,2.0963897102034045e-06,5.954412697342877e-07,4.036731512434753e-08,0.00043448731459145705,1.0,6.186216442009197e-07,1.5056871808621722e-07,1.7983523726364522e-08,0.00015800503613554303,1.0,5.463240963176702e-06,1.0356793334886029e-06,1.326835992533135e-07,0.0011575401326629005,1.0,1.138575423622937e-06,2.675162037057006e-07,2.2133913196548543e-08,0.0002322196461338038,1.0,9.933758159538016e-05,1.6074341864173867e-05,2.341650832707908e-06,0.015264787486818662,1.0,1.284235401227254e-06,2.6563519637895045e-07,2.6747712134273608e-08,0.0001706210451049777,1.0,1.8413915867244455e-05,3.785556450638529e-06,4.0168622524412353e-07,0.0036812665835255433
99723.7993004,1.0,9.401050704374128e-07,3.3679866645616714e-07,1.1133643935134936e-07,0.0008488283206816987,1.0,9.210450245870621e-07,2.9518753300058025e-07,3.0805131244343875e-08,0.0004348167127412117,1.0,3.6818805599907446e-07,7.587675867594081e-08,1.5279018987251628e-08,0.0001580073917748869,1.0,1.5070669045552076e-06,5.927988996714218e-07,7.363963893248325e-08,0.0011617988089563248,1.0,5.137069598858624e-07,1.4510558976536404e-07,1.7492284756548494e-08,0.0002322777490466779,1.0,2.494726482257491e-05,9.814986583344566e-06,1.3322933358739735e-06,0.015031751818282918,1.0,4.1924532315433594e-07,1.1423143211731816e-07,1.9492252454458797e-08,0.00017074952125768002,1.0,4.864760105743191e-06,1.8417861794064352e-06,2.2999356027918598e-07,0.0036934277495936987
99723.9489956,1.0,1.4770069546971975e-06,1.8857776831929403e-07,1.0751840778359687e-07,0.0008533927289172751,1.0,9.910313460094204e-07,1.5590016828510212e-07,3.451364121820998e-08,0.0004356232776210559,1.0,5.103116766978024e-07,6.325159416973927e-08,1.2631737227382543e-08,0.00015831903089239612,1.0,1.602848332658886e-06,4.648871863743047e-07,5.453058843785465e-08,0.0011659686037243644,1.0,6.279775332711138e-07,1.3644839132080512e-07,2.5356205886608697e-08,0.00023249148219418265,1.0,1.4884063624108362e-05,9.086446384928557e-06,1.2899754233379742e-06,0.014896784544107514,1.0,5.611562512989828e-07,1.0067794325583583e-07,2.3670039296804446e-08,0.00017064971014771883,1.0,2.8040655532043537e-06,1.7014023735588706e-06,4.211145908645979e-07,0.0036911945019135876
99724.0037177,1.0,1.7767506678148272e-06,1.771062445845514e-07,6.488535350426412e-08,0.0008449578535472866,1.0,1.1293964751279324e-06,1.2575638554598497e-07,2.4420913477772474e-08,0.0004319022485083447,1.0,6.205388292173138e-07,5.32792127043937e-08,1.221611486147731e-08,0.00015776662637360196,1.0,1.9673960963101172e-06,2.2780181010126333e-07,5.086327665247633e-08,0.0011506171354120182,1.0,8.019739382095985e-07,6.713569168370617e-08,2.5034392781163427e-08,0.0002312152102850883,1.0,1.7199282359847593e-05,5.324937946270058e-06,1.1955574714427338e-06,0.015523845653660887,1.0,7.735236937464689e-07,6.414799124623526e-08,1.9680723953123785e-08,0.00016976381166849332,1.0,4.536199423153712e-06,1.0026113198191008e-06,3.987645961011381e-07,0.00361792468677855
99724.134861,1.0,1.2275966652944814e-06,1.2878741267128532e-07,8.429608964382984e-08,0.00083938722209629,1.0,1.0268698093588575e-06,9.169875150997125e-08,3.39743782537358e-08,0.0004299001000949913,1.0,6.245549819434586e-07,6.389664578326001e-08,1.759126683297927e-08,0.00015716989025073774,1.0,1.4077284674035054e-06,9.168277296453358e-08,8.930864092476548e-08,0.0011406038610842935,1.0,8.642855300669108e-07,6.559146143268267e-08,1.8647811941429428e-08,0.0002301051303852527,1.0,1.2758595215604373e-05,1.5236316831527998e-06,7.700123601952669e-07,0.015924911565451574,1.0,7.805895177898233e-07,5.8984923162884496e-08,1.393042912011219e-08,0.00016945290288900632,1.0,4.921297330555526e-06,5.515864128565365e-07,2.0822653883679194e-07,0.0035698298261320647
