Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
107059.2238019,1.0,8.401710231157441e-07,3.6616396747173365e-07,2.845916935373376e-07,0.0015976983517184632,1.0,3.5762972045419754e-07,1.2146974351799912e-07,5.845311254376208e-08,0.00023642950506102119,1.0,4.2306381866669986e-07,2.4036705307715356e-07,7.910449215345969e-08,0.0003653559316667679,1.0,8.616058690587532e-07,2.2145056752011333e-07,1.1093755358704464e-07,0.002435128036349106,1.0,9.796568637473e-07,5.76231854408866e-07,2.2403635565045087e-07,0.001576234910005572,1.0,9.618119147665333e-06,6.2412158661744255e-06,4.25852212193349e-06,0.340324289949778,0.2557220699831397,0.0008733034904201555,0.0004527319703726241,0.0001405840788852557,1.0,1.0,8.171596852285696e-06,2.8668864162524017e-06,7.745896385909663e-07,0.01843321206864546
107059.5475623,1.0,1.2909369233047968e-06,3.953403401475542e-07,3.5391872967492065e-07,0.0016007544864640037,1.0,6.915490942119381e-07,1.0443230763779076e-07,4.76004987046987e-08,0.0002368923693360906,1.0,7.174001616142042e-07,1.3656248738906542e-07,7.31420162512282e-08,0.0003656294763606556,1.0,6.62336377698352e-07,2.2952081059160257e-07,1.2028027281107915e-07,0.002437894049110598,1.0,1.3895721339409488e-06,5.395608203718775e-07,2.1850933490718174e-07,0.0015816644453112607,1.0,9.725225080847872e-06,5.90351583786651e-06,5.952164022403056e-06,0.3398406426702273,0.27208221932762694,0.000738446494233531,0.0001382187230967117,0.0001094722418154123,1.0,1.0,3.6167028201612527e-06,1.4752352767656057e-06,6.261455779081509e-07,0.01845299071800509
107059.82358,1.0,1.9738250944942203e-06,7.732268780308083e-07,3.483044467694074e-07,0.001598162871279953,1.0,8.231916966849686e-07,2.0696264340486918e-07,4.335659255605675e-08,0.00023725225669713083,1.0,8.123253517652447e-07,1.7636087642995834e-07,6.570549627214027e-08,0.0003654263528980915,1.0,4.608793442819353e-07,4.156392879131555e-07,1.2322209028303426e-07,0.0024472720390666205,1.0,1.2746087803486965e-06,5.535603081466401e-07,2.459970474333351e-07,0.0015826708910646082,1.0,5.854489426128316e-06,7.002194314572531e-06,3.1397842043679476e-06,0.3445367705632725,0.25580067380713056,0.0007836889725525099,0.0003621694957992799,0.00016408286127226243,1.0,1.0,3.075737359232988e-06,1.4683859259936424e-06,7.035284375519898e-07,0.018589649206937623
107060.0273193,1.0,4.5814775405867596e-06,1.6319585736674213e-06,3.452130136389358e-07,0.0015893209652703664,1.0,1.1815269757051138e-06,3.4596585014021524e-07,4.434963058562934e-08,0.00023670090631358154,1.0,1.5019729426270958e-06,2.9327790973082355e-07,6.127273088997661e-08,0.0003648628101386156,1.0,1.7398944166340843e-06,4.29266431701782e-07,1.1626874575549123e-07,0.0024643558784514527,1.0,2.461727850782813e-06,9.101512054504775e-07,2.2893661770527983e-07,0.0015730103522313,1.0,2.2526947859293754e-05,8.23779303236783e-06,3.6047466228504354e-06,0.35476551896383623,0.1815954127307643,0.0020975406169681334,0.0005395714506261576,0.00020975565343910017,1.0,1.0,1.4858399990155503e-05,2.4392760161902156e-06,1.139665547442526e-06,0.018888642000332315
107060.173451,1.0,1.2643314352674492e-05,2.058656533073406e-06,4.838251337040693e-07,0.0015626866287916704,1.0,2.083357223912354e-06,4.831817804823286e-07,4.4997614048294596e-08,0.00023555036697633192,1.0,2.21653160935633e-06,4.7287180464828885e-07,4.44008539154429e-08,0.0003626997922971936,1.0,3.0802518070308635e-06,4.783000909434931e-07,1.6993954461169923e-07,0.0025017060311275643,1.0,2.9875927464761847e-06,1.3353458974463454e-06,1.6276568748224264e-07,0.0015570108303723535,1.0,4.429420408244754e-05,1.0724346458444623e-05,7.987584978922937e-06,0.37349184384399153,0.057146903598863805,0.002273151536790986,0.001032939068403812,0.00021887745470966334,1.0,1.0,1.929741681002338e-05,5.193351585328939e-06,1.2303694663190442e-06,0.01950694043964462
107060.4214144,1.0,7.846594428881484e-06,9.161276155544955e-07,3.985479563311616e-07,0.0015586817821215061,1.0,1.1266788551262503e-06,1.9947475131954302e-07,3.572440822108905e-08,0.00023573002702393983,1.0,9.219532819767087e-07,2.611282796600757e-07,3.3901820817472904e-08,0.00036282029818398095,1.0,1.8990740983960629e-06,2.3404653046283134e-07,1.1093855544864975e-07,0.0025211742010932937,1.0,1.0704889360364352e-06,7.710695994608133e-07,1.0847923724106493e-07,0.0015548836351941021,1.0,2.5070656760411272e-05,6.139205114316553e-06,4.146452411296203e-06,0.380818586310932,0.015272059322953342,0.001198435607894626,0.0006727252199903698,0.00017178657227968292,1.0,1.0,8.585740679299362e-06,4.987463612061653e-06,8.592396375950407e-07,0.019813555137468346
107060.6694135,1.0,5.55017355493506e-07,2.6213230313333005e-07,3.3744251818132806e-07,0.0015671836196127322,1.0,5.628313250970917e-07,5.759249784704378e-08,2.4078087665890462e-08,0.00023617340129183806,1.0,6.38231478719343e-07,1.5456653168708047e-07,4.445001433798997e-08,0.00036277323348599615,1.0,8.253159379995179e-07,2.0471990222437046e-07,6.77871026279367e-08,0.002518008317392352,1.0,1.4276393902847401e-06,4.5984386688158857e-07,1.2469749699107164e-07,0.0015515490261550306,1.0,1.386442658993068e-05,6.403224605235063e-06,3.026186877124856e-06,0.3813047634132323,0.013735178669631308,0.001477763641558115,0.0006319851138564428,0.00018534686101009257,1.0,1.0,9.455869124536797e-06,5.432979480497212e-06,1.0270872672065333e-06,0.019940988840362422
107060.9176315,1.0,8.337327721540026e-07,4.2912156988931497e-07,2.539770754775389e-07,0.001562036205646235,1.0,7.611401789257561e-07,6.681117157343295e-08,2.5989848144456927e-08,0.00023620036475106924,1.0,8.426397494251112e-07,1.142228386681638e-07,5.836140873837562e-08,0.0003620668046354666,1.0,5.465758224086536e-07,1.955482290586582e-07,6.538252579710846e-08,0.0025403049985796016,1.0,2.2035863879925187e-06,3.8158113206695566e-07,1.3748577571063054e-07,0.0015472367674722843,1.0,1.426893686692769e-05,5.695750117812405e-06,4.571962353312381e-06,0.39120276591755304,0.012178349585385165,0.0017991884678664322,0.000589719915877551,0.00015166368807807397,1.0,1.0,1.0921505508520993e-05,4.798555501941677e-06,1.1915054603516083e-06,0.020270458181747334
107061.1653754,1.0,4.586241690810738e-06,5.857337174793074e-07,2.1785768364415435e-07,0.0015595150953412304,1.0,1.345050128672188e-06,1.0144367692186757e-07,4.369649951840578e-08,0.00023619783375056937,1.0,1.1649245274904848e-06,1.620297260881632e-07,5.936369136481269e-08,0.00036210939954670496,1.0,1.200472257250927e-06,3.331031123072773e-07,1.096415927468253e-07,0.002564152644420504,1.0,2.5320443697171963e-06,6.029438014050511e-07,1.8937120899386978e-07,0.0015409822490754191,1.0,2.8158614945927178e-05,1.4167741230883804e-05,7.29973237422471e-06,0.4040644826058479,0.024120703176346348,0.0016631981810992739,0.0006598669314238715,0.00017860452619739735,1.0,1.0,1.0209790841819698e-05,4.351628767566669e-06,1.0468462945175575e-06,0.02069102205012366
107061.4261727,1.0,1.5479493393444155e-05,5.365753384467379e-07,2.5046748357400487e-07,0.0015485088079334277,1.0,2.7323357692282255e-06,1.6670318597759687e-07,5.4337500546312964e-08,0.00023519449835162091,1.0,2.5535450150599883e-06,2.505062084487172e-07,4.6533541017938094e-08,0.00035968037310479253,1.0,3.1018344325352376e-06,5.506157106642669e-07,1.46062719519502e-07,0.0025719419897775276,1.0,3.909250447277646e-06,9.439854910353415e-07,2.4132884524324144e-07,0.001530095946598024,1.0,3.951017585418106e-05,1.668489017681342e-05,5.568562561957257e-06,0.40771261920987195,0.0360705622471207,0.0027663927674057035,0.0009708749513057342,0.0002734530056565013,1.0,1.0,1.970705828764452e-05,4.784021977803301e-06,1.1133587443391292e-06,0.020886788325834914
