Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
107089.5239491,1.0,1.018915771438375e-06,3.094527975919639e-07,1.8845914477715167e-07,0.000819868931968421,1.0,7.558131184547066e-07,6.107974704233773e-08,2.7501972440153843e-08,0.00017551626061290565,1.0,5.766806241111058e-07,1.6053238381856172e-07,6.696685319423577e-08,0.00024637591969855604,1.0,3.553138069265063e-07,8.852196453882901e-07,3.049822270429863e-07,0.00286963379644375,1.0,6.517640752230413e-07,4.292780474892e-07,2.2022490146276963e-07,0.0009231656826454199,0.03538122249975023,8.802581289055786e-06,1.5793185849415717e-05,1.103276155526514e-05,1.0,1.0,1.58068202607928e-05,1.2819239147542175e-05,4.118849881418332e-06,0.02483435249074386,1.0,2.617699845871277e-05,6.7818341942532605e-06,6.3146245454959345e-06,0.07010027984002137
107089.749274,1.0,2.2797675771806634e-06,3.0676988611952746e-07,2.6370877941347547e-07,0.0007937604167224237,1.0,7.628876418300808e-07,9.60248425101145e-08,3.2897853714782415e-08,0.0001726878201273668,1.0,5.002477474782923e-07,2.3670247927685694e-07,7.163695161510327e-08,0.00024200283603314883,1.0,1.215155216987607e-06,1.0660585249921214e-06,3.451703701208978e-07,0.002810790984406374,1.0,7.170778611106797e-07,7.611994234178867e-07,2.934788122956915e-07,0.0009031534065843337,0.03199293566280404,3.275270607653281e-05,3.186728816255086e-05,1.9486451538800897e-05,1.0,1.0,4.096591408418626e-05,1.6607738259647224e-05,7.03540735830202e-06,0.023855018720674217,1.0,1.953196280493124e-05,6.155200219797978e-06,9.66937825763732e-06,0.06949744288733924
107090.0567998,1.0,1.8329633069301512e-06,4.08328573424272e-07,2.4449682037967464e-07,0.0007933036268618732,1.0,5.407613230674992e-07,1.0139744748564017e-07,3.259033970926923e-08,0.00017300569185585185,1.0,4.613301075050407e-07,1.5117066617681313e-07,6.769242997535819e-08,0.00024249961660559378,1.0,2.1864990306048724e-06,9.772889692348526e-07,3.462959031384434e-07,0.0027960251575680144,1.0,6.273252154688743e-07,5.317963411455028e-07,2.9819836491580843e-07,0.0009038792883512427,0.034724848111035815,3.2243580359231534e-05,4.544820129591451e-05,2.3457766461164996e-05,1.0,1.0,3.866871792140308e-05,1.6077526214493324e-05,6.403875434792502e-06,0.024136141130331343,1.0,1.4572512376181405e-05,1.2421290349839122e-05,7.642465364154756e-06,0.06847783115204162
107090.2453109,1.0,7.96974844246339e-07,5.60503677709904e-07,2.405675285624709e-07,0.0008458414187094996,1.0,4.879810510162278e-07,1.3168266227978096e-07,3.0799082906959605e-08,0.00017914691750279123,1.0,6.766961362609647e-07,1.7487282690586758e-07,5.800661214103344e-08,0.0002518820709962111,1.0,2.4241560527462918e-06,5.434518355811138e-07,2.985817276251896e-07,0.002950403175558652,1.0,9.97840519159356e-07,4.1856335706680926e-07,1.732387858154692e-07,0.0009424581004700845,0.03172388445025828,1.641331369642985e-05,1.4441769774944761e-05,1.122455842180339e-05,1.0,1.0,3.190700462200365e-05,9.350176180413601e-06,3.848675428670357e-06,0.024432499778621487,1.0,1.6308765202342595e-05,1.566297975642698e-05,4.576512483727984e-06,0.07368067313199204
107090.4942698,1.0,1.7561748263371324e-06,1.4328717061544422e-06,2.0666954480430802e-07,0.0009490731988046572,1.0,6.987760061116533e-07,2.390817764375092e-07,2.8752393801592026e-08,0.00019100091691372863,1.0,7.28304777226296e-07,3.827497535573704e-07,4.541423129421855e-08,0.00026840018719558495,1.0,2.7163247830414893e-06,1.3051464476516788e-06,2.2574102517945144e-07,0.0032182549175778,1.0,1.2817778680654739e-06,9.86966989475256e-07,9.493641996251441e-08,0.0010118726947241211,0.02977586264368318,2.421225048170592e-05,3.48532972193346e-05,1.4832281072009381e-05,1.0,1.0,5.7526245072504124e-05,4.3756578778172015e-05,3.170192531526781e-06,0.026085101977306405,1.0,1.6737702358127098e-05,2.981609332691112e-05,3.060634385184726e-06,0.0797120221871798
107090.7417824,1.0,1.6418897547783231e-06,1.0870992118490755e-06,2.439665214396428e-07,0.0009867839718734094,1.0,8.333535057953974e-07,2.5370573451364337e-07,3.478857467334073e-08,0.00019424627414738337,1.0,7.601280787877309e-07,3.132440460256965e-07,5.1865828191649814e-08,0.00027176361829322863,1.0,2.163674722835566e-06,1.109605042463106e-06,2.1981681671194073e-07,0.003288336856875104,1.0,1.4400193798722145e-06,8.658910861218908e-07,1.6953369739091322e-07,0.0010266275323480502,0.030356326187897877,2.0106064299687523e-05,3.5308759637576896e-05,1.5168069199186469e-05,1.0,1.0,5.076970725990953e-05,4.907187652686987e-05,4.8290868709875075e-06,0.026598870016235274,1.0,2.3374756805028395e-05,2.850004264392897e-05,4.550287211458553e-06,0.08025685051000005
107090.9893081,1.0,2.0791351266712807e-06,6.679425102636022e-07,1.8514335491253193e-07,0.0009161770267805503,1.0,8.536385923160263e-07,1.7044846882449488e-07,2.8107921745553458e-08,0.0001861611419176501,1.0,6.62689928530121e-07,1.7210353372661003e-07,5.120474746373126e-08,0.0002596535569711604,1.0,1.9242509339560407e-06,6.92477904282792e-07,1.4807477688951384e-07,0.0030926201133347733,1.0,1.1314572381263578e-06,4.328907710981504e-07,1.8397758895320307e-07,0.00098199052247689,0.03493584927069525,3.30613410242243e-05,2.412970071153039e-05,6.944686700964419e-06,1.0,1.0,4.804335713222145e-05,2.7544333893575243e-05,6.848963153526768e-06,0.025911992456752558,1.0,3.290928766913025e-05,1.2714385339188545e-05,5.425332705138961e-06,0.07519416547956911
107091.237443,1.0,7.535970583247621e-06,1.6196537506306546e-06,1.385047227869467e-07,0.0008452987753280003,1.0,1.2429069406160926e-06,2.1723790239703017e-07,1.475173432832911e-08,0.00017787623591193792,1.0,4.628698697809051e-07,1.3025612421457126e-07,3.638015527911383e-08,0.00024775355896703913,1.0,4.221329754856385e-06,1.2080043924216816e-06,8.510772763852291e-08,0.002853278229672678,1.0,1.7657751267184841e-06,7.886222428822308e-07,1.5998216899963012e-07,0.0009344883552462479,0.04843274568762185,0.00010656667140839537,4.351785270488106e-05,5.904374074557718e-06,1.0,1.0,0.00013149565836369893,4.059395355941451e-05,7.0581188033374706e-06,0.026084342265474025,1.0,7.995762922966442e-05,1.934480098211908e-05,6.023615202733837e-06,0.06710927559242642
107091.4987507,1.0,4.640160467915452e-06,9.060188479975408e-07,1.8920481799001836e-07,0.0009096502338639075,1.0,1.0794692277463382e-06,1.348898943076973e-07,2.1696417576939735e-08,0.00018356676064846142,1.0,5.600680314904624e-07,1.2731641125313652e-07,4.2824826394056355e-08,0.0002552279120623065,1.0,1.5210721240644035e-06,6.920290967170958e-07,8.674478995203724e-08,0.0029071282627266006,1.0,1.4696792976491204e-06,1.204794093030293e-06,1.879541698441344e-07,0.0009710913385895898,0.0625103897078383,5.45512808188574e-05,3.230832987964692e-05,9.077645370401388e-06,1.0,1.0,6.871220919155107e-05,3.961812747854099e-05,4.617021858855383e-06,0.028448764121151503,1.0,5.107773917249046e-05,2.2368280932904367e-05,5.772982279023965e-06,0.06773944816495965
107091.7577696,1.0,1.6178942116110524e-06,6.922499870038384e-07,2.5370472877351806e-07,0.0010133258547172315,1.0,6.923452733808462e-07,1.1876863252650874e-07,3.084136556440494e-08,0.00019466677519094038,1.0,5.261248041569821e-07,1.3352144631783466e-07,4.341817932116561e-08,0.0002701391257801027,1.0,3.514902875680131e-07,3.386562399758932e-07,1.376458050175735e-07,0.003169976371773331,1.0,9.487567176746402e-07,7.197163119414503e-07,1.5543437954050547e-07,0.0010373274923496526,0.05475712055204104,2.6111506961431383e-05,2.6264132807583264e-05,1.8319878563850795e-05,1.0,1.0,1.674642060860364e-05,1.8460869288836128e-05,2.620680919100651e-06,0.029152158877642186,1.0,1.957429133364592e-05,1.1947261445179585e-05,4.225383859672252e-06,0.07623394121242184
