Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
107081.9805952,1.0,1.9286039293108105e-06,5.50688475509432e-07,1.7245153606638359e-07,0.001231762347971062,1.0,5.363640762059406e-07,1.3626863925351392e-07,4.601374423653677e-08,0.0002185417757658043,1.0,4.672382990075585e-07,1.045870062841975e-07,6.756736839290064e-08,0.0003143443457012741,1.0,2.0721249101393737e-06,1.965643721583863e-07,2.098390813661815e-07,0.0031542584852499523,1.0,1.0550142885718212e-06,4.844141205155853e-07,2.6646876050712813e-07,0.0012676809114371634,0.4030092166684453,4.4971889384889534e-05,9.684000373124048e-06,1.3061463325397799e-05,1.0,1.0,5.00876947472724e-05,3.2554891435212736e-05,1.666651339094544e-05,0.07677563373249474,1.0,1.1224852254709165e-05,8.197252645136363e-06,5.069774961459793e-06,0.046055089611608084
107082.1737998,1.0,2.9078695383441338e-06,6.689526597447206e-07,2.0825887785096137e-07,0.0012345747648782053,1.0,4.382271215959535e-07,1.1324512090169687e-07,3.511766323248013e-08,0.00021779749151166724,1.0,3.2914796163403753e-07,1.1192340754943508e-07,5.4334508142821665e-08,0.00031238283096068247,1.0,2.248620998958135e-06,1.4482651156523036e-07,1.4767968015684193e-07,0.0031436413915611585,1.0,7.136486603230092e-07,4.98840443515894e-07,1.7653375993828728e-07,0.001256830248038353,0.3900859531049674,4.067967097575265e-05,1.758050486464676e-05,1.5748369889473433e-05,1.0,1.0,7.701240222517415e-05,4.4069260500724664e-05,8.336521799068336e-06,0.07243697575566974,1.0,3.0399451890643815e-06,9.235030848090298e-06,3.545026676142539e-06,0.047402035220510015
107082.4216396,1.0,8.867916027368137e-06,8.350339869080485e-07,3.2710787824909053e-07,0.00122337267293083,1.0,1.19807710212831e-06,1.6560832786291477e-07,4.347111459933905e-08,0.00021640087512818422,1.0,1.0776729700250627e-06,1.7498188761011747e-07,4.829265699694851e-08,0.0003093090993049962,1.0,3.028099441874054e-06,2.627596597431227e-07,2.0137573652466508e-07,0.0031557939553931544,1.0,1.4390776675530629e-06,3.364722365749118e-07,1.8412562258987758e-07,0.0012417216600055345,0.3543944866637583,3.601093953045719e-05,1.8787645953341694e-05,1.643470384342376e-05,1.0,1.0,8.874033030822223e-05,2.0611893963065476e-05,8.203932967198976e-06,0.06581042520563897,1.0,1.002239288885127e-05,5.940958697255032e-06,3.175315678760734e-06,0.04899198790925405
107082.6696607,1.0,1.1515325048933886e-05,7.404804680536396e-07,2.403293558148524e-07,0.0012159798257543417,1.0,2.123735658546025e-06,1.9399791963269424e-07,3.4901226737256606e-08,0.00021591670472217558,1.0,2.045211164194055e-06,1.810326997127109e-07,5.658383800972904e-08,0.0003091416394730339,1.0,3.86553030715103e-06,4.6923996407306767e-07,3.1084510536666684e-07,0.003156226299632799,1.0,3.0119097917982493e-06,7.394937251268261e-08,2.1624394940684892e-07,0.0012423950971640048,0.33551476829978477,4.4621108703490164e-05,1.4488317817827114e-05,1.6542183551070463e-05,1.0,1.0,0.0001264162312275883,6.6828257896486376e-06,1.2128607406977973e-05,0.066469181403935,1.0,1.833398743503167e-05,2.0521661944951585e-06,4.19496055338426e-06,0.04910734439254991
107082.9176723,1.0,2.5123753089856144e-06,3.6973174280686604e-07,1.6059001009838573e-07,0.0012273049655178157,1.0,8.685188523838687e-07,6.468852928654952e-08,2.0907311002060133e-08,0.00021649305933412404,1.0,9.235132374468531e-07,9.648084913013243e-08,4.976924779930556e-08,0.0003101568704610172,1.0,1.3202504308681428e-06,2.83344962249936e-07,3.4608817266543383e-07,0.0031414437359171725,1.0,1.3271784975822153e-06,1.0304535897014218e-07,2.9032563884229807e-07,0.0012520543714498959,0.3436685441302136,2.3124948376783437e-05,2.2075441872433562e-05,2.681392529883978e-05,1.0,1.0,5.681047128217559e-05,6.862393622368952e-06,1.5167816356833632e-05,0.06958763949498559,1.0,6.3355567979341256e-06,2.09963991526045e-06,5.695622268401395e-06,0.04832279337888322
107083.167858,1.0,6.492868295625146e-07,4.4414283956950766e-07,1.735420728207936e-07,0.001225469419676644,1.0,5.478550569846114e-07,1.0322444121607174e-07,2.425637819220241e-08,0.00021586745990227207,1.0,6.29550990813967e-07,1.2637352527808527e-07,5.1215877258834876e-08,0.0003089623692016318,1.0,6.150299339667669e-07,2.802453062363531e-07,2.6285951837151184e-07,0.0031474697518146222,1.0,9.055784708959172e-07,3.1465402698544085e-07,2.745316877247611e-07,0.001246902359015618,0.33459059844080163,1.2215267407709656e-05,1.2105871402270947e-05,1.8180053830369238e-05,1.0,1.0,5.0062571631181466e-05,1.749261122785977e-05,1.0280273389356431e-05,0.06724848350849527,1.0,7.645852313181382e-06,2.5796192632940402e-06,4.953597824113187e-06,0.04876856072629708
107083.4833681,1.0,2.728384445718377e-06,7.592649873203371e-07,3.33139273128279e-07,0.001233045260850945,1.0,1.012589276339914e-06,2.5682648336550367e-07,3.6840826376770144e-08,0.00021723974373982565,1.0,1.0538303042873515e-06,2.0486156837198354e-07,3.603959473544799e-08,0.00031104735547378567,1.0,1.2144920156464629e-06,1.0815567362066277e-06,2.8522020724087274e-07,0.00313549778482434,1.0,1.6982427830083276e-06,6.062262044153448e-07,1.7198796811852427e-07,0.0012548912339352028,0.33763009453758513,2.6759597105926443e-05,2.1948029210401612e-05,1.4575547298120925e-05,1.0,1.0,0.0001434382675242912,6.419860850219298e-05,1.3225820494452982e-05,0.06991405888914788,1.0,1.6286136426328587e-05,5.43496480489601e-06,3.838178041510065e-06,0.04833047787712276
107083.7215404,1.0,6.708088159948699e-06,1.3366944843803703e-06,3.576158345121287e-07,0.0012192085371485004,1.0,1.3020771528689284e-06,3.215256089807968e-07,5.010416998780697e-08,0.00021735286894473577,1.0,1.2408457007913825e-06,1.9083183381225158e-07,5.698845983892021e-08,0.00031158564072094355,1.0,3.4018745036846977e-06,8.952974759907933e-07,2.786968077088374e-07,0.0031320106002280077,1.0,1.7992265919047736e-06,4.0131499851080455e-07,1.8545636700171527e-07,0.0012580386164874214,0.340428698902878,6.707135299168522e-05,1.626011434469588e-05,1.4924050587698018e-05,1.0,1.0,0.00018654789684730897,7.241379997134245e-05,2.3404240988352224e-05,0.07083219115419084,1.0,2.8006308002123496e-05,1.1467307091270772e-05,3.926624568190019e-06,0.04798287763722082
107083.993703,1.0,3.6182489996969526e-06,1.0786221421644294e-06,2.4884477904996046e-07,0.0011991149595052492,1.0,9.327973939335742e-07,2.123370666562568e-07,3.920280689613073e-08,0.00021561181177401784,1.0,7.791964661067812e-07,1.4819681948935173e-07,6.67968867022991e-08,0.0003095147030946735,1.0,2.2397017123271544e-06,3.0988188965842633e-07,2.1770098692454586e-07,0.003146403791555897,1.0,1.4803639692820771e-06,1.3613697597890463e-07,1.8370650017128327e-07,0.0012415415539974001,0.3243398967954696,3.512106418410249e-05,8.972557953945937e-06,1.5746399916008435e-05,1.0,1.0,6.213265035953e-05,2.4157378122782257e-05,1.4270165906915956e-05,0.06530185918767811,1.0,2.1706089954302882e-05,6.930282846224995e-06,3.2239737780351882e-06,0.049073673251039736
107084.1577398,1.0,5.529809435680048e-06,6.062067115906454e-07,2.480368828265873e-07,0.0011784241962202546,1.0,1.2746306019302266e-06,3.137073908439014e-07,7.036501479063848e-08,0.00021327888056688388,1.0,1.2115003012571659e-06,2.9255766900818317e-07,1.0825217250642743e-07,0.0003060999105490317,1.0,7.594841146229127e-07,3.7151561298267495e-07,2.760634487353445e-07,0.003178885291540661,1.0,1.3546696906738635e-06,3.704368043417014e-07,2.545848126486574e-07,0.0012153962230343023,0.2849278591401784,3.591143282761043e-05,1.0375158494232253e-05,1.7456846644885483e-05,1.0,1.0,6.522299485317256e-05,1.3742428471911266e-05,1.0174135082659721e-05,0.05890443631457827,1.0,1.111313279134638e-05,5.370556437851714e-06,4.322089384596743e-06,0.050561998205156014
