Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
107028.8610069,1.0,9.802566976202658e-06,1.8362989702512126e-06,6.179973394076074e-07,0.0034027673036637245,1.0,1.263901113755917e-06,3.152692309095504e-07,7.941018065051271e-08,0.00035155309060979034,1.0,1.8041867221205562e-06,4.722523636250296e-07,1.5718744342419673e-07,0.0006175223906698404,1.0,1.4687193585923601e-06,2.5346630524703154e-07,2.4392074847484094e-07,0.0018627116308506703,1.0,6.615622166270942e-06,1.386940246647994e-06,6.992263015612869e-07,0.003526098659674606,1.0,6.708731653161253e-06,2.4681225614076233e-06,3.0684546041557884e-06,0.09093187659738197,1.0,5.244393779681813e-05,1.4613997830393965e-05,5.3522902786997865e-06,0.014476331027308413,1.0,4.252799101703726e-06,5.993249164120387e-07,6.927196375040526e-07,0.007276120353724733
107029.1667514,1.0,3.927370338439933e-06,1.20221035341048e-06,4.936711350223708e-07,0.0033241991046215093,1.0,7.494836876511757e-07,2.1042466328426706e-07,6.227237998781095e-08,0.0003321628579252406,1.0,6.161217895115669e-07,2.596244393857169e-07,1.0536996195442595e-07,0.0005772061444992625,1.0,1.1679781852721096e-06,1.939611609279674e-07,1.0984042593033951e-07,0.0019209273053191881,1.0,1.7429654360129203e-06,6.369226699842065e-07,5.198105506392319e-07,0.0032696549409547246,1.0,5.350001519710523e-06,2.891191878112384e-06,2.1948248866933037e-06,0.09230565049444638,1.0,1.8976004231990398e-05,6.278601444711591e-06,3.973500517095841e-06,0.014217466014186254,1.0,2.5268779756204035e-06,4.6528784343598524e-07,4.5912305138117335e-07,0.007165869452611207
107029.4235283,1.0,2.9576262135672173e-06,2.273773009764465e-06,5.429615435626547e-07,0.003242443527937123,1.0,7.915227165751919e-07,4.119576996498864e-07,6.071538594100116e-08,0.000319912760145337,1.0,1.0235603849016385e-06,5.207261825013392e-07,9.080312804444841e-08,0.0005516202256999049,1.0,1.034367428437499e-06,4.579631468666443e-07,1.5861558326653363e-07,0.0019195829989732817,1.0,2.0392184267979415e-06,1.1811912394189352e-06,4.905066428135367e-07,0.0031058392552564475,1.0,8.227812305025523e-06,4.371286123365439e-06,1.9460973934101504e-06,0.09082900984284635,1.0,1.340585965589982e-05,5.141693676573571e-06,4.182177223067266e-06,0.014028272635214516,1.0,2.6212051754769243e-06,8.663160760732904e-07,4.5143750540586444e-07,0.007007617790954772
107029.684916,1.0,1.7977358773554006e-06,1.3533920881688458e-06,4.0068107795715274e-07,0.0030847810401864214,1.0,5.291391230500532e-07,1.940773156191785e-07,3.66572135926658e-08,0.0003066112164107253,1.0,8.176149770158376e-07,3.0880421457986827e-07,8.777211124371253e-08,0.0005278756905865231,1.0,2.1066663812289564e-06,9.501343509559177e-07,2.2599257384803056e-07,0.0018567646346076363,1.0,1.6951102330687507e-06,1.5921838173405793e-06,5.764746931066875e-07,0.0029528288424894634,1.0,1.838172763889895e-05,7.503852777981779e-06,1.931232053027364e-06,0.08865218662629146,1.0,2.465326950239731e-05,8.456531027452356e-06,3.5620037947475828e-06,0.013967905439849172,1.0,4.6999315504936466e-06,1.286136848543112e-06,4.045795271124086e-07,0.006839584565484757
107029.9302651,1.0,3.857968427694643e-06,1.4051308389164193e-06,2.4358765629042636e-07,0.0029603606667721306,1.0,7.097530835394038e-07,1.2346285870261286e-07,2.2467842643342404e-08,0.00029695679934722857,1.0,6.230016634732319e-07,1.4761871143364093e-07,9.121849267534394e-08,0.0005116881235417872,1.0,2.313078070211307e-06,5.582586579529741e-07,1.5540460343855948e-07,0.0017931051119146801,1.0,2.212437240249115e-06,1.1753266683692688e-06,5.30258199760818e-07,0.0028339407153738804,1.0,1.9429230222934422e-05,4.2041928503663685e-06,2.0121878453485607e-06,0.08673956969833867,1.0,3.43841172318011e-05,9.724854225231997e-06,2.1973444329771316e-06,0.014124426681896986,1.0,5.073547501435204e-06,1.149292279127286e-06,4.3451520577007336e-07,0.00671802015480771
107030.1016619,1.0,5.415219801187644e-06,1.808311047030422e-06,2.7135684817885346e-07,0.002951074030958471,1.0,6.988097749937941e-07,1.7488031697591226e-07,2.2812955410289375e-08,0.00029466647030153986,1.0,6.050673832831512e-07,2.31730585831526e-07,6.317498965685928e-08,0.0005070968623612878,1.0,1.3626590136165258e-06,2.3254621326944857e-07,8.904115749110087e-08,0.0017646589401725617,1.0,1.7784507073079069e-06,6.596907289852075e-07,3.331775576284094e-07,0.0028137685500038384,1.0,8.503989881070365e-06,2.0561963535329075e-06,1.0472889566754023e-06,0.08497451057233346,1.0,2.086898020475057e-05,5.104665186808484e-06,1.7296829365763668e-06,0.013886176690681259,1.0,3.6153843039660462e-06,8.203492571560395e-07,4.1277119470222224e-07,0.006634914990667888
107030.3490474,1.0,8.073335787851504e-06,2.041235466442927e-06,4.150882668885991e-07,0.0028249721254414227,1.0,1.0203400858899068e-06,2.3659074907045765e-07,2.9729180287966902e-08,0.0002889816142290623,1.0,9.337827266322768e-07,3.899469937407973e-07,4.8118025038336386e-08,0.0004964911690232201,1.0,8.023100882044006e-07,1.5487305669898957e-07,1.5474651813157836e-07,0.001753688761681353,1.0,1.065105515658796e-06,8.298458898954858e-07,3.1362286898464705e-07,0.0027317569106242016,1.0,5.169130496318725e-06,2.332243813973078e-06,1.1165302906151837e-06,0.08643633979319854,1.0,5.314186204971594e-06,6.2161000667037875e-06,2.320132797721354e-06,0.014545642583432232,1.0,1.5144164816202736e-06,8.924094219169955e-07,3.4008572871202467e-07,0.0067064907285009565
107030.597887,1.0,5.332393722780178e-06,1.3767709919673493e-06,4.622355379071817e-07,0.0027731230530902715,1.0,8.146016267582776e-07,3.8231485284960164e-07,7.146429036295459e-08,0.00028548443226016713,1.0,7.951957924482352e-07,3.2588295092376567e-07,7.289252465661538e-08,0.0004900644679919148,1.0,6.022203063524924e-07,1.908870137881081e-07,1.877086582621441e-07,0.0017273061926870634,1.0,1.3235495978087883e-06,1.6019951758445448e-06,4.683367968428705e-07,0.002675197806938183,1.0,3.63053564645167e-06,2.345066708315337e-06,1.5023984001641284e-06,0.086414539994779,1.0,1.018309537834094e-05,1.60133088738519e-05,4.0025758789322855e-06,0.014923180656710928,1.0,1.8436394541885794e-06,1.8670149655346604e-06,4.0682123789278265e-07,0.0067124500157559955
107030.845339,1.0,2.092211661297037e-06,1.0851260688943075e-06,4.362565954798625e-07,0.0026862882461905248,1.0,2.788552236991255e-07,1.935892208745849e-07,7.531521755114507e-08,0.0002814226685561228,1.0,4.0083716233605477e-07,1.6026013119549394e-07,8.8013864326912e-08,0.00048378334777862274,1.0,4.941728437642279e-07,1.8003593573882424e-07,1.9184486473670396e-07,0.0016461979056677713,1.0,1.5588427658804728e-06,9.121362567792409e-07,3.612375414527749e-07,0.002628851221426644,1.0,2.567032987256297e-06,1.2120184201261614e-06,1.831359439032592e-06,0.0838462409764398,1.0,1.536360027210942e-05,7.771807082101397e-06,3.0377204449552077e-06,0.0151497785988276,1.0,2.658742810601301e-06,1.2010217903310798e-06,3.503608831588747e-07,0.006680553872884816
107031.0933425,1.0,2.4067569315906057e-06,1.1791776664824875e-06,4.092462816658305e-07,0.002606907123732264,1.0,4.683255977986229e-07,1.1088027777200742e-07,5.808833654197836e-08,0.0002780562715959685,1.0,4.386674636932198e-07,2.3415146858107373e-07,1.0678762535655789e-07,0.0004780014077449845,1.0,6.876910995671178e-07,2.945232901077241e-07,1.8970585370817827e-07,0.0016048809728653802,1.0,1.8391640268263946e-06,1.7592812890717797e-06,4.834234884010655e-07,0.0025845866034564847,1.0,2.8837391340008922e-06,2.317842844145986e-06,1.8374313234134995e-06,0.08408356255978275,1.0,1.2795909355064946e-05,9.951650189400777e-06,2.9584076913212105e-06,0.015639020961408682,1.0,2.710089191630718e-06,2.1144599369578856e-06,4.0449286175925497e-07,0.006713327385769146
