Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
107097.0772795,1.0,1.0909091188554642e-06,9.518263956368336e-07,1.3021282946047908e-07,0.0009881741433352285,1.0,7.920226379463127e-07,4.1687189868656843e-07,2.4819839670478966e-08,0.0001985142692052733,1.0,7.949824524431888e-07,4.0982792044242244e-07,2.4921219952322166e-08,0.00027758073191253485,1.0,7.12117745624928e-07,9.062171036870529e-07,1.3782268562425288e-07,0.003475612830040091,1.0,1.0532728398094359e-06,7.325044359369045e-07,8.738980236655245e-08,0.001067596275644767,0.007478653608910671,1.8982272048166372e-05,8.674033031653683e-06,8.544493629264473e-06,1.0,1.0,1.5804316256206383e-05,1.7241454450032747e-05,2.8824523332233055e-06,0.02311998790535174,1.0,2.538191634307947e-05,1.0958111362971768e-05,4.97512252579649e-06,0.10575870047692801
107097.328789,1.0,1.3356001530104327e-06,7.001756777751035e-07,1.880727495637054e-07,0.0009898433586783993,1.0,5.20776685516199e-07,2.7034364047483263e-07,2.3325175834360337e-08,0.00019847386072962907,1.0,5.724199173201015e-07,2.55213085290134e-07,3.2435915970507636e-08,0.0002766144605762824,1.0,9.158175933226911e-07,5.25350153146929e-07,1.509811569137691e-07,0.003520770588083236,1.0,7.086642643952763e-07,4.3864528427098857e-07,7.885123712062311e-08,0.0010594692754803212,0.005643238819309535,2.7803268704022318e-05,1.2486532781046174e-05,1.2590231988109181e-05,1.0,1.0,1.367441046242916e-05,1.2858443890853153e-05,2.7767548433627004e-06,0.022827141868981243,1.0,1.0605395696275938e-05,5.179506250389622e-06,5.200807115397283e-06,0.10807992403314504
107097.668771,1.0,8.720597016342338e-07,5.015224400363877e-07,1.832638617381436e-07,0.0009954888744238865,1.0,5.122373598701657e-07,2.451605330582208e-07,2.268735468706448e-08,0.00019802076557976625,1.0,5.54908020052992e-07,1.8967906181445288e-07,3.289375856195795e-08,0.0002753354875635172,1.0,1.4594799212792624e-06,5.035646661425191e-07,1.2842277360792426e-07,0.0035559360431255604,1.0,7.9118038803413e-07,3.5465693599151583e-07,1.1478251359623656e-07,0.0010505635941596538,0.00515927588571336,4.808770409776184e-05,3.107260463695076e-05,1.2077756694994912e-05,1.0,1.0,2.33635814704369e-05,1.7683589740971064e-05,3.7729714701439234e-06,0.022689996846177504,1.0,1.4433712925675469e-05,9.537182785101591e-06,5.533161745323953e-06,0.10771949135698244
107098.000882,1.0,2.7462318011808196e-06,1.133617317943558e-06,1.8711821215941014e-07,0.0009957775378732563,1.0,8.622390466396987e-07,3.426237794717958e-07,3.591965249233707e-08,0.00019684309799505444,1.0,6.63053581983378e-07,2.5265369954770463e-07,4.7790314778781726e-08,0.00027254835859091283,1.0,2.7773350001103214e-06,5.926276469631509e-07,1.669963835161771e-07,0.00356111052759228,1.0,8.666984093470258e-07,3.186758149093277e-07,1.1593949875704222e-07,0.0010356738984335112,0.004715156948418287,7.408509279953384e-05,1.9192188303730232e-05,7.802651324139819e-06,1.0,1.0,3.515603292796876e-05,1.1176328113921268e-05,4.199693731061872e-06,0.022096646751093806,1.0,2.328934362069879e-05,6.622330813012777e-06,5.609780642980282e-06,0.10764640325021672
107098.1526302,1.0,3.500933572489437e-06,1.3839571572427138e-06,2.293312924530143e-07,0.0009821478574172132,1.0,9.116265248484942e-07,3.127087258635365e-07,2.9194051034927195e-08,0.0001946171313416177,1.0,5.306047605541622e-07,3.133603004155054e-07,2.897621593756362e-08,0.00026887799553258757,1.0,3.436889235908908e-06,6.990897785469478e-07,2.026735145772896e-07,0.0035217141152749103,1.0,6.582250847524041e-07,2.3369610634528307e-07,1.0930303797533971e-07,0.0010166142642983513,0.002875056694090912,8.158655839057977e-05,1.897579743036803e-05,1.4209971402723165e-05,1.0,1.0,3.7473015052596714e-05,1.2296800480383242e-05,3.756773508669398e-06,0.02109382465823464,1.0,3.4720429026605115e-05,8.002537086927376e-06,6.433299382101472e-06,0.1088184704138947
107098.318238,1.0,2.5345804043854478e-06,9.513052700559965e-07,1.925057307181608e-07,0.000971746950961431,1.0,4.558592151345918e-07,1.6058136434871896e-07,1.5155112952245952e-08,0.00019361077744617548,1.0,5.094217638732767e-07,2.025328526973743e-07,2.0350808826654625e-08,0.0002674829351797324,1.0,1.693385435576687e-06,5.219870682278037e-07,2.180001241584444e-07,0.0034885098422674098,1.0,6.214338119440108e-07,1.647448729292866e-07,1.0103360465757137e-07,0.0010091221830787396,0.0012774341003195684,3.3767866085066244e-05,2.006483456168291e-05,1.8707493516128628e-05,1.0,1.0,9.704218018408037e-06,8.726559710207189e-06,4.443333742023611e-06,0.02079004624141367,1.0,1.5984690967540168e-05,7.907575216942456e-06,7.777626121156797e-06,0.10925957737375326
107098.5653046,1.0,4.193510022728841e-06,5.962648180881708e-07,1.9528525093362563e-07,0.0009810244019899748,1.0,8.93493276361739e-07,1.725007319275747e-07,2.658317132173027e-08,0.0001946489078192086,1.0,8.407449383531471e-07,2.435454856636076e-07,3.920183421990164e-08,0.0002682298235196374,1.0,3.0070353572158655e-06,4.946968090419743e-07,2.266167930262077e-07,0.003550452767057217,1.0,1.7943415732934735e-06,6.093386878518159e-07,1.4713487995377126e-07,0.001012389535686744,0.0008148479334882075,7.017649378808254e-05,8.37756039812908e-06,1.0721182638144645e-05,1.0,1.0,3.150531027332314e-05,1.3041979980961852e-05,5.80706950562267e-06,0.020704897452201165,1.0,2.946555007810839e-05,1.619636573190467e-05,7.866731829440116e-06,0.1127569290519891
107098.8132397,1.0,3.063338632618443e-06,5.227620981956859e-07,2.2237727910245074e-07,0.0010123689059364312,1.0,1.0478758659417678e-06,1.286931765578878e-07,3.2394940339348114e-08,0.00019798976239309592,1.0,8.477897871105858e-07,1.876358048115365e-07,5.0268405311445e-08,0.0002719546324685555,1.0,2.313183858111508e-06,4.931665407297457e-07,2.1040898855193262e-07,0.0037398981920661895,1.0,2.0952195754370667e-06,8.802359009232141e-07,2.840117587669566e-07,0.001029933917508373,0.001320365827594636,4.54482566950134e-05,5.6668236062016014e-06,7.869366660957876e-06,1.0,1.0,5.589696857059178e-05,1.8207558621476422e-05,5.166670271339474e-06,0.02126760943448827,1.0,4.9194221881704847e-05,1.912168632055855e-05,1.006533074028476e-05,0.11346056538002114
107099.0615459,1.0,2.9288794282218374e-06,4.413508782241593e-07,2.011962688334935e-07,0.0010430675890050322,1.0,9.043582125676855e-07,1.0333313628505702e-07,3.1345793890958e-08,0.00020127007103526329,1.0,7.698524524609043e-07,1.8428039124017918e-07,3.780282134891617e-08,0.00027484454754984997,1.0,1.3376669868166838e-06,4.013319040863041e-07,1.4991168468569998e-07,0.0040757685907861435,1.0,1.6279110040209342e-06,9.002680522705731e-07,3.628489642279119e-07,0.0010411075831188866,0.0006875088969542092,2.208676536768188e-05,7.888086940920324e-06,8.907311190080568e-06,1.0,1.0,3.9847374901225115e-05,1.9885400476664245e-05,3.805549478862874e-06,0.021093714746656497,1.0,3.453721872161601e-05,1.3729336829398329e-05,1.2015727074315577e-05,0.11880197171837054
107099.3269804,1.0,1.922071666014936e-06,8.187506813591983e-07,1.87629516419129e-07,0.0010410402173292401,1.0,6.303896705176807e-07,2.69065264413947e-07,5.585810308719125e-08,0.00019984196801405615,1.0,6.673163569508516e-07,4.044046328424527e-07,4.6952339791964624e-08,0.0002711238759615392,1.0,1.031758561368353e-06,4.4305139521024424e-07,1.2564387751974753e-07,0.004172713945492957,1.0,1.1787831613002762e-06,1.3591640940347978e-06,2.441717676617089e-07,0.001021959020927261,0.00033809485268689477,5.099440272628742e-05,1.4598083693663463e-05,1.517164450752114e-05,1.0,1.0,1.9683527601426928e-05,3.3194369194504356e-05,4.6983659969955565e-06,0.020254798262601736,1.0,2.1081548574651315e-05,2.302764147734638e-05,1.0605963163145439e-05,0.12149862843898862
