Timestamp,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
261218.924105,1.0,9.874584519625865e-07,1.81700700712786e-07,5.0390475847440594e-08,0.0008781192623781362,1.0,9.810433576371003e-07,2.103118001062911e-07,5.2479048642420226e-08,0.0008787316795970779,1.0,5.998040021761227e-07,8.193634750201363e-08,1.6340381697363154e-08,0.00021946621552939623,1.0,7.712258801636603e-07,1.0495974096469676e-07,3.400991048582267e-08,0.00045738227329696567,1.0,9.289579299527049e-07,1.811177412479203e-07,4.2745877228293863e-08,0.0007987931224304233,1.0,1.7186238555885356e-06,3.3842985386146807e-07,1.2821752628001198e-07,0.002245831872690035,1.0,7.371375151652869e-07,9.55372421638894e-08,2.4585527296012178e-08,0.0004054417158317066,1.0,8.591795075240206e-07,1.4941498404697334e-07,3.153650551562857e-08,0.0006501095579382064
261219.58352149988,1.0,7.59115091262368e-07,1.1117663721800177e-07,6.0511115155567e-08,0.0010849418168155272,1.0,7.570782285152368e-07,1.3930655838818377e-07,6.395692138719344e-08,0.0010844661294281714,1.0,4.822592682513781e-07,6.856873478466199e-08,2.1184132402044323e-08,0.0002706669544001806,1.0,6.300804188927953e-07,9.146307446983149e-08,3.7337293045736745e-08,0.0005643239518394775,1.0,6.361721093409502e-07,1.4303809105843712e-07,5.877014731828265e-08,0.0009839371481530999,1.0,1.1654088971580852e-06,3.102263511110201e-07,1.7380898531721076e-07,0.0027751560636566155,1.0,5.878529250956932e-07,1.0498072949163443e-07,3.555090138361845e-08,0.0005005586827642848,1.0,6.065145078029422e-07,1.2336452045425064e-07,4.4255317616931894e-08,0.0008007193698567063
261219.7062227999,1.0,7.788888277556732e-07,9.391174419735072e-08,4.099792318916982e-08,0.0013632393299153748,1.0,7.538393039611319e-07,1.08934149704891e-07,4.463190228554006e-08,0.0013620277966872368,1.0,5.014713813452617e-07,5.121597131180717e-08,1.6033534429973595e-08,0.00033957043869432965,1.0,6.587115404398305e-07,7.796302332180726e-08,2.6078379593123964e-08,0.0007084232163355827,1.0,6.794049426758946e-07,1.0083189901995067e-07,4.019676600527206e-08,0.0012340674237469268,1.0,1.1243741840411878e-06,2.5285700103444695e-07,1.1605932073346059e-07,0.0034940621835576626,1.0,6.273517537814425e-07,9.284640841812087e-08,2.585641974769962e-08,0.0006291611676297301,1.0,6.722179829479262e-07,9.258122288714183e-08,3.612103233793718e-08,0.0010040952781725373
261219.7537972999,1.0,1.171909645817205e-06,1.0632213092209637e-07,2.7622008276304e-08,0.0015204340561308,1.0,1.1463403088120541e-06,1.1367250328854716e-07,2.6796709373874915e-08,0.001519858492712631,1.0,6.35265222284491e-07,4.4834559050764987e-08,1.1079879386098218e-08,0.0003787396928877979,1.0,8.667766202082996e-07,7.089991914251375e-08,1.769378308179176e-08,0.0007901665946192868,1.0,9.849438969906204e-07,9.822472828324334e-08,2.7106728110346365e-08,0.0013757439203823797,1.0,1.9139391997166644e-06,2.054205589632668e-07,7.85910128517333e-08,0.003900956512949925,1.0,7.990913240943733e-07,8.40460576979949e-08,1.852458519409596e-08,0.0007022411025167077,1.0,9.238649287646791e-07,9.001366508162132e-08,3.074047559429529e-08,0.0011192731867924084
261219.79384869992,1.0,1.424745743109478e-06,1.0339713868734386e-07,3.010840027852996e-08,0.0016041343788999976,1.0,1.3611488642050057e-06,1.0213526144023791e-07,3.389355922510691e-08,0.0016034283723549666,1.0,6.008066201067567e-07,3.9474267432024935e-08,1.0603118781560896e-08,0.00039938410610487274,1.0,8.995557803512444e-07,5.366174059521861e-08,1.7900138404526e-08,0.0008333998797108808,1.0,1.0799343617233147e-06,7.719635858266264e-08,3.1621104695303766e-08,0.0014498730728634815,1.0,2.366411553841614e-06,1.7354044104973848e-07,6.994057729300922e-08,0.004124168889339532,1.0,8.072088003909503e-07,5.688866839448401e-08,1.9734998418861293e-08,0.0007410381754035815,1.0,9.967949692001242e-07,7.245664403931231e-08,2.7744702017965872e-08,0.0011794923009738345
261219.91447089997,1.0,8.373379791417961e-07,8.543834912820594e-08,2.9385292873769018e-08,0.0016460067035724791,1.0,8.058370171390917e-07,8.98177152211008e-08,3.327102935931435e-08,0.0016447188279632731,1.0,4.19871324016715e-07,3.0826220908821756e-08,8.406414121471326e-09,0.0004093683584534477,1.0,5.769007346953289e-07,4.980765155507664e-08,1.553544957693474e-08,0.0008546075391805242,1.0,6.59529704735226e-07,6.027407536668479e-08,2.5415604650087494e-08,0.0014851730143216873,1.0,1.3825256736992532e-06,2.4375684902484455e-07,6.425921557813362e-08,0.004230287849227698,1.0,5.407049693593996e-07,5.000618286087007e-08,1.5091156572902787e-08,0.0007598151735336348,1.0,6.313688630580877e-07,5.488995038985894e-08,2.2709842832132406e-08,0.0012079393777219775
261220.16237719997,1.0,3.7955087179020494e-07,1.3265513624021392e-07,2.8023996509602522e-08,0.001673071307966482,1.0,4.0211089280857765e-07,1.2359121230865276e-07,2.6303362495240038e-08,0.0016714802709321202,1.0,3.446218627789072e-07,3.66494675505936e-08,6.053173648525862e-09,0.0004149540008419333,1.0,3.3898259064793347e-07,5.711115087611614e-08,1.4048190652979494e-08,0.0008677083115084256,1.0,3.43139094034805e-07,7.753350481191016e-08,1.8259327366468245e-08,0.0015081175853616142,1.0,5.239044642763736e-07,2.1106697881512248e-07,7.435220462143314e-08,0.004320126602296234,1.0,3.5168564408104376e-07,5.20729669787681e-08,1.3609747657517496e-08,0.0007717264747971789,1.0,3.2127645531952384e-07,5.9435646380875184e-08,1.67048009283976e-08,0.0012273763505563208
261220.41039079995,1.0,3.5963467753329197e-07,1.353957776108262e-07,1.619358802908246e-08,0.001670320512216069,1.0,3.291879014724622e-07,1.2524459089106678e-07,1.741351303565866e-08,0.0016687838650999588,1.0,3.251310175862475e-07,3.863438141018795e-08,4.248695187295205e-09,0.0004152123761288311,1.0,3.634689500212957e-07,5.185135462565556e-08,9.23348073660374e-09,0.0008669118870664261,1.0,3.1427705464124157e-07,5.938820011492426e-08,1.297740957746958e-08,0.0015053969024637001,1.0,5.305379048657195e-07,9.361032746316855e-08,5.575454409051174e-08,0.004309504365756111,1.0,4.0441663180710395e-07,3.0398499076988064e-08,1.1351046099398833e-08,0.0007715709275990366,1.0,3.4240273498258576e-07,5.093152586850582e-08,1.818320614588899e-08,0.0012254278979373031
261220.8593707,1.0,1.083935140588831e-06,9.951538743865338e-08,1.4866963792352937e-08,0.0016518085353925958,1.0,9.663864585771811e-07,8.904207085611941e-08,1.4306659171224124e-08,0.0016478729724317947,1.0,4.866786613322675e-07,4.3995941776827624e-08,5.066199867911022e-09,0.0004111428009010237,1.0,8.196106826541996e-07,5.6347933415175765e-08,1.2851270699484618e-08,0.0008583231861540926,1.0,7.404805697780292e-07,5.4343592965798205e-08,1.5383119885765045e-08,0.0014912723994018517,1.0,1.7871507176748657e-06,1.6131377335723856e-07,5.535397519855258e-08,0.004268306338151941,1.0,8.086426291339723e-07,3.992773705540961e-08,1.5239813013013847e-08,0.0007645484119346989,1.0,8.249677521930878e-07,7.4261553985816e-08,2.3881141414466978e-08,0.0012132116604144413
261221.5963039,1.0,1.4192328992789355e-06,1.421012124167035e-07,2.5154989788397365e-08,0.0016386966165296815,1.0,1.054686439878792e-06,1.406657162784318e-07,2.339034275962084e-08,0.0016316715885686987,1.0,5.925948867788894e-07,5.432651808415696e-08,7.688457820154048e-09,0.00041061261663289956,1.0,1.1759895581723855e-06,9.400234055483586e-08,1.668134979069121e-08,0.0008573124143588451,1.0,1.009995473930443e-06,8.385070612170062e-08,2.056054846940186e-08,0.001490295665742022,1.0,2.86534248540661e-06,3.953805325443874e-07,5.303322770794139e-08,0.004264748041560393,1.0,1.008945121451628e-06,8.724341108814121e-08,1.8564965909406518e-08,0.0007663448266055066,1.0,1.1208255581296438e-06,9.562573198313099e-08,2.4003647729293952e-08,0.0012142139891824226
